entity,code,year,carbon_intensity,primary_emission_factor
Austria,AUT,2000,158,1
Austria,AUT,2001,176,1
Austria,AUT,2002,168,1
Austria,AUT,2003,213,1
Austria,AUT,2004,197,1
Austria,AUT,2005,189,1
Austria,AUT,2006,183,1
Austria,AUT,2007,169,1
Austria,AUT,2008,159,1
Austria,AUT,2009,137,1
Austria,AUT,2010,156,1
Austria,AUT,2011,164,1
Austria,AUT,2012,121,1
Austria,AUT,2013,109,1
Austria,AUT,2014,94,1
Austria,AUT,2015,110,1
Austria,AUT,2016,98,1
Austria,AUT,2017,107,1
Austria,AUT,2018,102,1
Austria,AUT,2019,99,1
Austria,AUT,2020,83,1
Belgium,BEL,2000,270,1
Belgium,BEL,2001,257,1
Belgium,BEL,2002,263,1
Belgium,BEL,2003,266,1
Belgium,BEL,2004,271,1
Belgium,BEL,2005,275,1
Belgium,BEL,2006,253,1
Belgium,BEL,2007,242,1
Belgium,BEL,2008,238,1
Belgium,BEL,2009,213,1
Belgium,BEL,2010,213,1
Belgium,BEL,2011,194,1
Belgium,BEL,2012,208,1
Belgium,BEL,2013,190,1
Belgium,BEL,2014,205,1
Belgium,BEL,2015,227,1
Belgium,BEL,2016,172,1
Belgium,BEL,2017,177,1
Belgium,BEL,2018,207,1
Belgium,BEL,2019,184,1
Belgium,BEL,2020,192,1
Bulgaria,BGR,2000,476,1
Bulgaria,BGR,2001,525,1
Bulgaria,BGR,2002,483,1
Bulgaria,BGR,2003,536,1
Bulgaria,BGR,2004,536,1
Bulgaria,BGR,2005,505,1
Bulgaria,BGR,2006,497,1
Bulgaria,BGR,2007,602,1
Bulgaria,BGR,2008,568,1
Bulgaria,BGR,2009,526,1
Bulgaria,BGR,2010,529,1
Bulgaria,BGR,2011,583,1
Bulgaria,BGR,2012,525,1
Bulgaria,BGR,2013,481,1
Bulgaria,BGR,2014,476,1
Bulgaria,BGR,2015,486,1
Bulgaria,BGR,2016,462,1
Bulgaria,BGR,2017,497,1
Bulgaria,BGR,2018,425,1
Bulgaria,BGR,2019,424,1
Bulgaria,BGR,2020,352,1
Croatia,HRV,2000,292,1
Croatia,HRV,2001,305,1
Croatia,HRV,2002,363,1
Croatia,HRV,2003,389,1
Croatia,HRV,2004,288,1
Croatia,HRV,2005,305,1
Croatia,HRV,2006,314,1
Croatia,HRV,2007,396,1
Croatia,HRV,2008,344,1
Croatia,HRV,2009,271,1
Croatia,HRV,2010,216,1
Croatia,HRV,2011,306,1
Croatia,HRV,2012,290,1
Croatia,HRV,2013,206,1
Croatia,HRV,2014,178,1
Croatia,HRV,2015,212,1
Croatia,HRV,2016,210,1
Croatia,HRV,2017,195,1
Croatia,HRV,2018,135,1
Croatia,HRV,2019,172,1
Croatia,HRV,2020,164,1
Cyprus,CYP,2000,849,1
Cyprus,CYP,2001,787,1
Cyprus,CYP,2002,767,1
Cyprus,CYP,2003,774,1
Cyprus,CYP,2004,782,1
Cyprus,CYP,2005,800,1
Cyprus,CYP,2006,793,1
Cyprus,CYP,2007,796,1
Cyprus,CYP,2008,793,1
Cyprus,CYP,2009,776,1
Cyprus,CYP,2010,735,1
Cyprus,CYP,2011,759,1
Cyprus,CYP,2012,757,1
