manufacturer,family,manufacture_date,process,die_size,core_units,die_size_per_core
Intel,Skylake,2017,14,694,28,0.248
Intel,Skylake,2017,14,485,18,0.269
Intel,Skylake,2017,14,325,10,0.325
Intel,Coffee Lake,2017,14,149,6,0.248
Intel,Coffee Lake,2017,14,174,8,0.218
Intel,broadwell,2014,14,456,24,0.19
Intel,broadwell,2014,14,306,14,0.219
Intel,broadwell,2014,14,246,10,0.246
Intel,Haswell,2013,22,622,18,0.346
Intel,Ivy Bridge,2011,22,160,4,0.400
Intel,Ivy Bridge,2011,22,257,6,0.428
Intel,Ivy Bridge,2011,22,341,10,0.341
Intel,Ivy Bridge,2011,22,541,15,0.361
Intel,Sandy Bridge,2010,32,216,4,0.540
Intel,Kaby Lake,2017,,126,4,0.315
AMD,Zen,2017,,212.77,8,0.2659625
