id,manufacturer,CASE.case_type,year,CPU.units,CPU.core_units,CPU.name,CPU.manufacturer,CPU.model_range,CPU.family,CPU.tdp,CPU.manufacture_date,RAM.capacity,RAM.units,SSD.units,SSD.capacity,HDD.units,HDD.capacity,POWER_SUPPLY.units,GPU.memory,GPU.memory,GPU.units,POWER_SUPPLY.units,POWER_SUPPLY.unit_weight,USAGE.instance_per_server,USAGE.time_workload,USAGE.use_time,USAGE.years_life_time,USAGE.other_consumption_ratio,USAGE.overcommited,Warnings
a1.2xlarge,AWS,rack,2018,1,16,Graviton,Annapurna Labs,Graviton,Graviton,40,2018,16,2,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.6,0,
a1.4xlarge,AWS,rack,2018,1,16,Graviton,Annapurna Labs,Graviton,Graviton,40,2018,16,2,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.7,0,
a1.large,AWS,rack,2018,1,16,Graviton,Annapurna Labs,Graviton,Graviton,40,2018,16,2,0,0,,0,2,,,,2;2;2,2.99;1;5,8,50;0;100,8760,35040,0.33;0.2;0.8,0,
a1.medium,AWS,rack,2018,1,16,Graviton,Annapurna Labs,Graviton,Graviton,40,2018,16,2,0,0,,0,2,,,,2;2;2,2.99;1;5,16,50;0;100,8760,35040,0.33;0.2;0.9,0,
a1.metal,AWS,rack,2019,1,16,Graviton,Annapurna Labs,Graviton,Graviton,40,2019,16,2,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.10,0,
a1.xlarge,AWS,rack,2018,1,16,Graviton,Annapurna Labs,Graviton,Graviton,40,2018,16,2,0,0,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.11,0,
c1.medium,AWS,rack,2008,2,12,Xeon E5-2651 v2,intel,xeon e5,ivybridge,95,2008,2,21,1,350,,0,2,,,,2;2;2,2.99;1;5,24,50;0;100,8760,35040,0.33;0.2;0.12,0,configuration.ram.capacity not verified
c1.xlarge,AWS,rack,2008,2,12,Xeon E5-2651 v2,intel,xeon e5,ivybridge,95,2008,2,21,4,420,,0,2,,,,2;2;2,2.99;1;5,6,50;0;100,8760,35040,0.33;0.2;0.13,0,configuration.ram.capacity not verified
c3.2xlarge,AWS,rack,2013,2,10,Xeon E5-2680 v2,intel,xeon e5,ivybridge,115,2013,2,30,2,80,,0,2,,,,2;2;2,2.99;1;5,5,50;0;100,8760,35040,0.33;0.2;0.14,0,configuration.ram.capacity not verified
c3.4xlarge,AWS,rack,2013,2,10,Xeon E5-2680 v2,intel,xeon e5,ivybridge,115,2013,2,30,2,160,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.15,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c3.8xlarge,AWS,rack,2013,2,10,Xeon E5-2680 v2,intel,xeon e5,ivybridge,115,2013,2,30,2,320,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.16,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c3.large,AWS,rack,2013,2,10,Xeon E5-2680 v2,intel,xeon e5,ivybridge,115,2013,2,30,2,16,,0,2,,,,2;2;2,2.99;1;5,20,50;0;100,8760,35040,0.33;0.2;0.17,0,configuration.ram.capacity not verified
c3.xlarge,AWS,rack,2013,2,10,Xeon E5-2680 v2,intel,xeon e5,ivybridge,115,2013,2,30,2,40,,0,2,,,,2;2;2,2.99;1;5,10,50;0;100,8760,35040,0.33;0.2;0.18,0,configuration.ram.capacity not verified
c4.2xlarge,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,2,30,0,0,,0,2,,,,2;2;2,2.99;1;5,5,50;0;100,8760,35040,0.33;0.2;0.19,0,configuration.ram.capacity not verified
c4.2xlarge.elasticsearch,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,32,1.88,0,0,,0,2,,,,2;2;2,2.99;1;5,5,50;0;100,8760,35040,0.33;0.2;0.20,0,configuration.ram.capacity not verified
c4.4xlarge,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,2,30,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.21,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c4.4xlarge.elasticsearch,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,32,1.88,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.22,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c4.8xlarge,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,2,30,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.23,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c4.8xlarge.elasticsearch,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,32,1.88,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.24,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c4.large,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,2,30,0,0,,0,2,,,,2;2;2,2.99;1;5,20,50;0;100,8760,35040,0.33;0.2;0.25,0,configuration.ram.capacity not verified
c4.large.elasticsearch,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,32,1.88,0,0,,0,2,,,,2;2;2,2.99;1;5,20,50;0;100,8760,35040,0.33;0.2;0.26,0,configuration.ram.capacity not verified
c4.xlarge,AWS,rack,2015,2,10,Xeon E5-2666 v3,intel,xeon e5,haswell,135,2015,2,30,0,0,,0,2,,,,2;2;2,2.99;1;5,10,50;0;100,8760,35040,0.33;0.2;0.27,0,configuration.ram.capacity not verified
