id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
d2ads_v5,2.0,8,75.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4ads_v5,4.0,16,150.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8ads_v5,8.0,32,300.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16ads_v5,16.0,64,600.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32ads_v5,32.0,128,1200.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d48ads_v5,48.0,192,1800.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d64ads_v5,64.0,256,2400.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d96ads_v5,96.0,384,3600.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d2as_v4,2.0,8,16.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4as_v4,4.0,16,32.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8as_v4,8.0,32,64.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16as_v4,16.0,64,128.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32as_v4,32.0,128,256.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d48as_v4,48.0,192,384.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d64as_v4,64.0,256,512.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d96as_v4,96.0,384,768.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d2as_v4,2.0,8,16.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4as_v4,4.0,16,32.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8as_v4,8.0,32,64.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16as_v4,16.0,64,128.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32as_v4,32.0,128,256.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
