id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
c4a-standard-1,1,4,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-2,2,8,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-4,4,16,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-8,8,32,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-16,16,64,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-32,32,128,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-48,48,192,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-64,64,256,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-72,72,288,0,0,0,c4a-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-1,1,2,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-2,2,4,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-4,4,8,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-8,8,16,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-16,16,32,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-32,32,64,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-48,48,96,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-64,64,128,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highcpu-72,72,144,0,0,0,c4a-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-1,1,8,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-2,2,16,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-4,4,32,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-8,8,64,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-16,16,128,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-32,32,256,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-48,48,384,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-64,64,512,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-72,72,576,0,0,0,c4a-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-4-lssd,4,16,375,0,0,c4a-standard-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-8-lssd,8,32,750,0,0,c4a-standard-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-16-lssd,16,64,1500,0,0,c4a-standard-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-32-lssd,32,128,2250,0,0,c4a-standard-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-48-lssd,48,192,3750,0,0,c4a-standard-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-64-lssd ,64,256,5250,0,0,c4a-standard-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-standard-72-lssd,72,288,6000,0,0,c4a-standard-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-4-lssd,4,32,375,0,0,c4a-highmem-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-8-lssd,8,64,750,0,0,c4a-highmem-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-16-lssd,16,128,1500,0,0,c4a-highmem-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-32-lssd,32,256,2250,0,0,c4a-highmem-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-48-lssd,48,384,3750,0,0,c4a-highmem-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-64-lssd ,64,512,5250,0,0,c4a-highmem-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4a-highmem-72-lssd,72,576,6000,0,0,c4a-highmem-lssd,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a_machine_types
c4-standard-2 ,2,7,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-standard-4 ,4,15,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-standard-8 ,8,30,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-standard-16 ,16,60,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-standard-32 ,32,120,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-standard-48 ,48,180,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-standard-96 ,96,360,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-standard-192 ,192,720,0,0,0,c4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-2 ,2,4,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-4 ,4,8,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-8 ,8,16,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-16 ,16,32,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-32 ,32,64,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-48 ,48,96,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-96 ,96,192,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highcpu-192 ,192,384,0,0,0,c4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-2 ,2,15,0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-4 ,4,31,0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-8 ,8,62,0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-16 ,16,124,0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-32 ,32,248,0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-48 ,48,372,0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-96 ,96,744,0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
c4-highmem-192 ,192,"1,488",0,0,0,c4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c4a-standard_1
n4-standard-2 ,2,8,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-standard-4 ,4,16,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-standard-8 ,8,32,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-standard-16 ,16,64,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-standard-32 ,32,128,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-standard-48 ,48,192,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-standard-64 ,64,256,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-standard-80 ,80,320,0,0,0,n4-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4_series
n4-highcpu-2 ,2,4,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highcpu-4 ,4,8,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highcpu-8 ,8,16,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highcpu-16 ,16,32,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highcpu-32 ,32,64,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highcpu-48 ,48,96,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highcpu-64 ,64,128,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highcpu-80 ,80,160,0,0,0,n4-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highcpu
n4-highmem-2 ,2,16,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
n4-highmem-4 ,4,32,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
n4-highmem-8 ,8,64,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
n4-highmem-16 ,16,128,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
n4-highmem-32 ,32,256,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
n4-highmem-48 ,48,384,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
n4-highmem-64 ,64,512,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
n4-highmem-80 ,80,640,0,0,0,n4-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#n4-highmem
c3d-standard-4 ,4,16,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-standard-8 ,8,32,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-standard-16 ,16,64,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-standard-30 ,30,120,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-standard-60 ,60,240,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-standard-90 ,90,360,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-standard-180 ,180,720,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-standard-360 ,360,"1,44",0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard
c3d-highcpu-4 ,4,8,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highcpu-8 ,8,16,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highcpu-16 ,16,32,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highcpu-30 ,30,59,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highcpu-60 ,60,118,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highcpu-90 ,90,177,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highcpu-180 ,180,354,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highcpu-360 ,360,708,0,0,0,c3d-highcpu,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highcpu
c3d-highmem-4 ,4,32,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-highmem-8 ,8,64,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-highmem-16 ,16,128,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-highmem-30 ,30,240,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-highmem-60 ,60,480,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-highmem-90 ,90,720,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-highmem-180 ,180,"1,44",0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-highmem-360 ,360,"2,88",0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem
c3d-standard-8-lssd ,8,32,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard-with-local-ssd
c3d-standard-16-lssd ,16,64,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard-with-local-ssd
c3d-standard-30-lssd ,30,120,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard-with-local-ssd
c3d-standard-60-lssd ,60,240,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard-with-local-ssd
c3d-standard-90-lssd ,90,360,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard-with-local-ssd
c3d-standard-180-lssd ,180,720,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard-with-local-ssd
c3d-standard-360-lssd ,360,1440,0,0,0,c3d-standard,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-standard-with-local-ssd
c3d-highmem-8-lssd ,8,64,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem-with-local-ssd
c3d-highmem-16-lssd ,16,128,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem-with-local-ssd
c3d-highmem-30-lssd ,30,240,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem-with-local-ssd
c3d-highmem-60-lssd ,60,480,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem-with-local-ssd
c3d-highmem-90-lssd ,90,720,0,0,0,c3d-highmem,https://cloud.google.com/compute/docs/general-purpose-machines?hl=en#c3d-highmem-with-local-ssd
