id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
b3-8,2,8.0,50.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b3-16,4,16.0,100.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b3-32,8,32.0,200.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b3-64,16,64.0,400.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b3-128,32,128.0,400.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b3-256,64,256.0,400.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b3-512,128,512.0,400.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b3-640,160,640.0,400.0,0.0,0,General_Purpose_b3,https://www.ovhcloud.com/en/public-cloud/prices/
b2-7,2,7.0,50.0,0.0,0,General_Purpose_b2,https://www.ovhcloud.com/en/public-cloud/prices/
b2-15,4,15.0,100.0,0.0,0,General_Purpose_b2,https://www.ovhcloud.com/en/public-cloud/prices/
b2-30,8,30.0,200.0,0.0,0,General_Purpose_b2,https://www.ovhcloud.com/en/public-cloud/prices/
b2-60,16,60.0,400.0,0.0,0,General_Purpose_b2,https://www.ovhcloud.com/en/public-cloud/prices/
b2-120,32,120.0,400.0,0.0,0,General_Purpose_b2,https://www.ovhcloud.com/en/public-cloud/prices/
c3-4,2,4.0,50.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
c3-8,4,8.0,100.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
c3-16,8,16.0,200.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
c3-32,16,32.0,400.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
c3-64,32,64.0,400.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
c3-128,64,128.0,400.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
c3-256,128,256.0,400.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
c3-320,160,320.0,400.0,0.0,0,Compute_Optimised_c3,https://www.ovhcloud.com/en/public-cloud/prices/
