provider,region,usage_location
aws,us-east-1,USA
aws,us-east-2,USA
aws,us-west-1,USA
aws,us-west-2,USA
aws,ca-central-1,CAN
aws,eu-central-1,DEU
aws,eu-west-1,IRL
aws,eu-west-2,GBR
aws,eu-west-3,FRA
aws,eu-north-1,SWE
aws,eu-south-1,ITA
aws,ap-south-1,IND
aws,ap-northeast-1,JPN
aws,ap-northeast-2,KOR
aws,ap-northeast-3,JPN
aws,ap-southeast-1,SGP
aws,ap-southeast-2,AUS
aws,sa-east-1,BRA
aws,me-south-1,BHR
aws,af-south-1,ZAF
aws,ap-east-1,HKG
aws,cn-north-1,CHN
aws,cn-northwest-1,CHN
aws,us-gov-east-1,USA
aws,us-gov-west-1,USA
azure,australiacentral,AUS
azure,australiacentral2,AUS
azure,australiaeast,AUS
azure,australiasoutheast,AUS
azure,austriaeast,AUT
azure,belgiumcentral,BEL
azure,brazilsouth,BRA
azure,brazilsoutheast,BRA
azure,canadacentral,CAN
azure,canadaeast,CAN
azure,centralindia,IND
azure,centralus,USA
azure,chilecentral,CHL
azure,denmarkeast,DNK
azure,eastasia,HKG
azure,eastus,USA
azure,eastus2,USA
azure,francecentral,FRA
azure,francesouth,FRA
azure,germanynorth,DEU
azure,germanywestcentral,DEU
azure,indonesiacentral,IDN
azure,israelcentral,ISR
azure,italynorth,ITA
azure,japaneast,JPN
azure,japanwest,JPN
azure,koreacentral,KOR
azure,koreasouth,KOR
azure,malaysiawest,MYS
azure,mexicocentral,MEX
azure,newzealandnorth,NZL
azure,northcentralus,USA
azure,northeurope,IRL
azure,norwayeast,NOR
azure,norwaywest,NOR
azure,polandcentral,POL
azure,qatarcentral,QAT
azure,southafricanorth,ZAF
azure,southafricawest,ZAF
azure,southcentralus,USA
azure,southindia,IND
azure,southeastasia,SGP
azure,spaincentral,ESP
azure,swedencentral,SWE
azure,switzerlandnorth,CHE
azure,switzerlandwest,CHE
azure,uaecentral,ARE
azure,uaenorth,ARE
azure,uksouth,GBR
azure,ukwest,GBR
azure,westcentralus,USA
azure,westeurope,NLD
azure,westindia,IND
azure,westus,USA
azure,westus2,USA
azure,westus3,USA
gcp,africa-south1,ZAF
gcp,us-east1,USA
gcp,us-east4,USA
gcp,us-east5,USA
gcp,us-west1,USA
gcp,us-west2,USA
gcp,us-west3,USA
gcp,us-west4,USA
gcp,us-central1,USA
gcp,us-south1,USA
gcp,northamerica-northeast1,CAN
gcp,northamerica-northeast2,CAN
gcp,northamerica-south1,MEX
gcp,southamerica-east1,BRA
gcp,southamerica-west1,CHL
gcp,europe-west1,BEL
gcp,europe-west2,GBR
gcp,europe-west3,DEU
gcp,europe-west4,NLD
gcp,europe-west6,CHE
gcp,europe-west8,ITA
gcp,europe-west9,FRA
gcp,europe-west10,DEU
gcp,europe-west12,ITA
gcp,europe-north1,FIN
gcp,europe-north2,SWE
gcp,europe-central2,POL
gcp,europe-southwest1,ESP
gcp,asia-east1,TWN
gcp,asia-east2,HKG
gcp,asia-northeast1,JPN
gcp,asia-northeast2,JPN
gcp,asia-northeast3,KOR
gcp,asia-south1,IND
gcp,asia-south2,IND
gcp,asia-southeast1,SGP
gcp,asia-southeast2,IDN
gcp,asia-southeast3,THA
gcp,australia-southeast1,AUS
gcp,australia-southeast2,AUS
gcp,me-central1,QAT
gcp,me-central2,SAU
gcp,me-west1,ISR
scaleway,fr-par,FRA
scaleway,nl-ams,NLD
scaleway,pl-waw,POL
ovhcloud,eu-west-par,FRA
ovhcloud,eu-west-gra,FRA
ovhcloud,eu-west-rbx,FRA
ovhcloud,eu-west-sbg,FRA
ovhcloud,eu-west-lim,DEU
ovhcloud,eu-central-waw,POL
ovhcloud,eu-west-eri,GBR
ovhcloud,us-east-vin,USA
ovhcloud,us-west-hil,USA
ovhcloud,ca-east-bhs,CAN
ovhcloud,ca-east-tor,CAN
ovhcloud,ap-southeast-sgp,SGP
ovhcloud,ap-southeast-syd,AUS
ovhcloud,ap-south-mum,IND
ovhcloud,eu-west-rbx-snc,FRA
ovhcloud,eu-west-sbg-snc,FRA
ovhcloud,eu-west-gra-snc,FRA
