id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
a1.medium,1,2,0,0,0,a1.metal,
a1.large,2,4,0,0,0,a1.metal,
a1.xlarge,4,8,0,0,0,a1.metal,
a1.2xlarge,8,16,0,0,0,a1.metal,
a1.4xlarge,16,32,0,0,0,a1.metal,
a1.metal,16,32,0,0,0,a1.metal,
c1.medium,2,2,350,0,0,platform_aws_c1,
c1.xlarge,8,7,1680,0,0,platform_aws_c1,
c3.large,2,3.75,32,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/
c3.xlarge,4,7,80,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/
c3.2xlarge,8,15,160,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/
c3.4xlarge,16,30,320,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/
c3.8xlarge,32,60,640,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/
c4.large,2,3.75,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.large.elasticsearch,2,3.75,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.xlarge,4,7.5,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.xlarge.elasticsearch,4,7.5,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.2xlarge,8,15,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.2xlarge.elasticsearch,8,15,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.4xlarge,16,30,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.4xlarge.elasticsearch,16,30,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.8xlarge,36,60,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c4.8xlarge.elasticsearch,36,60,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/
c5.large,2,4,0,0,0,c5.18xlarge,
c5.large.elasticsearch,2,4,0,0,0,c5.18xlarge,
c5.xlarge,4,8,0,0,0,c5.18xlarge,
c5.xlarge.elasticsearch,4,8,0,0,0,c5.18xlarge,
c5.2xlarge,8,16,0,0,0,c5.18xlarge,
c5.2xlarge.elasticsearch,8,16,0,0,0,c5.18xlarge,
c5.4xlarge,16,32,0,0,0,c5.18xlarge,
c5.4xlarge.elasticsearch,16,32,0,0,0,c5.18xlarge,
c5.9xlarge,36,72,0,0,0,c5.18xlarge,
c5.9xlarge.elasticsearch,36,72,0,0,0,c5.18xlarge,
c5.12xlarge,48,96,0,0,0,c5.metal,
c5.18xlarge,72,144,0,0,0,c5.18xlarge,
c5.18xlarge.elasticsearch,72,144,0,0,0,c5.18xlarge,
c5.24xlarge,96,192,0,0,0,c5.metal,
c5.metal,96,192,0,0,0,c5.metal,
c5a.large,2,4,0,0,0,c5a.24xlarge,
c5a.xlarge,4,8,0,0,0,c5a.24xlarge,
c5a.2xlarge,8,16,0,0,0,c5a.24xlarge,
c5a.4xlarge,16,32,0,0,0,c5a.24xlarge,
c5a.8xlarge,32,64,0,0,0,c5a.24xlarge,
c5a.12xlarge,48,96,0,0,0,c5a.24xlarge,
c5a.16xlarge,64,128,0,0,0,c5a.24xlarge,
c5a.24xlarge,96,192,0,0,0,c5a.24xlarge,
c5ad.large,2,4,75,0,0,c5ad.24xlarge,
c5ad.xlarge,4,8,150,0,0,c5ad.24xlarge,
c5ad.2xlarge,8,16,300,0,0,c5ad.24xlarge,
c5ad.4xlarge,16,32,600,0,0,c5ad.24xlarge,
