id,servers_quantity,server_id,PUE
DCadsv5-Type1,1,DCadsv5-Type1,1.3
DCasv5-Type1,1,DCasv5-Type1,1.3
DCdsv3-Type1,1,DCdsv3-Type1,1.3
DCsv2-Type1,1,DCsv2-Type1,1.3
DCsv3-Type1,1,DCsv3-Type1,1.3
Dadsv5-Type1,1,Dadsv5-Type1,1.3
Dasv4-Type1,1,Dasv4-Type1,1.3
Dasv4-Type2,1,Dasv4-Type2,1.3
Dasv5-Type1,1,Dasv5-Type1,1.3
Ddsv4-Type1,1,Ddsv4-Type1,1.3
Ddsv4-Type2,1,Ddsv4-Type2,1.3
Ddsv5-Type1,1,Ddsv5-Type1,1.3
Dsv3-Type3,1,Dsv3-Type3,1.3
Dsv3-Type4,1,Dsv3-Type4,1.3
Dsv4-Type1,1,Dsv4-Type1,1.3
Dsv4-Type2,1,Dsv4-Type2,1.3
Dsv5-Type1,1,Dsv5-Type1,1.3
ECadsv5-Type1,1,ECadsv5-Type1,1.3
ECasv5-Type1,1,ECasv5-Type1,1.3
Eadsv5-Type1,1,Eadsv5-Type1,1.3
Easv4-Type1,1,Easv4-Type1,1.3
Easv4-Type2,1,Easv4-Type2,1.3
Easv5-Type1,1,Easv5-Type1,1.3
Ebdsv5-Type1,1,Ebdsv5-Type1,1.3
Ebsv5-Type1,1,Ebsv5-Type1,1.3
Edsv4-Type1,1,Edsv4-Type1,1.3
Edsv4-Type2,1,Edsv4-Type2,1.3
Edsv5-Type1,1,Edsv5-Type1,1.3
Esv3-Type3,1,Esv3-Type3,1.3
Esv3-Type4,1,Esv3-Type4,1.3
Esv4-Type1,1,Esv4-Type1,1.3
Esv4-Type2,1,Esv4-Type2,1.3
Esv5-Type1,1,Esv5-Type1,1.3
FXmds-Type1,1,FXmds-Type1,1.3
Fsv2-Type2,1,Fsv2-Type2,1.3
Fsv2-Type3,1,Fsv2-Type3,1.3
Fsv2-Type4,1,Fsv2-Type4,1.3
Lasv3-Type1,1,Lasv3-Type1,1.3
Lsv2-Type1,1,Lsv2-Type1,1.3
Lsv3-Type1,1,Lsv3-Type1,1.3
Mdmsv2MedMem-Type1,1,Mdmsv2MedMem-Type1,1.3
Mdsv2MedMem-Type1,1,Mdsv2MedMem-Type1,1.3
Mmsv2MedMem-Type1,1,Mmsv2MedMem-Type1,1.3
Ms-Type1,1,Ms-Type1,1.3
Msm-Type1,1,Msm-Type1,1.3
Msmv2-Type1,1,Msmv2-Type1,1.3
Msv2-Type1,1,Msv2-Type1,1.3
Msv2MedMem-Type1,1,Msv2MedMem-Type1,1.3
NVasv4-Type1,1,NVasv4-Type1,1.3
NVsv3-Type1,1,NVsv3-Type1,1.3
