id,manufacturer,CASE.case_type,CPU.units,CPU.core_units,CPU.die_size,CPU.die_size_per_core,CPU.tdp,CPU.name,CPU.vcpu,RAM.units,RAM.capacity,SSD.units,SSD.capacity,HDD.units,HDD.capacity,GPU.units,GPU.name,GPU.memory_capacity,POWER_SUPPLY.units,POWER_SUPPLY.unit_weight,USAGE.time_workload,USAGE.use_time_ratio,USAGE.hours_life_time,USAGE.other_consumption_ratio,WARNINGS
platform_compute_low,,rack,2,8;8;16,,,,,,4;2;8,16,1;1;1,100,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic compute platform
platform_compute_medium,,rack,2,24;16;48,,,,,,8;6;10,32,1;1;2,1000,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic compute platform
platform_compute_high,,rack,2,48;32;96,,,,,,8;6;12,64,2;1;2,2000,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic compute platform
platform_memory_low,,rack,2,8;8;16,,,,,,10;8;16,64,1;1;1,100,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic memory platform
platform_memory_medium,,rack,2,24;16;40,,,,,,16;16;20,64,1;1;2,1000,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic memory platform
platform_memory_high,,rack,2,40;32;48,,,,,,20;20;24,64,2;1;2,2000,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic memory platform
platform_ssdstorage_low,,rack,2,18;16;24,,,,,,12;8;16,32,8;6;8,2000,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic SSD storage platform
platform_ssdstorage_medium,,rack,2,24;24;32,,,,,,16;16;20,32,8;6;8,4000,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic SSD storage platform
platform_ssdstorage_high,,rack,2,32;24;48,,,,,,16;12;18,64,8;6;8,8000,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic SSD storage platform
platform_hddstorage_low,,rack,2,16;10;20,,,,,,8;8;16,32,0,0,8;8;12,2000,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic HDD storage platform
platform_hddstorage_medium,,rack,2,18;12;24,,,,,,12;8;16,32,0,0,24;18;24,2000,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic HDD storage platform
platform_hddstorage_high,,rack,2,24;18;32,,,,,,12;8;16,64,0,0,24;18;24,14000,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic HDD storage platform
platfom_gpucompute_low,,rack,2,24;18;32,,,,,,12;10;16,32,1;1;1,100,0,0,8,,16,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic GPU compute platform
platfom_gpucompute_medium,,rack,2,24;18;48,,,,,,12;10;16,64,1;1;2,1000,0,0,8,,24,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic GPU compute platform
platfom_gpucompute_high,,rack,2,24;18;48,,,,,,12;10;16,64,2;1;2,2000,0,0,8,,32,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic GPU compute platform
platfom_gpucompute_veryhigh,,rack,2,24;18;48,,,,,,14;10;18,64,2;1;2,2000,0,0,8,,80,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,Using generic GPU compute platform
dellR740,Dell,rack,2,24,,24.5,,,96,12,32,1,400,,,,,,2;1;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,
a1.metal,AWS,rack,1,,,,,Annapurna Labs Graviton,,2,16,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
c5.18xlarge,AWS,rack,2,,,,,Intel Xeon Platinum 8124M,,12,16,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
c5.metal,AWS,rack,2,,,,,Intel Xeon Platinum 8275CL,,12,16,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
c5a.24xlarge,AWS,rack,1,,,,,AMD EPYC 7R32,,12,16,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
c5ad.24xlarge,AWS,rack,1,,,,,AMD EPYC 7R32,,12,16,2,1900,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
c5d.18xlarge,AWS,rack,2,,,,,Intel Xeon Platinum 8124M,,12,16,2,900,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
