sub_model_name,name,manufacturer,family,model_range,tdp
gold 5122,xeon gold 5122,intel,skylake,xeon gold,
gold 6142,xeon gold 6142,intel,skylake,xeon gold,
platinum 8153,xeon platinum 8153,intel,skylake,xeon platinum,
gold 6138,xeon gold 6138,intel,skylake,xeon gold,
platinum 8156,xeon platinum 8156,intel,skylake,xeon platinum,
gold 6148,xeon gold 6148,intel,skylake,xeon gold,
gold 5120t,xeon gold 5120t,intel,skylake,xeon gold,
platinum 8158,xeon platinum 8158,intel,skylake,xeon platinum,
platinum 8176,xeon platinum 8176,intel,skylake,xeon platinum,
gold 6136,xeon gold 6136,intel,skylake,xeon gold,
gold 6150,xeon gold 6150,intel,skylake,xeon gold,
platinum 8160,xeon platinum 8160,intel,skylake,xeon platinum,
silver 4116,xeon silver 4116,intel,skylake,xeon silver,
gold 6152,xeon gold 6152,intel,skylake,xeon gold,
gold 6130,xeon gold 6130,intel,skylake,xeon gold,
gold 6128,xeon gold 6128,intel,skylake,xeon gold,
gold 5118,xeon gold 5118,intel,skylake,xeon gold,
platinum 8164,xeon platinum 8164,intel,skylake,xeon platinum,
gold 6134,xeon gold 6134,intel,skylake,xeon gold,
gold 6126,xeon gold 6126,intel,skylake,xeon gold,
gold 5120,xeon gold 5120,intel,skylake,xeon gold,
platinum 8168,xeon platinum 8168,intel,skylake,xeon platinum,
gold 5115,xeon gold 5115,intel,skylake,xeon gold,
gold 6154,xeon gold 6154,intel,skylake,xeon gold,
gold 6140,xeon gold 6140,intel,skylake,xeon gold,
platinum 8170,xeon platinum 8170,intel,skylake,xeon platinum,
platinum 8180,xeon platinum 8180,intel,skylake,xeon platinum,
silver 4109t,xeon silver 4109t,intel,skylake,xeon silver,
bronze 3106,xeon bronze 3106,intel,skylake,xeon bronze,
silver 4114,xeon silver 4114,intel,skylake,xeon silver,
gold 6132,xeon gold 6132,intel,skylake,xeon gold,
silver 4112,xeon silver 4112,intel,skylake,xeon silver,
gold 6138t,xeon gold 6138t,intel,skylake,xeon gold,
platinum 8160t,xeon platinum 8160t,intel,skylake,xeon platinum,
silver 4108,xeon silver 4108,intel,skylake,xeon silver,
gold 6142f,xeon gold 6142f,intel,skylake,xeon gold,
gold 6130t,xeon gold 6130t,intel,skylake,xeon gold,
gold 6138f,xeon gold 6138f,intel,skylake,xeon gold,
bronze 3104,xeon bronze 3104,intel,skylake,xeon bronze,
platinum 8160f,xeon platinum 8160f,intel,skylake,xeon platinum,
silver 4110,xeon silver 4110,intel,skylake,xeon silver,
gold 6130f,xeon gold 6130f,intel,skylake,xeon gold,
gold 6126t,xeon gold 6126t,intel,skylake,xeon gold,
gold 6126f,xeon gold 6126f,intel,skylake,xeon gold,
gold 6148f,xeon gold 6148f,intel,skylake,xeon gold,
gold 6146,xeon gold 6146,intel,skylake,xeon gold,
gold 6144,xeon gold 6144,intel,skylake,xeon gold,
platinum 8176f,xeon platinum 8176f,intel,skylake,xeon platinum,
silver 4116t,xeon silver 4116t,intel,skylake,xeon silver,
silver 4114t,xeon silver 4114t,intel,skylake,xeon silver,
gold 5119t,xeon gold 5119t,intel,skylake,xeon gold,
gold 6138p,xeon gold 6138p,intel,skylake,xeon gold,
w-2133,xeon w-2133,intel,skylake,xeon w,
w-2155,xeon w-2155,intel,skylake,xeon w,
w-2123,xeon w-2123,intel,skylake,xeon w,
w-2145,xeon w-2145,intel,skylake,xeon w,
w-2125,xeon w-2125,intel,skylake,xeon w,
w-2135,xeon w-2135,intel,skylake,xeon w,
w-2195,xeon w-2195,intel,skylake,xeon w,
w-2175,xeon w-2175,intel,skylake,xeon w,
d-2141i,xeon d-2141i,intel,skylake,xeon d,
d-2177nt,xeon d-2177nt,intel,skylake,xeon d,
d-2161i,xeon d-2161i,intel,skylake,xeon d,
d-2143it,xeon d-2143it,intel,skylake,xeon d,
d-2146nt,xeon d-2146nt,intel,skylake,xeon d,
d-2145nt,xeon d-2145nt,intel,skylake,xeon d,
d-2123it,xeon d-2123it,intel,skylake,xeon d,
d-2173it,xeon d-2173it,intel,skylake,xeon d,
d-2187nt,xeon d-2187nt,intel,skylake,xeon d,
d-2142it,xeon d-2142it,intel,skylake,xeon d,
d-2163it,xeon d-2163it,intel,skylake,xeon d,
d-2183it,xeon d-2183it,intel,skylake,xeon d,
d-2166nt,xeon d-2166nt,intel,skylake,xeon d,
e3-1240l v5,xeon e3-1240l v5,intel,skylake,xeon e3,
e3-1235l v5,xeon e3-1235l v5,intel,skylake,xeon e3,
e3-1280 v5,xeon e3-1280 v5,intel,skylake,xeon e3,
e3-1220 v5,xeon e3-1220 v5,intel,skylake,xeon e3,
e3-1230 v5,xeon e3-1230 v5,intel,skylake,xeon e3,
e3-1245 v5,xeon e3-1245 v5,intel,skylake,xeon e3,
e3-1270 v5,xeon e3-1270 v5,intel,skylake,xeon e3,
e3-1225 v5,xeon e3-1225 v5,intel,skylake,xeon e3,
e3-1260l v5,xeon e3-1260l v5,intel,skylake,xeon e3,
e3-1240 v5,xeon e3-1240 v5,intel,skylake,xeon e3,
e3-1275 v5,xeon e3-1275 v5,intel,skylake,xeon e3,
e3-1565l v5,xeon e3-1565l v5,intel,skylake,xeon e3,
e3-1585l v5,xeon e3-1585l v5,intel,skylake,xeon e3,
e3-1585 v5,xeon e3-1585 v5,intel,skylake,xeon e3,
chipsets c232,chipsets c232,intel,skylake,chipsets,
chipsets c236,chipsets c236,intel,skylake,chipsets,
platinum 8124m,xeon platinum 8124m,intel,skylake,xeon platinum,240
platinum 8175m,xeon platinum 8175m,intel,skylake,xeon platinum,240
platinum 8176m,xeon platinum 8176m,intel,skylake,xeon platinum,165
platinum 8151,xeon platinum 8151,intel,skylake,xeon platinum,240
w-3175x,xeon w-3175x,intel,skylake,xeon w,
i9-9920x,core i9-9920x,intel,skylake,core i9,
i9-9980xe,core i9-9980xe,intel,skylake,core i9,
i9-9940x,core i9-9940x,intel,skylake,core i9,
i9-9900x,core i9-9900x,intel,skylake,core i9,
i9-9960x,core i9-9960x,intel,skylake,core i9,
i7-9800x,core i7-9800x,intel,skylake,core i7,
i9-9820x,core i9-9820x,intel,skylake,core i9,
i9-7940x,core i9-7940x,intel,skylake,core i9,
i9-7980xe,core i9-7980xe,intel,skylake,core i9,
i9-7960x,core i9-7960x,intel,skylake,core i9,
i9-7920x,core i9-7920x,intel,skylake,core i9,
i7-7800x,core i7-7800x,intel,skylake,core i7,
i9-7900x,core i9-7900x,intel,skylake,core i9,
i7-7820x,core i7-7820x,intel,skylake,core i7,
i7-6785r,core i7-6785r,intel,skylake,core i7,
i7-6700,core i7-6700,intel,skylake,core i7,
i7-6700t,core i7-6700t,intel,skylake,core i7,
i7-6700k,core i7-6700k,intel,skylake,core i7,
i5-6685r,core i5-6685r,intel,skylake,core i5,
i5-6585r,core i5-6585r,intel,skylake,core i5,
i5-6402p,core i5-6402p,intel,skylake,core i5,
i5-6500t,core i5-6500t,intel,skylake,core i5,
i5-6500,core i5-6500,intel,skylake,core i5,
i5-6400,core i5-6400,intel,skylake,core i5,
i5-6400t,core i5-6400t,intel,skylake,core i5,
i5-6600,core i5-6600,intel,skylake,core i5,
i5-6600t,core i5-6600t,intel,skylake,core i5,
i5-6600k,core i5-6600k,intel,skylake,core i5,
i3-6098p,core i3-6098p,intel,skylake,core i3,
i3-6300,core i3-6300,intel,skylake,core i3,
i3-6320,core i3-6320,intel,skylake,core i3,
i3-6100t,core i3-6100t,intel,skylake,core i3,
i3-6100,core i3-6100,intel,skylake,core i3,
i3-6300t,core i3-6300t,intel,skylake,core i3,
e3-1545m,xeon e3-1545m,intel,skylake,xeon e3,
e3-1515m,xeon e3-1515m,intel,skylake,xeon e3,
e3-1575m,xeon e3-1575m,intel,skylake,xeon e3,
e3-1535m,xeon e3-1535m,intel,skylake,xeon e3,
e3-1505m,xeon e3-1505m,intel,skylake,xeon e3,
i7-6660u,core i7-6660u,intel,skylake,core i7,
i7-6970hq,core i7-6970hq,intel,skylake,core i7,
i7-6770hq,core i7-6770hq,intel,skylake,core i7,
i7-6870hq,core i7-6870hq,intel,skylake,core i7,
i7-6820hq,core i7-6820hq,intel,skylake,core i7,
i7-6560u,core i7-6560u,intel,skylake,core i7,
i7-6650u,core i7-6650u,intel,skylake,core i7,
i7-6500u,core i7-6500u,intel,skylake,core i7,
i7-6600u,core i7-6600u,intel,skylake,core i7,
i7-6820hk,core i7-6820hk,intel,skylake,core i7,
i7-6700hq,core i7-6700hq,intel,skylake,core i7,
i7-6920hq,core i7-6920hq,intel,skylake,core i7,
i7-6567u,core i7-6567u,intel,skylake,core i7,
i5-6350hq,core i5-6350hq,intel,skylake,core i5,
i5-6360u,core i5-6360u,intel,skylake,core i5,
i5-6260u,core i5-6260u,intel,skylake,core i5,
i5-6287u,core i5-6287u,intel,skylake,core i5,
i5-6267u,core i5-6267u,intel,skylake,core i5,
i5-6200u,core i5-6200u,intel,skylake,core i5,
i5-6300u,core i5-6300u,intel,skylake,core i5,
i5-6440hq,core i5-6440hq,intel,skylake,core i5,
i5-6300hq,core i5-6300hq,intel,skylake,core i5,
i3-6006u,core i3-6006u,intel,skylake,core i3,
i3-6157u,core i3-6157u,intel,skylake,core i3,
i3-6167u,core i3-6167u,intel,skylake,core i3,
i3-6100u,core i3-6100u,intel,skylake,core i3,
i3-6100h,core i3-6100h,intel,skylake,core i3,
m3 m3-6y30,core m3 m3-6y30,intel,skylake,core m3,
m5-6y57,core m5-6y57,intel,skylake,core m5,
m7-6y75,core m7-6y75,intel,skylake,core m7,
m5-6y54,core m5-6y54,intel,skylake,core m5,
4405y,4405y,intel,skylake,,
4405u,4405u,intel,skylake,,
3955u,3955u,intel,skylake,,
3855u,3855u,intel,skylake,,
2170b,2170b,intel,skylake,,
8171m,8171m,intel,skylake,,
gold 5122,xeon gold 5122,intel,sandybridge,xeon gold,
gold 6142,xeon gold 6142,intel,sandybridge,xeon gold,
platinum 8153,xeon platinum 8153,intel,sandybridge,xeon platinum,
gold 6138,xeon gold 6138,intel,sandybridge,xeon gold,
platinum 8156,xeon platinum 8156,intel,sandybridge,xeon platinum,
gold 6148,xeon gold 6148,intel,sandybridge,xeon gold,
gold 5120t,xeon gold 5120t,intel,sandybridge,xeon gold,
platinum 8158,xeon platinum 8158,intel,sandybridge,xeon platinum,
platinum 8176,xeon platinum 8176,intel,sandybridge,xeon platinum,
gold 6136,xeon gold 6136,intel,sandybridge,xeon gold,
gold 6150,xeon gold 6150,intel,sandybridge,xeon gold,
platinum 8160,xeon platinum 8160,intel,sandybridge,xeon platinum,
silver 4116,xeon silver 4116,intel,sandybridge,xeon silver,
gold 6152,xeon gold 6152,intel,sandybridge,xeon gold,
gold 6130,xeon gold 6130,intel,sandybridge,xeon gold,
gold 6128,xeon gold 6128,intel,sandybridge,xeon gold,
gold 5118,xeon gold 5118,intel,sandybridge,xeon gold,
platinum 8164,xeon platinum 8164,intel,sandybridge,xeon platinum,
gold 6134,xeon gold 6134,intel,sandybridge,xeon gold,
gold 6126,xeon gold 6126,intel,sandybridge,xeon gold,
gold 5120,xeon gold 5120,intel,sandybridge,xeon gold,
platinum 8168,xeon platinum 8168,intel,sandybridge,xeon platinum,
gold 5115,xeon gold 5115,intel,sandybridge,xeon gold,
gold 6154,xeon gold 6154,intel,sandybridge,xeon gold,
gold 6140,xeon gold 6140,intel,sandybridge,xeon gold,
platinum 8170,xeon platinum 8170,intel,sandybridge,xeon platinum,
platinum 8180,xeon platinum 8180,intel,sandybridge,xeon platinum,
silver 4109t,xeon silver 4109t,intel,sandybridge,xeon silver,
bronze 3106,xeon bronze 3106,intel,sandybridge,xeon bronze,
silver 4114,xeon silver 4114,intel,sandybridge,xeon silver,
gold 6132,xeon gold 6132,intel,sandybridge,xeon gold,
silver 4112,xeon silver 4112,intel,sandybridge,xeon silver,
gold 6138t,xeon gold 6138t,intel,sandybridge,xeon gold,
platinum 8160t,xeon platinum 8160t,intel,sandybridge,xeon platinum,
silver 4108,xeon silver 4108,intel,sandybridge,xeon silver,
gold 6142f,xeon gold 6142f,intel,sandybridge,xeon gold,
gold 6130t,xeon gold 6130t,intel,sandybridge,xeon gold,
gold 6138f,xeon gold 6138f,intel,sandybridge,xeon gold,
bronze 3104,xeon bronze 3104,intel,sandybridge,xeon bronze,
platinum 8160f,xeon platinum 8160f,intel,sandybridge,xeon platinum,
silver 4110,xeon silver 4110,intel,sandybridge,xeon silver,
gold 6130f,xeon gold 6130f,intel,sandybridge,xeon gold,
gold 6126t,xeon gold 6126t,intel,sandybridge,xeon gold,
gold 6126f,xeon gold 6126f,intel,sandybridge,xeon gold,
gold 6148f,xeon gold 6148f,intel,sandybridge,xeon gold,
gold 6146,xeon gold 6146,intel,sandybridge,xeon gold,
gold 6144,xeon gold 6144,intel,sandybridge,xeon gold,
platinum 8176f,xeon platinum 8176f,intel,sandybridge,xeon platinum,
silver 4116t,xeon silver 4116t,intel,sandybridge,xeon silver,
silver 4114t,xeon silver 4114t,intel,sandybridge,xeon silver,
gold 5119t,xeon gold 5119t,intel,sandybridge,xeon gold,
gold 6138p,xeon gold 6138p,intel,sandybridge,xeon gold,
w-2133,xeon w-2133,intel,sandybridge,xeon w,
w-2155,xeon w-2155,intel,sandybridge,xeon w,
w-2123,xeon w-2123,intel,sandybridge,xeon w,
w-2145,xeon w-2145,intel,sandybridge,xeon w,
w-2125,xeon w-2125,intel,sandybridge,xeon w,
w-2135,xeon w-2135,intel,sandybridge,xeon w,
w-2195,xeon w-2195,intel,sandybridge,xeon w,
w-2175,xeon w-2175,intel,sandybridge,xeon w,
d-2141i,xeon d-2141i,intel,sandybridge,xeon d,
d-2177nt,xeon d-2177nt,intel,sandybridge,xeon d,
d-2161i,xeon d-2161i,intel,sandybridge,xeon d,
d-2143it,xeon d-2143it,intel,sandybridge,xeon d,
d-2146nt,xeon d-2146nt,intel,sandybridge,xeon d,
d-2145nt,xeon d-2145nt,intel,sandybridge,xeon d,
d-2123it,xeon d-2123it,intel,sandybridge,xeon d,
d-2173it,xeon d-2173it,intel,sandybridge,xeon d,
d-2187nt,xeon d-2187nt,intel,sandybridge,xeon d,
d-2142it,xeon d-2142it,intel,sandybridge,xeon d,
d-2163it,xeon d-2163it,intel,sandybridge,xeon d,
d-2183it,xeon d-2183it,intel,sandybridge,xeon d,
d-2166nt,xeon d-2166nt,intel,sandybridge,xeon d,
e3-1240l v5,xeon e3-1240l v5,intel,sandybridge,xeon e3,
e3-1235l v5,xeon e3-1235l v5,intel,sandybridge,xeon e3,
e3-1280 v5,xeon e3-1280 v5,intel,sandybridge,xeon e3,
e3-1220 v5,xeon e3-1220 v5,intel,sandybridge,xeon e3,
e3-1230 v5,xeon e3-1230 v5,intel,sandybridge,xeon e3,
e3-1245 v5,xeon e3-1245 v5,intel,sandybridge,xeon e3,
e3-1270 v5,xeon e3-1270 v5,intel,sandybridge,xeon e3,
e3-1225 v5,xeon e3-1225 v5,intel,sandybridge,xeon e3,
e3-1260l v5,xeon e3-1260l v5,intel,sandybridge,xeon e3,
e3-1240 v5,xeon e3-1240 v5,intel,sandybridge,xeon e3,
e3-1275 v5,xeon e3-1275 v5,intel,sandybridge,xeon e3,
e3-1565l v5,xeon e3-1565l v5,intel,sandybridge,xeon e3,
e3-1585l v5,xeon e3-1585l v5,intel,sandybridge,xeon e3,
e3-1585 v5,xeon e3-1585 v5,intel,sandybridge,xeon e3,
c232,c232,intel,sandybridge,,
c236,c236,intel,sandybridge,,
8124m,8124m,intel,sandybridge,,
8175m,8175m,intel,sandybridge,,
8176m,8176m,intel,sandybridge,,
8151,8151,intel,sandybridge,,
w-3175x,xeon w-3175x,intel,sandybridge,xeon w,
i9-9920x,core i9-9920x,intel,sandybridge,core i9,
i9-9980xe,core i9-9980xe,intel,sandybridge,core i9,
i9-9940x,core i9-9940x,intel,sandybridge,core i9,
i9-9900x,core i9-9900x,intel,sandybridge,core i9,
i9-9960x,core i9-9960x,intel,sandybridge,core i9,
i7-9800x,core i7-9800x,intel,sandybridge,core i7,
i9-9820x,core i9-9820x,intel,sandybridge,core i9,
i9-7940x,core i9-7940x,intel,sandybridge,core i9,
i9-7980xe,core i9-7980xe,intel,sandybridge,core i9,
i9-7960x,core i9-7960x,intel,sandybridge,core i9,
i9-7920x,core i9-7920x,intel,sandybridge,core i9,
i7-7800x,core i7-7800x,intel,sandybridge,core i7,
i9-7900x,core i9-7900x,intel,sandybridge,core i9,
i7-7820x,core i7-7820x,intel,sandybridge,core i7,
i7-6785r,core i7-6785r,intel,sandybridge,core i7,
i7-6700,core i7-6700,intel,sandybridge,core i7,
i7-6700t,core i7-6700t,intel,sandybridge,core i7,
i7-6700k,core i7-6700k,intel,sandybridge,core i7,
i5-6685r,core i5-6685r,intel,sandybridge,core i5,
i5-6585r,core i5-6585r,intel,sandybridge,core i5,
i5-6402p,core i5-6402p,intel,sandybridge,core i5,
i5-6500t,core i5-6500t,intel,sandybridge,core i5,
i5-6500,core i5-6500,intel,sandybridge,core i5,
i5-6400,core i5-6400,intel,sandybridge,core i5,
i5-6400t,core i5-6400t,intel,sandybridge,core i5,
i5-6600,core i5-6600,intel,sandybridge,core i5,
i5-6600t,core i5-6600t,intel,sandybridge,core i5,
i5-6600k,core i5-6600k,intel,sandybridge,core i5,
i3-6098p,core i3-6098p,intel,sandybridge,core i3,
i3-6300,core i3-6300,intel,sandybridge,core i3,
i3-6320,core i3-6320,intel,sandybridge,core i3,
i3-6100t,core i3-6100t,intel,sandybridge,core i3,
i3-6100,core i3-6100,intel,sandybridge,core i3,
i3-6300t,core i3-6300t,intel,sandybridge,core i3,
e3-1545m,xeon e3-1545m,intel,sandybridge,xeon e3,
e3-1515m,xeon e3-1515m,intel,sandybridge,xeon e3,
e3-1575m,xeon e3-1575m,intel,sandybridge,xeon e3,
e3-1535m,xeon e3-1535m,intel,sandybridge,xeon e3,
e3-1505m,xeon e3-1505m,intel,sandybridge,xeon e3,
i7-6660u,core i7-6660u,intel,sandybridge,core i7,
i7-6970hq,core i7-6970hq,intel,sandybridge,core i7,
i7-6770hq,core i7-6770hq,intel,sandybridge,core i7,
i7-6870hq,core i7-6870hq,intel,sandybridge,core i7,
i7-6820hq,core i7-6820hq,intel,sandybridge,core i7,
i7-6560u,core i7-6560u,intel,sandybridge,core i7,
i7-6650u,core i7-6650u,intel,sandybridge,core i7,
i7-6500u,core i7-6500u,intel,sandybridge,core i7,
i7-6600u,core i7-6600u,intel,sandybridge,core i7,
i7-6820hk,core i7-6820hk,intel,sandybridge,core i7,
i7-6700hq,core i7-6700hq,intel,sandybridge,core i7,
i7-6920hq,core i7-6920hq,intel,sandybridge,core i7,
i7-6567u,core i7-6567u,intel,sandybridge,core i7,
