Category,type,ADPe,ADPf,AP,CTUe,CTUh-c,CTUh-nc,Epf,Epm,Ept,GWP,GWPb,GWPf,GWPlu,IR,LU,ODP,PM,POCP,WU,MIPS
Laptop,perso,"8,00E-03","2,36E+03","9,95E-01","3,05E+03","4,53E-08","1,08E-06","-1,82E-02","1,99E-01","1,41E+00","1,75E+02","3,77E-01","1,75E+02","3,78E-06","7,55E+01","-5,95E+01","5,05E-05","5,85E-06","4,50E-01","-8,20E+02","6,80E+02"
Laptop,pro,"8,60E-03","2,41E+03","1,04E+00","2,92E+03","3,98E-08","1,30E-06","-1,26E-02","1,54E-01","1,46E+00","1,81E+02","3,18E-01","1,81E+02","3,37E-06","7,36E+01","-5,60E+01","5,56E-05","6,08E-06","4,60E-01","-8,12E+02","6,80E+02"
Tablet,,"3,75E-03","1,00E+03","4,65E-01","1,54E+03","1,79E-08","6,99E-07","-2,80E-03","6,30E-02","6,09E-01","7,59E+01","1,49E-01","7,59E+01","3,18E-06","3,24E+01","-1,34E+00","2,40E-05","2,62E-06","1,96E-01","-8,46E+01","2,79E+02"
Smartphone,,"2,05E-03","1,11E+03","4,80E-01","1,34E+03","1,66E-08","5,65E-07","-2,95E-03","1,05E-01","6,10E-01","8,40E+01","1,16E-01","8,40E+01","1,05E-06","1,37E+01","-2,27E+00","2,68E-05","2,70E-06","1,98E-01","-1,07E+02","2,50E+02"
Desktop,perso,"8,52E-03","5,11E+03","1,55E+00","4,64E+03","-2,83E-08","1,49E-06","-8,52E-02","3,09E-01","2,28E+00","2,77E+02","9,24E-01","2,75E+02","2,27E-07","8,70E+02","-1,01E+02","6,24E-05","9,60E-06","7,20E-01","-4,49E+03","1,46E+03"
Desktop,pro,"8,52E-03","5,11E+03","1,55E+00","4,64E+03","-2,83E-08","1,49E-06","-8,52E-02","3,09E-01","2,28E+00","2,77E+02","9,24E-01","2,75E+02","2,27E-07","8,70E+02","-1,01E+02","6,24E-05","9,60E-06","7,20E-01","-4,49E+03","1,46E+03"
Monitor,,"1,08E-02","1,30E+03","3,82E-01","4,77E+02","4,57E-10","5,93E-07","-1,08E-02","1,09E-01","6,50E-01","6,47E+01","3,09E-01","6,45E+01","2,83E-06","1,45E+02","-1,01E+02","4,95E-06","2,57E-06","2,00E-01","-6,40E+02","4,23E+02"
Television,perso,"3,83E-02","6,61E+03","2,38E+00","5,30E+03","5,21E-08","4,56E-06","-2,27E-02","5,89E-01","3,44E+00","3,60E+02","1,56E+00","3,58E+02","1,00E-05","9,60E+02","-3,39E+02","1,86E-05","1,39E-05","1,06E+00","-9,20E+02","1,88E+03"
Television,pro,"2,49E-02","3,03E+03","9,44E-01","1,73E+03","2,06E-08","2,18E-06","-1,70E-02","2,82E-01","1,53E+00","1,52E+02","7,37E-01","1,51E+02","6,43E-06","3,30E+02","-2,24E+02","1,14E-05","5,94E-06","4,69E-01","-8,08E+02","1,00E+03"
ExternalHHD,,"2,34E-03","2,25E+02","8,60E-02","3,44E+02","2,65E-09","2,51E-07","-1,65E-03","1,84E-02","1,81E-01","1,58E+01","6,60E-02","1,57E+01","6,90E-09","1,97E+01","-3,09E+00","1,64E-06","6,50E-07","5,10E-02","-4,88E+02","9,65E+01"
ExternalSSD,,"3,97E-04","1,43E+03","6,00E-01","1,38E+03","1,15E-08","5,95E-07","-1,71E-03","7,40E-02","7,50E-01","1,09E+02","7,65E-02","1,09E+02","3,89E-09","6,90E+00","-1,05E+00","4,56E-05","3,33E-06","2,38E-01","-4,78E+00","2,64E+02"
USBStick,,"9,60E-05","8,20E+01","3,46E-02","7,45E+01","8,95E-10","3,57E-08","-4,50E-04","4,48E-03","4,29E-02","6,25E+00","4,54E-03","6,25E+00","9,15E-10","1,47E+00","-2,85E-01","2,35E-06","1,94E-07","1,38E-02","-2,02E+00","2,00E+01"
Box,,"4,41E-05","5,25E+02","1,79E-01","-4,28E+01","9,60E-08","-3,29E-07","-2,00E-02","3,75E-02","2,50E-01","3,61E+01","8,90E-02","3,60E+01","1,21E-08","1,35E+02","-4,63E+01","4,66E-06","1,27E-06","8,70E-02","-4,22E+02","2,57E+02"
Server,,"3,78E-02","5,15E+04","1,97E+01","4,84E+04","1,94E-07","1,87E-05","-2,58E-01","2,94E+00","2,70E+01","3,66E+03","4,19E+00","3,66E+03","6,65E-07","2,32E+03","-1,47E+02","1,35E-03","1,13E-04","8,40E+00","-3,71E+03","1,06E+04"
