name,release_date,manufacturer,code_name,model_range,frequency,tdp,cores,total_die_size,total_die_size_source,source,process_size,die_size,io_die_size,io_process_size,transistors,foundry
AMD A10-9700,"Jul 27th, 2017",AMD,Bristol Ridge,A10,3.5 GHz,65.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a10-9700.c1955,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A10-9700E,"Jul 27th, 2017",AMD,Bristol Ridge,A10,3 GHz,35.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a10-9700e.c1956,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A12-9800,"Jul 27th, 2017",AMD,Bristol Ridge,A12,3.8 GHz,65.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a12-9800.c1953,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A12-9800E,"Jul 27th, 2017",AMD,Bristol Ridge,A12,3.1 GHz,35.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a12-9800e.c1954,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A6-7480,"Oct 26th, 2018",AMD,Carrizo,A6,3.5 GHz,45.0,2.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a6-7480.c2614,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A6-9120C SoC,"Jan 7th, 2019",AMD,Stoney Ridge,A6,1600 MHz,6.0,2.0,124.0,io_die_size () + die_size (124 mm²),https://www.techpowerup.com/cpu-specs/a6-9120c-soc.c2143,28.0,124 mm²,,,"1,200 million",
AMD A6-9220C SoC,"Jan 7th, 2019",AMD,Stoney Ridge,A6,1800 MHz,6.0,2.0,124.0,io_die_size () + die_size (124 mm²),https://www.techpowerup.com/cpu-specs/a6-9220c-soc.c2142,28.0,124 mm²,,,"1,200 million",
AMD A6-9400,"Mar 16th, 2019",AMD,Bristol Ridge,A6,3.4 GHz,65.0,2.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a6-9400.c2622,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A6-9550,"Jul 27th, 2017",AMD,Bristol Ridge,A6,3.8 GHz,65.0,2.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a6-9550.c1958,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A8-7680,"Oct 26th, 2018",AMD,Carrizo,A8,3.5 GHz,45.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a8-7680.c2120,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD A8-9600,"Jul 27th, 2017",AMD,Bristol Ridge,A8,3.1 GHz,65.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/a8-9600.c2613,28.0,250 mm²,,,"3,100 million",GlobalFoundries
