name,source,code_name,frequency,tdp,cores,total_die_size,total_die_size_source,manufacturer
AMD A10 PRO-7800B,https://www.techpowerup.com/cpu-specs/a10-pro-7800b.c2602,Kaveri,3.5 GHz,65,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10 PRO-7850B,https://www.techpowerup.com/cpu-specs/a10-pro-7850b.c2603,Kaveri,3.7 GHz,95,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10-4600M,https://www.techpowerup.com/cpu-specs/a10-4600m.c1023,Trinity,2.3 GHz,35,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-4655M,https://www.techpowerup.com/cpu-specs/a10-4655m.c1026,Trinity,2000 MHz,25,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-5700,https://www.techpowerup.com/cpu-specs/a10-5700.c1102,Trinity,3.4 GHz,65,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-5745M,https://www.techpowerup.com/cpu-specs/a10-5745m.c1620,Richland,2.1 GHz,25,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-5750M,https://www.techpowerup.com/cpu-specs/a10-5750m.c1554,Richland,2.5 GHz,35,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-5757M,https://www.techpowerup.com/cpu-specs/a10-5757m.c1619,Richland,2.5 GHz,35,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-5800B,https://www.techpowerup.com/cpu-specs/a10-5800b.c1487,Trinity,3.8 GHz,100,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-5800K,https://www.techpowerup.com/cpu-specs/a10-5800k.c1100,Trinity,3.8 GHz,100,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-6700,https://www.techpowerup.com/cpu-specs/a10-6700.c1499,Richland,3.7 GHz,65,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-6700T,https://www.techpowerup.com/cpu-specs/a10-6700t.c1732,Richland,2.5 GHz,45,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-6790B,https://www.techpowerup.com/cpu-specs/a10-6790b.c2641,Richland,4 GHz,100,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-6790K,https://www.techpowerup.com/cpu-specs/a10-6790k.c1746,Richland,4 GHz,100,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-6800K,https://www.techpowerup.com/cpu-specs/a10-6800k.c1498,Richland,4.1 GHz,100,4,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A10-7700K,https://www.techpowerup.com/cpu-specs/a10-7700k.c1745,Kaveri,3.4 GHz,95,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10-7800,https://www.techpowerup.com/cpu-specs/a10-7800.c2601,Kaveri,3.5 GHz,65,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10-7850K,https://www.techpowerup.com/cpu-specs/a10-7850k.c1744,Kaveri,3.7 GHz,95,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10-7860K,https://www.techpowerup.com/cpu-specs/a10-7860k.c2604,Godaveri,3.6 GHz,65,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10-7870K,https://www.techpowerup.com/cpu-specs/a10-7870k.c1833,Godaveri,3.9 GHz,95,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10-7890K,https://www.techpowerup.com/cpu-specs/a10-7890k.c1832,Godaveri,4 GHz,95,4,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A10-9700,https://www.techpowerup.com/cpu-specs/a10-9700.c1955,Bristol Ridge,3.5 GHz,65,4,250.0,io_die_size () + die_size (250 mm²),AMD
