Name,Url,Socket,Foundry,Process Size,Package,tCaseMax,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,P-Core Boost 3.0,E-Core Frequency,Base Clock,Multiplier,Multiplier Unlocked,TDP,Minimum Power,PL1,PL2,PL2 Tau Limit,Codename,Generation,Memory Support,DDR4 Speed,DDR5 Speed,LPDDR4x Speed,LPDDR5 Speed,ECC Memory,PCI-Express,Secondary PCIe,PCH PCIe,Chipsets,# of Cores,# of Threads,Hybrid Cores,SMP # CPUs,Integrated Graphics,Cache L1,Cache L2,Cache L3,E-Core L1,E-Core L2,Transistors,Die Size,I/O Process Size,I/O Die Size,Launch Price,FP32,Voltage,Chipset,Configurable TDP,# of CCDs,Cores per CCD,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Uncore Frequency,XFR,PPT,Idle Power,Configurable TDP-down,DDR3L Speed,LPDDR3 Speed,DMI Bus Speed,QPI Links,All Core Turbo,Effective FSB,Trace L1,AVX2 Turbo,AVX-512 Turbo,AVX-512 FMA Ports,Package#,Stepping Codes,Max Power,L1 Trace,Cache Type,Min. Assured Freq.,Max. Assured Freq.,Maximum Power,High Priority Core Freq.,Low Priority Core Freq.,High Priority Cores,Low Priority Cores,OEM Launch MSRP,Retail Launch MSRP,Bundled Cooler,Boost 3.0,P-Core Turbo,TDP-down Frequency,Boost 2.0,LPDDR4 Speed,UPI Links,Max. Memory,Retail Launch,Turbo Boost 2.0,Max Turbo Power,DMI,Adjustable Multiplier,Cache L4,TDP Range,Processor Base Power,MSRP,Retail Refresh,Core Process,Cache Process,Cache Die Size,Cache Dies,NB Frequency,ACP,Retail Release,Package HBM,Max Multi Adjust,Retail Availability,3D V-Cache,LPDDR5x Speed,All P-Core Turbo,Radeon Graphics Die Size,Dedicated Graphics
AMD A10 PRO-7800B,https://www.techpowerup.com/cpu-specs/a10-pro-7800b.c2602,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,74°C,,Desktop,End-of-life,"Jul 31st, 2014",AD780BYBI44JA,3.5 GHz,up to 3.9 GHz,,,100 MHz,35.0x,No,65 W,,,,,Kaveri,A10 (Kaveri),DDR3-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10 PRO-7850B,https://www.techpowerup.com/cpu-specs/a10-pro-7850b.c2603,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,74°C,,Desktop,End-of-life,"Jul 31st, 2014",AD785BXBI44JA,3.7 GHz,up to 4 GHz,,,100 MHz,37.0x,No,95 W,,,,,Kaveri,A10 (Kaveri),DDR3-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-4600M,https://www.techpowerup.com/cpu-specs/a10-4600m.c1023,AMD Socket FS1r2,GlobalFoundries,32 nm,µPGA,,,Mobile,End-of-life,"May 15th, 2012",AM4600DEC44HJ,2.3 GHz,up to 3.2 GHz,,,100 MHz,23.0x,No,35 W,,,,,Trinity,A10 (Trinity),DDR3-1600 MHz Dual-channel,,,,,No,Gen 2,,,,4,4,,1,Radeon HD 7660G,192K,4MB (shared),,,,"1,303 million",246 mm²,,,,,1.3 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-4655M,https://www.techpowerup.com/cpu-specs/a10-4655m.c1026,AMD Socket FP2,GlobalFoundries,32 nm,BGA2,100°C,,Mobile,End-of-life,"May 15th, 2012",AM4655SIE44HJ,2000 MHz,up to 2.8 GHz,,,100 MHz,20.0x,No,25 W,,,,,Trinity,A10 (Trinity),DDR3-1333 MHz Dual-channel,,,,,No,Gen 2,,,,4,4,,1,Radeon HD 7620G,192K,4MB (shared),,,,"1,303 million",246 mm²,,,,,1.2 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5700,https://www.techpowerup.com/cpu-specs/a10-5700.c1102,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,71°C,,Desktop,End-of-life,"Oct 2nd, 2012",AD5700OKA44HJAD5700OKHJBOX,3.4 GHz,up to 4 GHz,,,100 MHz,34.0x,No,65 W,,,,,Trinity,A10 (Trinity),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 7660D,192K,4MB (shared),,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5745M,https://www.techpowerup.com/cpu-specs/a10-5745m.c1620,AMD Socket FP2,,32 nm,BGA2,71°C,,Mobile,Active,"Jun 1st, 2013",AM5745SIE44HL,2.1 GHz,up to 2.9 GHz,,,100 MHz,21.0x,No,25 W,,,,,Richland,A10 (Richland),DDR3 Dual-channel,,,,,No,,,,,4,4,,1,Radeon HD 8610G,128K (per core),1MB (per core),,,,"1,178 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5750M,https://www.techpowerup.com/cpu-specs/a10-5750m.c1554,AMD Socket FS1r2,,32 nm,µPGA,71°C,,Mobile,unknown,"Jun 1st, 2013",AM5750DEC44HL,2.5 GHz,up to 3.5 GHz,,,100 MHz,25.0x,No,35 W,,,,,Richland,A10 (Richland),DDR3,,,,,No,,,,,4,4,,1,Radeon HD 8650G,128K (per core),1MB (per core),,,,"1,178 million",246 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5757M,https://www.techpowerup.com/cpu-specs/a10-5757m.c1619,AMD Socket FP2,,32 nm,BGA2,71°C,,Mobile,unknown,"Jun 1st, 2013",AM5757DFE44HL,2.5 GHz,up to 3.5 GHz,,,100 MHz,25.0x,No,35 W,,,,,Richland,A10 (Richland),DDR3 Dual-channel,,,,,No,,,,,4,4,,1,Radeon HD 8650G,128K (per core),1MB (per core),,,,"1,178 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5800B,https://www.techpowerup.com/cpu-specs/a10-5800b.c1487,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,74°C,,Desktop,End-of-life,"Oct 2nd, 2012",AD580BWOA44HJ,3.8 GHz,up to 4.2 GHz,,,100 MHz,38.0x,No,100 W,,,,,Trinity,A10 (Trinity),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 7660D,192K,4MB (shared),,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5800K,https://www.techpowerup.com/cpu-specs/a10-5800k.c1100,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,74°C,,Desktop,End-of-life,"Oct 2nd, 2012",AD580KWOA44HJAD580KWOHJBOX,3.8 GHz,up to 4.2 GHz,,,100 MHz,38.0x,Yes,100 W,,,,,Trinity,A10 (Trinity),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 7660D,192K,4MB (shared),,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
