english_name,french_name,unit,source,priority,reference_year,name,WOR,EEE,ZWE,ZMB,ZAF,YEM,VNM,VEN,UZB,URY,USA,UKR,TZA,TWN,TTO,TUR,TUN,TKM,TJK,THA,TGO,SYR,SLV,SEN,SVK,SVN,SGP,SWE,SDN,SAU,RUS,SCG,ROU,QAT,PRY,PRT,POL,PAK,PHL,PER,PAN,OMN,NZL,NPL,NOR,NLD,NIC,NGA,NAM,MOZ,MYS,MEX,MLT,MNG,MMR,MKD,MDA,MAR,LBY,LVA,LUX,LTU,LKA,LBN,KAZ,KWT,KOR,PRK,KHM,KGZ,KEN,JPN,JOR,JAM,ITA,ISL,IRN,IRQ,IND,ISR,IRL,IDN,HUN,HTI,HRV,HND,HKG,GTM,GRC,GIB,GHA,GEO,GBR,GAB,FRA,FIN,ETH,ESP,ERI,EGY,EST,ECU,DZA,DOM,DNK,DEU,CZE,CYP,CUB,CRI,COL,CHN,CMR,CHL,CIV,CHE,COG,COD,CAN,BLR,BWA,BRA,BOL,BRN,BEN,BHR,BGR,BEL,BGD,BIH,AZE,AUS,AUT,ARG,AGO,ANT,ARM,ALB,ARE
,,,,,,country,World,Europe,Zimbabwe,Zambia,South Africa,Yemen,Vietnam,Venezuela,Uzbekistan,Uruguay,United States,Ukraine,"Tanzania, United Republic Of",Taiwan,Trinidad and Tobago,Turkey,Tunisia,Turkmenistan,Tajikistan,Thailand,Togo,Syria,El Salvador,Senegal,Slovakia,Slovenia,Singapore,Sweden,Sudan,Saudi Arabia,Russian Federation,Serbie ,Romania,Qatar,Paraguay,Portugal,Poland,Pakistan,Philippines,Peru,Panama,Oman,New Zealand,Nepal,Norway,Netherlands,Nicaragua,Nigeria,Namibia,Mozambique,Malaysia,Mexico,Malta,Mongolia,Myanmar,North Macedonia,"Moldova, Republic Of",Morocco,Libya,Latvia,Luxembourg,Lithuania,Sri Lanka,Lebanon,Kazakhstan,Kuwait,"Korea, Republic Of","Korea, Democratic People's Republic Of",Cambodia,Kyrgyzstan,Kenya,Japan,Jordan,Jamaica,Italy,Iceland,"Iran, Islamic Republic Of",Iraq,India,Israel,Ireland,Indonesia,Hungary,Haiti,Croatia,Honduras,Hong Kong,Guatemala,Greece,Gibraltar,Ghana,Georgia,United Kingdom,Gabon,France,Finland,Ethiopia,Spain,Eritrea,Egypt,Estonia,Ecuador,Algeria,Dominican Republic,Denmark,Germany,Czech Republic,Cyprus,Cuba,Costa Rica,Colombia,China,Cameroon,Chile,Cote D'ivoire,Switzerland,Congo,"Congo, The Democratic Republic Of The",Canada,Belarus,Botswana,Brazil,Bolivia,Brunei Darussalam,Benin,Bahrain,Bulgaria,Belgium,Bangladesh,Bosnia-Herzegovina,Azerbaijan,Australia,Austria,Argentina,Angola,Netherlands Antilles,Armenia,Albania,United Arab Emirates
Acidification,Acidification,mol éq. H+,ADEME Base IMPACTS ®,3,2011,ap,2.32766,0.223813,0.0108432,0.000153449,0.0151197,0.0322861,0.00452596,0.00558046,0.00348012,0.00834624,0.0036712,0.000894734,0.00155966,0.00861254,0.00245014,0.0117462,0.00582212,0.00304619,0.0000684273,0.00709655,0.0127167,0.0233106,0.0111793,0.0275064,0.00158928,0.000317265,0.00617875,0.000205792,0.0275295,0.0157798,0.000142687,0.041515,0.00166774,0.00160631,0.00000757481,0.00013267,0.00949766,0.00740151,0.00761762,0.00213338,0.0118683,0.0118503,0.00151872,0.000128768,0.0000431434,0.00105822,0.0253725,0.00443329,0.00462983,0.0000138435,0.0056805,0.00942221,0.0125114,0.0497006,0.00458418,0.000984843,0.000269757,0.0136214,0.0286137,0.00011583,0.000455209,0.000196951,0.0106068,0.0265856,0.015495,0.020822,0.00119496,0.0100174,0.0423186,0.000866085,0.0138865,0.00118065,0.00647612,0.0295359,0.000133352,0.00000520141,0.0137834,0.0412593,0.0162766,0.004751,0.00116532,0.0101653,0.000351881,0.0353956,0.000455381,0.0171573,0.00659989,0.0148761,0.0000921877,0.00509549,0.0123342,0.000293755,0.00216912,0.00983877,0.000209809,0.000301427,0.0049108,0.000229486,0.0283053,0.00574836,0.00291674,0.015548,0.00320257,0.0202354,0.00187003,0.00176241,8.37957,0.00918807,0.0329449,0.00227557,0.00190121,0.00896069,0.00713268,0.00986434,0.00280879,0.0000404326,0.00241418,0.0000586592,0.00144613,0.000986305,0.0273757,0.00166165,0.00164035,0.0018839,0.0298067,0.00213309,0.000850411,0.000786419,0.00324881,0.0019801,0.00262851,0.00631493,0.000185756,0.00327536,0.0113371,0.0107951,0.000726222,0.0000031651,0.00330672
Ozone depletion,Appauvrissement de la couche d'ozone,kg éq. CFC 11,ADEME Base IMPACTS ®,3,2011,odp,0.000000000243647,0.000000000181674,0,0,0,0,0,0,0,0,0.000000000129244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000146386,0,0,0,0,0.000000000119499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000877128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000216922,0,0,0,0,0,0,0,0,0,0,0,0.000000000592112,0,0,0,0,0,0,0,0,0,0,0
Climate change-Biogenic,Changement climatique - Biogénique,kg éq. CO2,ADEME Base IMPACTS ®,3,2011,gwpb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate change-Fossil,Changement climatique - Fossile,kg éq. CO2,ADEME Base IMPACTS ®,3,2011,gwpf,0.590478,0.509427,0.842811,0.0141304,1.17562,1.06777,0.555572,0.497373,0.81178,0.296953,0.67978,0.646745,0.475635,0.845351,0.933059,0.706988,0.80722,1.38296,0.0426743,0.646174,0.545455,1.08778,0.473128,1.1195,0.309341,0.498523,0.655825,0.0464664,1.12472,0.913677,0.66131,1.07808,0.664245,0.722125,0.241601,0.571172,1.15075,0.748727,0.761317,0.284364,0.53403,1.41292,0.293397,0.0841323,0.023754,0.544803,0.941626,0.693123,0.357253,0.00880732,0.832206,0.739214,1.31149,1.47192,0.48193,1.24074,1.04213,0.933694,1.35361,0.234273,0.490016,0.154229,0.709185,0.883627,1.128,0.885084,0.599585,0.797361,1.41054,0.156039,0.589603,0.540891,0.781372,1.07345,0.621329,0.0194609,0.930385,1.48728,1.58299,0.901842,0.648118,0.875394,0.541558,1.3858,0.535759,0.692837,0.95888,0.645801,1.13127,0.977477,0.540126,0.132046,0.602137,0.732511,0.0813225,0.322068,0.251299,0.467803,1.13153,0.587775,1.51492,0.627714,1.02318,0.909252,0.633534,0.657374,0.799077,0.978041,1.28325,0.224471,0.214014,1.05738,0.456622,0.574415,0.928583,0.0448568,0.904053,0.0613102,0.238191,0.795697,2.12572,0.278647,0.585131,0.997577,1.19128,0.804567,0.827087,0.256537,0.795168,1.56025,0.726126,1.12326,0.245573,0.476811,0.412014,1.13161,0.252002,0.0207635,1.09088
Climate change-Land use,Changement climatique - Usage des sols,kg éq. CO2,ADEME Base IMPACTS ®,3,2011,gwplu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freshwater eutrophication,Eutrophisation eaux douces,kg éq. P,ADEME Base IMPACTS ®,3,2011,epf,0.0000000656679,0.0000000289737,0.0000000147186,0.0000000030261,0.0000000212354,0.000000140475,0.0000000107741,0.0000000224598,0.00000000944821,0.0000000380918,0.0000000260248,0.0000000325119,0.00000000488341,0.0000000350426,0.00000000809717,0.0000000113407,0.0000000135556,0.00000000990033,0.00000000261761,0.0000000526191,0.0000000378257,0.000000099046,0.0000000473146,0.0000000773497,0.0000000276725,0.0000000212957,0.0000000168319,0.0000000220231,0.0000000785106,0.0000000655251,0.0000000168588,0.00000000506103,0.0000000131775,0.00000000133782,0.00000000197263,0.0000000254454,0.0000000191034,0.0000000572261,0.0000000140684,0.00000000930194,0.000000050891,0.0000000436186,0.00000000425483,0.00000000532704,0.00000000242092,0.0000000219265,0.000000105866,0.00000000956342,0.0000000078745,0.00000000240462,0.0000000100137,0.0000000325177,0.000000236404,0.0000000232598,0.0000000159112,0.000000018559,0.0000000102375,0.0000000306414,0.0000000806024,0.00000000526384,0.0000000130753,0.0000000337025,0.0000000880426,0.0000001157,0.000000032311,0.0000000884134,0.000000025523,0.0000000192238,0.000000132092,0.00000000454515,0.0000000402956,0.0000000351441,0.0000000237425,0.000000124283,0.0000000296479,0.00000000111006,0.0000000551715,0.000000174953,0.0000000463076,0.0000000240216,0.0000000161848,0.0000000445003,0.0000000275721,0.000000149927,0.0000000382281,0.0000000726321,0.000000016039,0.0000000530424,0.0000000360452,0.00000016885,0.000000037253,0.00000000320319,0.0000000399035,0.0000000270648,0.0000000326897,0.0000000215864,0.0000000168782,0.0000000228166,0.0000000795677,0.0000000157497,0.0000000343629,0.0000000696359,0.00000000420252,0.00000007715,0.0000000383109,0.0000000307766,0.0000000196767,0.000000173637,0.000000138206,0.0000000108704,0.00000000540976,0.0000000221258,0.0000000215453,0.0000000355991,0.00000000319861,0.0000000290967,0.00000000579099,0.00000000334038,0.0000000138913,0.0000000153448,0.0000000337534,0.00000000921589,0.0000000103461,0.00000000369545,0.0000000835947,0.0000000034878,0.0000000284254,0.0000000303808,0.000000013234,0.0000000133548,0.0000000179234,0.0000000127617,0.0000000128754,0.0000000181342,0.0000000346081,0.000000204045,0.0000000209957,0.00000000552942,0.0000000065055
Marine eutrophication,Eutrophisation marine,kg éq. N,ADEME Base IMPACTS ®,3,2011,epm,0.000919002,0.000326757,0.00130601,0.00000929379,0.00183076,0.00129782,0.000707446,0.000354236,0.000789202,0.000290653,0.000395213,0.00110678,0.000312165,0.00123681,0.000812541,0.000811605,0.000776526,0.00133943,0.0000289468,0.000755223,0.000526342,0.00125559,0.000282541,0.0011013,0.000220548,0.000380012,0.000684381,0.0000428489,0.0010692,0.00102892,0.000767913,0.000740669,0.000619031,0.000682384,0.00000234256,0.000570782,0.000906413,0.000810736,0.00106279,0.000209555,0.000251079,0.00141432,0.000367632,0.0000137777,0.00000626955,0.000257177,0.00071837,0.000529892,0.000546063,0.00000341326,0.000968849,0.0007494,0.00134933,0.00149777,0.000461888,0.000867563,0.00101507,0.00156748,0.0014872,0.000123813,0.000181982,0.0000793731,0.000816111,0.00107283,0.00194164,0.0010237,0.00027197,0.00166439,0.00180372,0.000173793,0.000612007,0.00025964,0.000831663,0.000619377,0.000281486,0.00000159081,0.000984958,0.00163103,0.00242939,0.000978758,0.000450332,0.00120889,0.000273159,0.000733893,0.000424361,0.000401997,0.00177535,0.000843136,0.000629205,0.000656225,0.000481192,0.000118222,0.000509739,0.000609116,0.0000761251,0.000231787,0.000193722,0.000364584,0.00109802,0.000616218,0.000588297,0.000542785,0.000943291,0.000685957,0.000439988,0.000265063,0.000722665,0.000741503,0.00078931,0.0000572226,0.000181783,0.00235429,0.000372621,0.000572603,0.000703228,0.0000293411,0.000616224,0.00000775047,0.000203951,0.000789831,0.00330841,0.00015293,0.000356727,0.000612467,0.00115612,0.000825013,0.000581099,0.000164853,0.000808687,0.00219132,0.000731823,0.0012538,0.000109517,0.00033377,0.000484351,0.00116425,0.000250116,0.0000150747,0.00112156
Terrestrial eutrophication,Eutrophisation terrestre,mol éq. N,ADEME Base IMPACTS ®,3,2011,ept,0.0100736,0.00141835,0.0143157,0.000101635,0.0200646,0.0141959,0.00775004,0.00387694,0.00864454,0.00318659,0.0042979,0.00220667,0.00341813,0.0135506,0.00889856,0.00888797,0.00848673,0.014672,0.000316994,0.00829332,0.00575964,0.0137387,0.00310472,0.0120508,0.00102718,0.00171459,0.00749474,0.000147182,0.0116992,0.0112604,0.00125227,0.00816298,0.0015191,0.00747355,0.000025543,0.000822385,0.00488169,0.00882112,0.0116431,0.00229703,0.00276077,0.0154852,0.00402799,0.000149787,0.0000109154,0.00140544,0.00789033,0.00580222,0.00598542,0.0000372896,0.0106159,0.00821199,0.0147522,0.0164106,0.00505727,0.00223784,0.00195514,0.0171738,0.0162669,0.000462168,0.00169039,0.000305755,0.00884707,0.011735,0.0212819,0.0112001,0.00296136,0.01817,0.0197402,0.00190427,0.00669775,0.00283596,0.00910536,0.00681084,0.00108983,0.0000176483,0.0107801,0.0178403,0.0266197,0.0106971,0.00072014,0.013241,0.00115603,0.00807043,0.00136138,0.00441835,0.0193819,0.00924567,0.000487113,0.00716418,0.00526515,0.00129489,0.00141506,0.00666756,0.00049761,0.000850318,0.00211964,0.000822659,0.0120145,0.00674719,0.00220604,0.00595156,0.0103064,0.0075307,0.00187685,0.00195809,0.00462839,0.00812853,0.00867472,0.000628934,0.00199395,0.0256924,0.00407826,0.0062813,0.00770167,0.000255719,0.00674865,0.0000847642,0.00222366,0.00297584,0.0362649,0.00167224,0.00390836,0.00670817,0.0126502,0.00903507,0.000680296,0.0011414,0.00884755,0.00579339,0.00801466,0.0137287,0.000641618,0.00365349,0.00530032,0.0127287,0.00270589,0.0000387635,0.0122824
Photochemical ozone formation,Formation d'ozone photochimique,kg éq. COVNM,ADEME Base IMPACTS ®,3,2011,pocp,0.00276809,0.00101639,0.00393688,0.0000344894,0.00551237,0.00529964,0.00207021,0.00129861,0.00229461,0.00136604,0.00123536,0.00327696,0.00105159,0.00372411,0.00240094,0.00282244,0.0024774,0.00373251,0.0000808297,0.00238699,0.00239681,0.00463733,0.00153242,0.00507728,0.000748539,0.00107077,0.00218365,0.000136489,0.00498193,0.00359476,0.00229249,0.00446052,0.00226436,0.0019073,0.00000665502,0.00182535,0.0027977,0.00262641,0.00316428,0.000722177,0.00147958,0.00448549,0.00103555,0.0000443897,0.0000183031,0.00072543,0.00370987,0.00190795,0.00165372,0.00000994086,0.00284716,0.00260024,0.00433132,0.00687614,0.00147337,0.00449498,0.00283877,0.00483222,0.00571993,0.000361534,0.000525301,0.000240109,0.00280876,0.00437452,0.00582676,0.00392089,0.000812525,0.00482042,0.00726782,0.000501901,0.00272822,0.000812144,0.00251761,0.00366674,0.000905097,0.00000494368,0.00347319,0.00707176,0.00710474,0.00278252,0.00128994,0.00369369,0.000818511,0.00436862,0.00130626,0.00225655,0.00491845,0.00332919,0.00225902,0.00220936,0.00223767,0.000330773,0.00143383,0.00248083,0.000210846,0.000680254,0.000896467,0.00119734,0.00511906,0.0019501,0.00211295,0.00250741,0.00279331,0.00316202,0.00122064,0.000753465,0.00223275,0.00254338,0.00436554,0.000310596,0.000614095,0.00649117,0.00158489,0.00220968,0.00234125,0.0000851181,0.00205,0.0000258907,0.000624265,0.00223522,0.00996513,0.000554689,0.0011009,0.00183318,0.00539005,0.00223211,0.00315384,0.000481893,0.00239822,0.00706082,0.0020899,0.0035306,0.000336152,0.00113118,0.00201738,0.0037372,0.000698162,0.0000478961,0.00305836
