name,manufacturer,unit,number,vram,die_surface,pwb_surface,distance_boat,distance_truck,distance_plane,mass_casing,mass_heatsink,mass,source
NVIDIA GTX 1080 Ti,NVIDIA,1,11,11,740.57,312.14,19000,1000,0,0.252,0.427,0.881,
NVIDIA RTX A4500,NVIDIA,1,10,20,1135.82,230.04,19000,1000,0,0.1976,0.714,1.06,
NVIDIA Titan RTX,NVIDIA,1,12,20,1528.87,309.72,19000,1000,0,0.682,0.0537,0.936,
NVIDIA P100,NVIDIA,1,4,16,1088.7,295.26,19000,1000,0,0.175,0.538,0.888,
NVIDIA L4,NVIDIA,1,12,24,390.96,93.13,19000,1000,0,0,0.0871,0.142,
NVIDIA A100 PCIe 40GB,NVIDIA,1,6,40,1798.0,234.36,19000,1000,0,0.387,0.609,1.23,
NVIDIA A100 SXM4 40GB,NVIDIA,1,6,40,1798.0,105.0,19000,1000,0,0.09,1.25,1.56,
NVIDIA H100 SXM 80GB,NVIDIA,1,6,80,2810.4,296.37,19000,1000,0,0.789230,0.900770,1.690000,
NVIDIA H100 PCIe 80GB,NVIDIA,1,6,80,2808.45,234.36,19000,1000,0,0.307,0.66,1.2,https://www.nvidia.com/content/dam/en-zz/Solutions/gtcs22/data-center/h100/PB-11133-001_v01.pdf;https://en.wikipedia.org/wiki/SXM_(socket)
NVIDIA H100 NVL 94GB,NVIDIA,1,6,94,2808.45,234.36,19000,1000,0,0.311,0.668,1.214,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/h100/PB-11773-001_v01.pdf;https://en.wikipedia.org/wiki/SXM_(socket)
NVIDIA H200 SXM 141GB,NVIDIA,1,6,141,2808.45,296.37,19000,1000,0,0.78923,0.90077,1.69,https://en.wikipedia.org/wiki/SXM_(socket)
NVIDIA A100 SXM4 80GB,NVIDIA,1,6,80,2876.29,105.0,19000,1000,0,0.09,1.25,1.56,https://en.wikipedia.org/wiki/SXM_(socket)
NVIDIA A100 PCIe 80GB,NVIDIA,1,6,80,2876.29,234.36,19000,1000,0,0.3,0.643,1.17,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/PB-10577-001_v02.pdf;https://en.wikipedia.org/wiki/Ampere_(microarchitecture)
NVIDIA L40S 48GB,NVIDIA,1,24,48,1773.22,234.36,19000,1000,0,0.269,0.579,1.052,https://www.pny.com/File%20Library/Company/Support/product-briefs/data-center-gpus/NVIDIA-L40S-Product-Brief.pdf;https://locuza.substack.com/p/nvidias-ad102-officially-revealed
