model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server,usage.instance_per_server,usage.max_power,usage.max_power,usage.workload.idle.power,usage.workload.idle.time,usage.workload.10.power,usage.workload.10.time,usage.workload.50.power,usage.workload.50.time,usage.workload.100.power,usage.workload.100.time
AWS,a1.medium,rack,2018,1,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,,,,,2,,0.0625,16.00,4.2,67.94,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,a1.large,rack,2018,1,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,,,,,2,,0.125,8.00,8.5,67.94,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,a1.xlarge,rack,2018,1,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,,,,,2,,0.25,4.00,17.0,67.94,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,a1.2xlarge,rack,2018,1,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,,,,,2,,0.5,2.00,34.0,67.94,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,a1.4xlarge,rack,2018,1,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,,,,,2,,1,1.00,67.9,67.94,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,a1.metal,rack,2019,1,16,Annapurna Labs,Graviton,2019,16,,2,16,,,,,,,,2,,1,1.00,67.9,67.94,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c5.large,rack,2016,2,18,Intel,Skylake,2016,14,,12,16,,,,,,,,2,,0.02777777778,36.00,18.0,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5.xlarge,rack,2016,2,18,Intel,Skylake,2016,14,,12,16,,,,,,,,2,,0.05555555556,18.00,35.9,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5.2xlarge,rack,2016,2,18,Intel,Skylake,2016,14,,12,16,,,,,,,,2,,0.1111111111,9.00,71.9,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5.4xlarge,rack,2016,2,18,Intel,Skylake,2016,14,,12,16,,,,,,,,2,,0.2222222222,4.50,143.7,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5.9xlarge,rack,2019,2,18,Intel,Skylake,2019,14,,12,16,,,,,,,,2,,0.5,2.00,323.4,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5.12xlarge,rack,2019,2,24,Intel,Cascade Lake,2019,14,,12,16,,,,,,,,2,,0.5,2.00,466.6,933.24,0.20,0.00,0.36,0.00,0.73,1,1,0.00
AWS,c5.18xlarge,rack,2019,2,18,Intel,Skylake,2019,14,,12,16,,,,,,,,2,,1,1.00,646.8,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5.24xlarge,rack,2019,2,24,Intel,Cascade Lake,2019,14,,12,16,,,,,,,,2,,1,1.00,933.2,933.24,0.20,0.00,0.36,0.00,0.73,1,1,0.00
AWS,c5.metal,rack,2019,2,24,Intel,Cascade Lake,2019,14,,12,16,,,,,,,,2,,1,1.00,933.2,933.24,0.20,0.00,0.36,0.00,0.73,1,1,0.00
AWS,c5a.large,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,0.02083333333,48.00,9.5,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5a.xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,0.04166666667,24.00,19.0,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5a.2xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,0.08333333333,12.00,38.0,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5a.4xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,0.1666666667,6.00,76.1,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5a.8xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,0.3333333333,3.00,152.1,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5a.12xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,0.5,2.00,228.2,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5a.16xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,0.6666666667,1.50,304.3,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5a.24xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,,,,,2,,1,1.00,456.4,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.large,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,0.02083333333,48.00,9.5,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,0.04166666667,24.00,19.0,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.2xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,0.08333333333,12.00,38.0,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.4xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,0.1666666667,6.00,76.1,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.8xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,0.3333333333,3.00,152.1,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.12xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,0.5,2.00,228.2,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.16xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,0.6666666667,1.50,304.3,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5ad.24xlarge,rack,2020,1,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,1,1.00,456.4,456.39,0.28,0.00,0.44,0.00,0.75,1,1,0.00
AWS,c5d.large,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,0.02777777778,36.00,18.0,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5d.xlarge,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,0.05555555556,18.00,35.9,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5d.2xlarge,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,0.1111111111,9.00,71.9,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5d.4xlarge,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,0.2222222222,4.50,143.7,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5d.9xlarge,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,0.5,2.00,323.4,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5d.12xlarge,rack,2019,2,24,Intel,Cascade Lake,2019,14,,12,16,,,,4,SSD,900,,2,,0.5,2.00,466.6,933.24,0.20,0.00,0.36,0.00,0.73,1,1,0.00
AWS,c5d.18xlarge,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,1,1.00,646.8,646.75,0.27,0.00,0.44,0.00,0.74,1,1,0.00
AWS,c5d.24xlarge,rack,2019,2,24,Intel,Cascade Lake,2019,14,,12,16,,,,4,SSD,900,,2,,1,1.00,933.2,933.24,0.20,0.00,0.36,0.00,0.73,1,1,0.00
AWS,c5d.metal,rack,2019,2,24,Intel,Cascade Lake,2019,14,,12,16,,,,4,SSD,900,,2,,1,1.00,933.2,933.24,0.20,0.00,0.36,0.00,0.73,1,1,0.00
AWS,c5n.large,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,,,,,2,,0.02777777778,36.00,19.1,686.46,0.27,0.00,0.43,0.00,0.74,1,1,0.00
AWS,c5n.xlarge,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,,,,,2,,0.05555555556,18.00,38.1,686.46,0.27,0.00,0.43,0.00,0.74,1,1,0.00
AWS,c5n.2xlarge,rack,2018,2,18,Intel,Skylake,2018,14,,12,16,,,,,,,,2,,0.1111111111,9.00,76.3,686.46,0.27,0.00,0.43,0.00,0.74,1,1,0.00
