model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.tdp,configuration.cpu.model_range,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server
AWS,a1.medium,rack,2018,1,40,Graviton,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,0,EBS,0,,2,,16
AWS,a1.large,rack,2018,1,40,Graviton,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,0,EBS,0,,2,,8
AWS,a1.xlarge,rack,2018,1,40,Graviton,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,0,EBS,0,,2,,4
AWS,a1.2xlarge,rack,2018,1,40,Graviton,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,0,EBS,0,,2,,2
AWS,a1.4xlarge,rack,2018,1,40,Graviton,16,Annapurna Labs,Graviton,2018,16,,2,16,,,,0,EBS,0,,2,,1
AWS,a1.metal,rack,2019,1,40,Graviton,16,Annapurna Labs,Graviton,2019,16,,2,16,,,,0,EBS,0,,2,,1
AWS,c5.large,rack,2016,2,95,Xeon E5-2651 v2,18,Intel,Skylake,2016,14,,12,16,,,,0,EBS,0,,2,,36
AWS,c5.xlarge,rack,2016,2,95,Xeon E5-2651 v2,18,Intel,Skylake,2016,14,,12,16,,,,0,EBS,0,,2,,18
AWS,c5.2xlarge,rack,2016,2,115,Xeon E5-2670,18,Intel,Skylake,2016,14,,12,16,,,,0,EBS,0,,2,,9
AWS,c5.4xlarge,rack,2016,2,115,Xeon E5-2670,18,Intel,Skylake,2016,14,,12,16,,,,0,EBS,0,,2,,"4,5"
AWS,c5.9xlarge,rack,2019,2,115,Xeon E5-2680 v2,18,Intel,Skylake,2019,14,,12,16,,,,0,EBS,0,,2,,2
AWS,c5.12xlarge,rack,2019,2,115,Xeon E5-2680 v2,24,Intel,Cascade Lake,2019,14,,12,16,,,,0,EBS,0,,2,,2
AWS,c5.18xlarge,rack,2019,2,115,Xeon E5-2680 v2,18,Intel,Skylake,2019,14,,12,16,,,,0,EBS,0,,2,,1
AWS,c5.24xlarge,rack,2019,2,115,Xeon E5-2680 v2,24,Intel,Cascade Lake,2019,14,,12,16,,,,0,EBS,0,,2,,1
AWS,c5.metal,rack,2019,2,115,Xeon E5-2680 v2,24,Intel,Cascade Lake,2019,14,,12,16,,,,0,EBS,0,,2,,1
AWS,c5a.large,rack,2020,1,135,Xeon E5-2666 v3,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,48
AWS,c5a.xlarge,rack,2020,1,135,Xeon E5-2666 v3,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,24
AWS,c5a.2xlarge,rack,2020,1,135,Xeon E5-2666 v3,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,12
AWS,c5a.4xlarge,rack,2020,1,135,Xeon E5-2666 v3,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,6
AWS,c5a.8xlarge,rack,2020,1,135,Xeon E5-2666 v3,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,3
AWS,c5a.12xlarge,rack,2020,1,240,Xeon Platinum 8124M,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,2
AWS,c5a.16xlarge,rack,2020,1,240,Xeon Platinum 8124M,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,"1,5"
AWS,c5a.24xlarge,rack,2020,1,240,Xeon Platinum 8124M,48,AMD,Rome,2020,7,,12,16,,,,0,EBS,0,,2,,1
AWS,c5ad.large,rack,2020,1,240,Xeon Platinum 8124M,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,48
AWS,c5ad.xlarge,rack,2020,1,240,Xeon Platinum 8124M,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,24
AWS,c5ad.2xlarge,rack,2020,1,240,Xeon Platinum 8275CL,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,12
AWS,c5ad.4xlarge,rack,2020,1,240,Xeon Platinum 8124M,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,6
AWS,c5ad.8xlarge,rack,2020,1,240,Xeon Platinum 8275CL,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,3
AWS,c5ad.12xlarge,rack,2020,1,240,Xeon Platinum 8275CL,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,2
AWS,c5ad.16xlarge,rack,2020,1,280,EPYC 7R32,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,"1,5"
AWS,c5ad.24xlarge,rack,2020,1,280,EPYC 7R32,48,AMD,Rome,2020,7,,12,16,,,,2,SSD,1900,,2,,1
AWS,c5d.large,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,36
AWS,c5d.xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,18
AWS,c5d.2xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,9
AWS,c5d.4xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,"4,5"
AWS,c5d.9xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,2
AWS,c5d.12xlarge,rack,2019,2,280,EPYC 7R32,24,Intel,Cascade Lake,2019,14,,12,16,,,,4,SSD,900,,2,,2
AWS,c5d.18xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,2,SSD,900,,2,,1
AWS,c5d.24xlarge,rack,2019,2,280,EPYC 7R32,24,Intel,Cascade Lake,2019,14,,12,16,,,,4,SSD,900,,2,,1
AWS,c5d.metal,rack,2019,2,280,EPYC 7R32,24,Intel,Cascade Lake,2019,14,,12,16,,,,4,SSD,900,,2,,1
AWS,c5n.large,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,0,EBS,0,,2,,36
AWS,c5n.xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,0,EBS,0,,2,,18
AWS,c5n.2xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,0,EBS,0,,2,,9
AWS,c5n.4xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,0,EBS,0,,2,,"4,5"
AWS,c5n.9xlarge,rack,2018,2,280,EPYC 7R32,18,Intel,Skylake,2018,14,,12,16,,,,0,EBS,0,,2,,2
