Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8252 hourly,€0.2295 hourly,€1.2962 hourly,€0.7004 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.6505 hourly,€0.4589 hourly,€2.5924 hourly,€1.4009 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.301 hourly,€0.9179 hourly,€5.1849 hourly,€2.8018 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.602 hourly,€1.8358 hourly,€10.3697 hourly,€5.6035 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€9.8173 hourly,€2.6556 hourly,€13.5851 hourly,€6.4233 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.2272 hourly,€0.3319 hourly,€1.6981 hourly,€0.8029 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.4543 hourly,€0.6639 hourly,€3.3963 hourly,€1.6058 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.9087 hourly,€1.3278 hourly,€6.7925 hourly,€3.2117 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€9.8173 hourly,€2.6556 hourly,€13.5851 hourly,€6.4233 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.5573 hourly,€1.9001 hourly,€18.7207 hourly,€10.0636 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.5573 hourly,€1.9001 hourly,€18.7207 hourly,€10.0636 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.3197 hourly,€0.2375 hourly,€2.3401 hourly,€1.2579 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.6393 hourly,€0.475 hourly,€4.6802 hourly,€2.5159 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.2787 hourly,€0.9501 hourly,€9.3604 hourly,€5.0318 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.5573 hourly,€1.9001 hourly,€18.7207 hourly,€10.0636 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.5573 hourly,€1.9001 hourly,€18.7207 hourly,€10.0636 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€13.6887 hourly,€2.464 hourly,€22.4801 hourly,€11.2553 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€13.6887 hourly,€2.464 hourly,€22.4801 hourly,€11.2553 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.8106 hourly,€0.1628 hourly,€1.4386 hourly,€0.7908 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.5199 hourly,€0.3053 hourly,€2.6974 hourly,€1.4828 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.2027 hourly,€0.0407 hourly,€0.3596 hourly,€0.1977 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.0399 hourly,€0.6107 hourly,€5.3947 hourly,€2.9655 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.4053 hourly,€0.0814 hourly,€0.7193 hourly,€0.3954 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€7.3535 hourly,€0.7749 hourly,€14.2611 hourly,€7.6824 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€8.5846 hourly,€0.9043 hourly,€16.12 hourly,€8.4398 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.9192 hourly,€0.0969 hourly,€1.7826 hourly,€0.9603 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1671 hourly,€0.0176 hourly,€0.3241 hourly,€0.1746 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.8384 hourly,€0.1937 hourly,€3.5653 hourly,€1.9206 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.3343 hourly,€0.0352 hourly,€0.6482 hourly,€0.3492 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€3.6768 hourly,€0.3875 hourly,€7.1305 hourly,€3.8412 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€11.9944 hourly,€1.2616 hourly,€18.9019 hourly,€8.1691 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€13.0848 hourly,€1.3763 hourly,€20.6203 hourly,€8.9118 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€1.4993 hourly,€0.1577 hourly,€2.3627 hourly,€1.0211 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.2726 hourly,€0.0287 hourly,€0.4296 hourly,€0.1857 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€2.9986 hourly,€0.3154 hourly,€4.7255 hourly,€2.0423 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.5452 hourly,€0.0573 hourly,€0.8592 hourly,€0.3713 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€5.9972 hourly,€0.6308 hourly,€9.451 hourly,€4.0846 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€8.9005 hourly,€0.9371 hourly,€15.808 hourly,€7.8447 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€8.9005 hourly,€0.9371 hourly,€15.808 hourly,€7.8447 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€9.7096 hourly,€1.0223 hourly,€17.2451 hourly,€8.5578 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€1.1126 hourly,€0.1171 hourly,€1.976 hourly,€0.9806 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€1.1126 hourly,€0.1171 hourly,€1.976 hourly,€0.9806 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.2023 hourly,€0.0213 hourly,€0.3593 hourly,€0.1783 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.2023 hourly,€0.0213 hourly,€0.3593 hourly,€0.1783 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€2.2251 hourly,€0.2343 hourly,€3.952 hourly,€1.9612 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€2.2251 hourly,€0.2343 hourly,€3.952 hourly,€1.9612 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.4046 hourly,€0.0426 hourly,€0.7185 hourly,€0.3566 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.4046 hourly,€0.0426 hourly,€0.7185 hourly,€0.3566 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€4.4502 hourly,€0.4686 hourly,€7.904 hourly,€3.9223 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€4.4502 hourly,€0.4686 hourly,€7.904 hourly,€3.9223 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€6.834 hourly,€2.0397 hourly,€12.4856 hourly,€7.6913 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.7593 hourly,€0.2266 hourly,€1.3873 hourly,€0.8546 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€9.112 hourly,€2.7197 hourly,€16.6475 hourly,€10.2551 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0949 hourly,€0.0283 hourly,€0.1734 hourly,€0.1068 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€1.139 hourly,€0.34 hourly,€2.0809 hourly,€1.2819 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€13.668 hourly,€4.0795 hourly,€24.9713 hourly,€15.3827 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.5187 hourly,€0.4533 hourly,€2.7746 hourly,€1.7092 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1898 hourly,€0.0567 hourly,€0.3468 hourly,€0.2136 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€2.278 hourly,€0.6799 hourly,€4.1619 hourly,€2.5638 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3797 hourly,€0.1133 hourly,€0.6936 hourly,€0.4273 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€4.556 hourly,€1.3598 hourly,€8.3238 hourly,€5.1276 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€10.4729 hourly,€3.2767 hourly,€16.1245 hourly,€8.9283 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€10.4729 hourly,€3.2767 hourly,€16.1245 hourly,€8.9283 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€1.1637 hourly,€0.3641 hourly,€1.7916 hourly,€0.992 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€1.1637 hourly,€0.3641 hourly,€1.7916 hourly,€0.992 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€13.9638 hourly,€4.369 hourly,€21.4993 hourly,€11.9045 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€13.9638 hourly,€4.369 hourly,€21.4993 hourly,€11.9045 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1433 hourly,€0.0448 hourly,€0.2218 hourly,€0.1233 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.7455 hourly,€0.5461 hourly,€2.6874 hourly,€1.4881 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.7455 hourly,€0.5461 hourly,€2.6874 hourly,€1.4881 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€20.9458 hourly,€6.5535 hourly,€32.249 hourly,€17.8567 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€20.9458 hourly,€6.5535 hourly,€32.249 hourly,€17.8567 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€20.9458 hourly,€6.5535 hourly,€32.249 hourly,€17.8567 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€20.9458 hourly,€6.5535 hourly,€32.249 hourly,€17.8567 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€2.3273 hourly,€0.7282 hourly,€3.5832 hourly,€1.9841 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€2.3273 hourly,€0.7282 hourly,€3.5832 hourly,€1.9841 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.2909 hourly,€0.091 hourly,€0.4479 hourly,€0.248 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.2909 hourly,€0.091 hourly,€0.4479 hourly,€0.248 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€3.491 hourly,€1.0922 hourly,€5.3748 hourly,€2.9761 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€3.491 hourly,€1.0922 hourly,€5.3748 hourly,€2.9761 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.5818 hourly,€0.182 hourly,€0.8958 hourly,€0.496 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.5818 hourly,€0.182 hourly,€0.8958 hourly,€0.496 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€6.9819 hourly,€2.1845 hourly,€10.7497 hourly,€5.9522 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€6.9819 hourly,€2.1845 hourly,€10.7497 hourly,€5.9522 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€7.9415 hourly,€2.4162 hourly,€13.5931 hourly,€8.0678 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€7.9415 hourly,€2.4162 hourly,€13.5931 hourly,€8.0678 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.8824 hourly,€0.2685 hourly,€1.5103 hourly,€0.8964 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.8824 hourly,€0.2685 hourly,€1.5103 hourly,€0.8964 hourly
