Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7305 hourly,€0.1754 hourly,€1.2015 hourly,€0.6464 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.4611 hourly,€0.3508 hourly,€2.403 hourly,€1.2928 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.9222 hourly,€0.7017 hourly,€4.806 hourly,€2.5855 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.8443 hourly,€1.4033 hourly,€9.6121 hourly,€5.1711 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.6907 hourly,€2.0299 hourly,€12.4584 hourly,€5.7977 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.0863 hourly,€0.2537 hourly,€1.5573 hourly,€0.7247 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.1727 hourly,€0.5075 hourly,€3.1146 hourly,€1.4494 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.3453 hourly,€1.015 hourly,€6.2292 hourly,€2.8988 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.6907 hourly,€2.0299 hourly,€12.4584 hourly,€5.7977 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€9.3458 hourly,€1.6818 hourly,€17.5092 hourly,€9.8453 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€9.3458 hourly,€1.6818 hourly,€17.5092 hourly,€9.8453 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1682 hourly,€0.2102 hourly,€2.1887 hourly,€1.2307 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.3365 hourly,€0.4205 hourly,€4.3773 hourly,€2.4613 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.6729 hourly,€0.8409 hourly,€8.7546 hourly,€4.9226 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€9.3458 hourly,€1.6818 hourly,€17.5092 hourly,€9.8453 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€9.3458 hourly,€1.6818 hourly,€17.5092 hourly,€9.8453 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€12.1178 hourly,€2.181 hourly,€20.9092 hourly,€10.9724 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€12.1178 hourly,€2.181 hourly,€20.9092 hourly,€10.9724 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7176 hourly,€0.1782 hourly,€1.3456 hourly,€0.8062 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.3455 hourly,€0.3342 hourly,€2.5229 hourly,€1.5116 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1794 hourly,€0.0446 hourly,€0.3364 hourly,€0.2015 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.691 hourly,€0.6684 hourly,€5.0459 hourly,€3.0232 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3588 hourly,€0.0891 hourly,€0.6728 hourly,€0.4031 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€1.8835 hourly,€1.9326 hourly,€8.791 hourly,€8.8401 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€2.5527 hourly,€2.2208 hourly,€10.0881 hourly,€9.7563 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.2354 hourly,€0.2416 hourly,€1.0989 hourly,€1.105 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0428 hourly,€0.0439 hourly,€0.1998 hourly,€0.2009 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.4709 hourly,€0.4832 hourly,€2.1977 hourly,€2.21 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0856 hourly,€0.0878 hourly,€0.3996 hourly,€0.4018 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€0.9417 hourly,€0.9663 hourly,€4.3955 hourly,€4.4201 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€5.9918 hourly,€2.8606 hourly,€12.8993 hourly,€9.7681 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€6.5365 hourly,€3.1207 hourly,€14.0719 hourly,€10.6561 hourly
