Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8089 hourly,€0.308 hourly,€1.2798 hourly,€0.779 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.6177 hourly,€0.6161 hourly,€2.5597 hourly,€1.558 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.2354 hourly,€1.2322 hourly,€5.1193 hourly,€3.116 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.4709 hourly,€2.4644 hourly,€10.2386 hourly,€6.2321 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€9.6149 hourly,€3.6624 hourly,€13.3826 hourly,€7.4302 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.2019 hourly,€0.4578 hourly,€1.6728 hourly,€0.9288 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.4037 hourly,€0.9156 hourly,€3.3457 hourly,€1.8575 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.8074 hourly,€1.8312 hourly,€6.6913 hourly,€3.7151 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€9.6149 hourly,€3.6624 hourly,€13.3826 hourly,€7.4302 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.6901 hourly,€1.8646 hourly,€18.8535 hourly,€10.0281 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.6901 hourly,€1.8646 hourly,€18.8535 hourly,€10.0281 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.3363 hourly,€0.2331 hourly,€2.3567 hourly,€1.2535 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.6725 hourly,€0.4662 hourly,€4.7134 hourly,€2.507 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.3451 hourly,€0.9323 hourly,€9.4268 hourly,€5.014 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.6901 hourly,€1.8646 hourly,€18.8535 hourly,€10.0281 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.6901 hourly,€1.8646 hourly,€18.8535 hourly,€10.0281 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€13.7895 hourly,€2.4177 hourly,€22.5809 hourly,€11.2091 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€13.7895 hourly,€2.4177 hourly,€22.5809 hourly,€11.2091 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7959 hourly,€0.1535 hourly,€1.4238 hourly,€0.7815 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.4922 hourly,€0.2879 hourly,€2.6697 hourly,€1.4653 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.199 hourly,€0.0384 hourly,€0.356 hourly,€0.1954 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.9845 hourly,€0.5758 hourly,€5.3393 hourly,€2.9306 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3979 hourly,€0.0768 hourly,€0.7119 hourly,€0.3908 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€0.7228 hourly,€2.4579 hourly,€7.6303 hourly,€9.3654 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€0.844 hourly,€2.8701 hourly,€8.3795 hourly,€10.4056 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.0903 hourly,€0.3072 hourly,€0.9538 hourly,€1.1707 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0164 hourly,€0.0559 hourly,€0.1734 hourly,€0.2128 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.1807 hourly,€0.6145 hourly,€1.9076 hourly,€2.3413 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0329 hourly,€0.1117 hourly,€0.3468 hourly,€0.4257 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€0.3614 hourly,€1.2289 hourly,€3.8152 hourly,€4.6827 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€1.1809 hourly,€4.0157 hourly,€8.0884 hourly,€10.9232 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€1.2882 hourly,€4.3807 hourly,€8.8237 hourly,€11.9162 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.1476 hourly,€0.502 hourly,€1.011 hourly,€1.3654 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.0268 hourly,€0.0913 hourly,€0.1838 hourly,€0.2483 hourly
