Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7577 hourly,€0.1931 hourly,€1.2287 hourly,€0.664 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.5155 hourly,€0.3861 hourly,€2.4574 hourly,€1.3281 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.031 hourly,€0.7723 hourly,€4.9149 hourly,€2.6561 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.062 hourly,€1.5445 hourly,€9.8297 hourly,€5.3123 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€9.0139 hourly,€2.297 hourly,€12.7816 hourly,€6.0648 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.1267 hourly,€0.2871 hourly,€1.5977 hourly,€0.7581 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.2535 hourly,€0.5743 hourly,€3.1954 hourly,€1.5162 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.507 hourly,€1.1485 hourly,€6.3908 hourly,€3.0324 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€9.0139 hourly,€2.297 hourly,€12.7816 hourly,€6.0648 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€9.6945 hourly,€1.7445 hourly,€17.8579 hourly,€9.9079 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€9.6945 hourly,€1.7445 hourly,€17.8579 hourly,€9.9079 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.2118 hourly,€0.2181 hourly,€2.2322 hourly,€1.2385 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.4236 hourly,€0.4361 hourly,€4.4645 hourly,€2.477 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.8472 hourly,€0.8722 hourly,€8.929 hourly,€4.954 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€9.6945 hourly,€1.7445 hourly,€17.8579 hourly,€9.9079 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€9.6945 hourly,€1.7445 hourly,€17.8579 hourly,€9.9079 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€12.57 hourly,€2.262 hourly,€21.3613 hourly,€11.0534 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€12.57 hourly,€2.262 hourly,€21.3613 hourly,€11.0534 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7444 hourly,€0.1299 hourly,€1.3723 hourly,€0.7579 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.3957 hourly,€0.2436 hourly,€2.5731 hourly,€1.421 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1861 hourly,€0.0325 hourly,€0.3431 hourly,€0.1895 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.7914 hourly,€0.4871 hourly,€5.1462 hourly,€2.842 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3722 hourly,€0.065 hourly,€0.6862 hourly,€0.3789 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€0.6641 hourly,€2.2981 hourly,€7.5717 hourly,€9.2056 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€0.7693 hourly,€2.6836 hourly,€8.3047 hourly,€10.2191 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.083 hourly,€0.2873 hourly,€0.9465 hourly,€1.1507 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0151 hourly,€0.0522 hourly,€0.1721 hourly,€0.2092 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.166 hourly,€0.5745 hourly,€1.8929 hourly,€2.3014 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0302 hourly,€0.1045 hourly,€0.3442 hourly,€0.4184 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€0.3321 hourly,€1.1491 hourly,€3.7858 hourly,€4.6028 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€1.0332 hourly,€3.755 hourly,€7.9407 hourly,€10.6625 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€1.1271 hourly,€4.0964 hourly,€8.6626 hourly,€11.6318 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.1291 hourly,€0.4694 hourly,€0.9926 hourly,€1.3328 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.0235 hourly,€0.0853 hourly,€0.1805 hourly,€0.2423 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€0.2583 hourly,€0.9387 hourly,€1.9852 hourly,€2.6656 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.047 hourly,€0.1707 hourly,€0.3609 hourly,€0.4847 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€0.5166 hourly,€1.8775 hourly,€3.9703 hourly,€5.3313 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€0.7872 hourly,€2.7837 hourly,€7.6947 hourly,€9.6912 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€0.7872 hourly,€2.7837 hourly,€7.6947 hourly,€9.6912 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€0.8587 hourly,€3.0368 hourly,€8.3942 hourly,€10.5723 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.0984 hourly,€0.348 hourly,€0.9618 hourly,€1.2114 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.0984 hourly,€0.348 hourly,€0.9618 hourly,€1.2114 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.0179 hourly,€0.0633 hourly,€0.1749 hourly,€0.2203 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.0179 hourly,€0.0633 hourly,€0.1749 hourly,€0.2203 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€0.1968 hourly,€0.6959 hourly,€1.9237 hourly,€2.4228 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€0.1968 hourly,€0.6959 hourly,€1.9237 hourly,€2.4228 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.0358 hourly,€0.1265 hourly,€0.3498 hourly,€0.4405 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.0358 hourly,€0.1265 hourly,€0.3498 hourly,€0.4405 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€0.3936 hourly,€1.3919 hourly,€3.8473 hourly,€4.8456 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€0.3936 hourly,€1.3919 hourly,€3.8473 hourly,€4.8456 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€1.4491 hourly,€2.5101 hourly,€7.1008 hourly,€8.1617 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.161 hourly,€0.2789 hourly,€0.789 hourly,€0.9069 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€1.9322 hourly,€3.3469 hourly,€9.4677 hourly,€10.8823 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0201 hourly,€0.0349 hourly,€0.0986 hourly,€0.1134 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€0.2415 hourly,€0.4184 hourly,€1.1835 hourly,€1.3603 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€2.8983 hourly,€5.0203 hourly,€14.2015 hourly,€16.3235 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€0.322 hourly,€0.5578 hourly,€1.5779 hourly,€1.8137 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.0403 hourly,€0.0697 hourly,€0.1972 hourly,€0.2267 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€0.483 hourly,€0.8367 hourly,€2.3669 hourly,€2.7206 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.0805 hourly,€0.1395 hourly,€0.3945 hourly,€0.4534 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€0.9661 hourly,€1.6734 hourly,€4.7338 hourly,€5.4412 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€4.3425 hourly,€3.8466 hourly,€9.9941 hourly,€9.4982 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€4.3425 hourly,€3.8466 hourly,€9.9941 hourly,€9.4982 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.4825 hourly,€0.4274 hourly,€1.1105 hourly,€1.0554 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.4825 hourly,€0.4274 hourly,€1.1105 hourly,€1.0554 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€5.79 hourly,€5.1287 hourly,€13.3255 hourly,€12.6642 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€5.79 hourly,€5.1287 hourly,€13.3255 hourly,€12.6642 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.0586 hourly,€0.0526 hourly,€0.1371 hourly,€0.1311 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€0.7238 hourly,€0.6411 hourly,€1.6657 hourly,€1.583 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€0.7238 hourly,€0.6411 hourly,€1.6657 hourly,€1.583 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€8.685 hourly,€7.6931 hourly,€19.9883 hourly,€18.9963 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€8.685 hourly,€7.6931 hourly,€19.9883 hourly,€18.9963 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€8.685 hourly,€7.6931 hourly,€19.9883 hourly,€18.9963 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€8.685 hourly,€7.6931 hourly,€19.9883 hourly,€18.9963 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€0.965 hourly,€0.8548 hourly,€2.2209 hourly,€2.1107 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€0.965 hourly,€0.8548 hourly,€2.2209 hourly,€2.1107 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.1206 hourly,€0.1068 hourly,€0.2776 hourly,€0.2638 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.1206 hourly,€0.1068 hourly,€0.2776 hourly,€0.2638 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€1.4475 hourly,€1.2822 hourly,€3.3314 hourly,€3.1661 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€1.4475 hourly,€1.2822 hourly,€3.3314 hourly,€3.1661 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.2413 hourly,€0.2137 hourly,€0.5552 hourly,€0.5277 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.2413 hourly,€0.2137 hourly,€0.5552 hourly,€0.5277 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€2.895 hourly,€2.5644 hourly,€6.6628 hourly,€6.3321 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€2.895 hourly,€2.5644 hourly,€6.6628 hourly,€6.3321 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€2.3297 hourly,€2.9169 hourly,€7.9813 hourly,€8.5685 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€2.3297 hourly,€2.9169 hourly,€7.9813 hourly,€8.5685 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.2589 hourly,€0.3241 hourly,€0.8868 hourly,€0.9521 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.2589 hourly,€0.3241 hourly,€0.8868 hourly,€0.9521 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€3.1063 hourly,€3.8892 hourly,€10.6418 hourly,€11.4246 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€3.1063 hourly,€3.8892 hourly,€10.6418 hourly,€11.4246 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0306 hourly,€0.0397 hourly,€0.1091 hourly,€0.1182 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€0.3883 hourly,€0.4861 hourly,€1.3302 hourly,€1.4281 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€0.3883 hourly,€0.4861 hourly,€1.3302 hourly,€1.4281 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€4.6595 hourly,€5.8337 hourly,€15.9627 hourly,€17.137 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€4.6595 hourly,€5.8337 hourly,€15.9627 hourly,€17.137 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€4.6595 hourly,€5.8337 hourly,€15.9627 hourly,€17.137 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€4.6595 hourly,€5.8337 hourly,€15.9627 hourly,€17.137 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€0.5177 hourly,€0.6482 hourly,€1.7736 hourly,€1.9041 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€0.5177 hourly,€0.6482 hourly,€1.7736 hourly,€1.9041 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.0647 hourly,€0.081 hourly,€0.2217 hourly,€0.238 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.0647 hourly,€0.081 hourly,€0.2217 hourly,€0.238 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€0.7766 hourly,€0.9723 hourly,€2.6604 hourly,€2.8562 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€0.7766 hourly,€0.9723 hourly,€2.6604 hourly,€2.8562 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.1294 hourly,€0.162 hourly,€0.4434 hourly,€0.476 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.1294 hourly,€0.162 hourly,€0.4434 hourly,€0.476 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€1.5532 hourly,€1.9446 hourly,€5.3209 hourly,€5.7123 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€1.5532 hourly,€1.9446 hourly,€5.3209 hourly,€5.7123 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.4056 hourly,€0.1513 hourly,€1.0335 hourly,€0.7792 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0507 hourly,€0.0189 hourly,€0.1292 hourly,€0.0974 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.8112 hourly,€0.3025 hourly,€2.0671 hourly,€1.5585 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.1014 hourly,€0.0378 hourly,€0.2584 hourly,€0.1948 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.2028 hourly,€0.0756 hourly,€0.5168 hourly,€0.3896 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.7411 hourly,€0.2765 hourly,€1.369 hourly,€0.9045 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.0926 hourly,€0.0346 hourly,€0.1711 hourly,€0.1131 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.1853 hourly,€0.0691 hourly,€0.3423 hourly,€0.2261 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3705 hourly,€0.1383 hourly,€0.6845 hourly,€0.4523 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0567 hourly,€0.0211 hourly,€0.1352 hourly,€0.0996 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0477 hourly,€0.0178 hourly,€0.1262 hourly,€0.0963 hourly
E2 Small,e2-small,2 GiB,2,€0.0507 hourly,€0.0189 hourly,€0.1292 hourly,€0.0974 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.5494 hourly,€0.205 hourly,€1.1773 hourly,€0.8329 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0687 hourly,€0.0256 hourly,€0.1472 hourly,€0.1041 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.0987 hourly,€0.4099 hourly,€2.3546 hourly,€1.6658 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1373 hourly,€0.0512 hourly,€0.2943 hourly,€0.2082 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2747 hourly,€0.1025 hourly,€0.5887 hourly,€0.4165 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.3911 hourly,€0.1354 hourly,€0.8621 hourly,€0.6064 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.5215 hourly,€0.1805 hourly,€1.1495 hourly,€0.8085 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.7823 hourly,€0.2708 hourly,€1.7242 hourly,€1.2127 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€1.043 hourly,€0.361 hourly,€2.2989 hourly,€1.6169 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.1304 hourly,€0.0451 hourly,€0.2874 hourly,€0.2021 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€1.5645 hourly,€0.5415 hourly,€3.4484 hourly,€2.4254 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.2608 hourly,€0.0903 hourly,€0.5747 hourly,€0.4042 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€3.1291 hourly,€1.0831 hourly,€6.8968 hourly,€4.8508 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€4.369 hourly,€1.7475 hourly,€7.8228 hourly,€5.2012 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€1.2798 hourly,€1.6299 hourly,€6.3035 hourly,€6.6535 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€0.6399 hourly,€0.8149 hourly,€3.1517 hourly,€3.3268 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€2.164 hourly,€2.7574 hourly,€7.1877 hourly,€7.781 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€0.541 hourly,€0.6893 hourly,€1.7969 hourly,€1.9453 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€1.082 hourly,€1.3787 hourly,€3.5938 hourly,€3.8905 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€1.494 hourly,€0.4259 hourly,€2.122 hourly,€1.0539 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€2.988 hourly,€0.8518 hourly,€4.244 hourly,€2.1077 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€5.9761 hourly,€1.7037 hourly,€8.4879 hourly,€4.2155 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€9.2211 hourly,€2.6429 hourly,€13.6168 hourly,€7.0386 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€18.4423 hourly,€5.2858 hourly,€27.2337 hourly,€14.0771 hourly
