Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8483 hourly,€0.1747 hourly,€1.3193 hourly,€0.6457 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.6967 hourly,€0.3494 hourly,€2.6386 hourly,€1.2913 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.3933 hourly,€0.6988 hourly,€5.2772 hourly,€2.5827 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.7867 hourly,€1.3976 hourly,€10.5544 hourly,€5.1654 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€10.0915 hourly,€2.1351 hourly,€13.8593 hourly,€5.9028 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.2614 hourly,€0.2669 hourly,€1.7324 hourly,€0.7379 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.5229 hourly,€0.5338 hourly,€3.4648 hourly,€1.4757 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€5.0458 hourly,€1.0675 hourly,€6.9296 hourly,€2.9514 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€10.0915 hourly,€2.1351 hourly,€13.8593 hourly,€5.9028 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.8535 hourly,€1.9527 hourly,€19.017 hourly,€10.1161 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.8535 hourly,€1.9527 hourly,€19.017 hourly,€10.1161 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.3567 hourly,€0.2441 hourly,€2.3771 hourly,€1.2645 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.7134 hourly,€0.4882 hourly,€4.7542 hourly,€2.529 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.4268 hourly,€0.9763 hourly,€9.5085 hourly,€5.058 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.8535 hourly,€1.9527 hourly,€19.017 hourly,€10.1161 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.8535 hourly,€1.9527 hourly,€19.017 hourly,€10.1161 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€14.0728 hourly,€2.5317 hourly,€22.8642 hourly,€11.3231 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€14.0728 hourly,€2.5317 hourly,€22.8642 hourly,€11.3231 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.8333 hourly,€0.1715 hourly,€1.4613 hourly,€0.7994 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.5625 hourly,€0.3215 hourly,€2.7399 hourly,€1.4989 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.2083 hourly,€0.0429 hourly,€0.3653 hourly,€0.1999 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.125 hourly,€0.643 hourly,€5.4799 hourly,€2.9978 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.4167 hourly,€0.0857 hourly,€0.7306 hourly,€0.3997 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€0.8596 hourly,€2.5738 hourly,€7.7671 hourly,€9.4813 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€0.9958 hourly,€3.0055 hourly,€8.5313 hourly,€10.5409 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.1074 hourly,€0.3217 hourly,€0.9709 hourly,€1.1852 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0195 hourly,€0.0585 hourly,€0.1765 hourly,€0.2155 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.2149 hourly,€0.6435 hourly,€1.9418 hourly,€2.3703 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0391 hourly,€0.117 hourly,€0.353 hourly,€0.431 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€0.4298 hourly,€1.2869 hourly,€3.8835 hourly,€4.7407 hourly
