Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8952 hourly,€0.1608 hourly,€1.3662 hourly,€0.6318 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.7904 hourly,€0.3217 hourly,€2.7323 hourly,€1.2636 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.5807 hourly,€0.6434 hourly,€5.4646 hourly,€2.5273 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€7.1615 hourly,€1.2868 hourly,€10.9292 hourly,€5.0545 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€10.6489 hourly,€1.9134 hourly,€14.4167 hourly,€5.6811 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.3311 hourly,€0.2392 hourly,€1.8021 hourly,€0.7101 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.6622 hourly,€0.4783 hourly,€3.6042 hourly,€1.4203 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€5.3245 hourly,€0.9567 hourly,€7.2083 hourly,€2.8405 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€10.6489 hourly,€1.9134 hourly,€14.4167 hourly,€5.6811 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.0892 hourly,€1.9172 hourly,€18.2526 hourly,€10.0806 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.0892 hourly,€1.9172 hourly,€18.2526 hourly,€10.0806 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.2611 hourly,€0.2396 hourly,€2.2816 hourly,€1.2601 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.5223 hourly,€0.4793 hourly,€4.5632 hourly,€2.5201 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.0446 hourly,€0.9586 hourly,€9.1263 hourly,€5.0403 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.0892 hourly,€1.9172 hourly,€18.2526 hourly,€10.0806 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.0892 hourly,€1.9172 hourly,€18.2526 hourly,€10.0806 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€13.0817 hourly,€2.4855 hourly,€21.8731 hourly,€11.2769 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€13.0817 hourly,€2.4855 hourly,€21.8731 hourly,€11.2769 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.8797 hourly,€0.2018 hourly,€1.5076 hourly,€0.8297 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.6494 hourly,€0.3783 hourly,€2.8268 hourly,€1.5557 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.2199 hourly,€0.0504 hourly,€0.3769 hourly,€0.2074 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.2988 hourly,€0.7566 hourly,€5.6537 hourly,€3.1114 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.4398 hourly,€0.1009 hourly,€0.7538 hourly,€0.4149 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€2.0412 hourly,€2.0768 hourly,€8.9487 hourly,€8.9843 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€2.7672 hourly,€2.413 hourly,€10.3026 hourly,€9.9485 hourly
