Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8128 hourly,€0.1608 hourly,€1.2838 hourly,€0.6318 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.6257 hourly,€0.3217 hourly,€2.5676 hourly,€1.2636 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.2513 hourly,€0.6434 hourly,€5.1352 hourly,€2.5273 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.5027 hourly,€1.2868 hourly,€10.2704 hourly,€5.0545 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€9.6693 hourly,€1.9134 hourly,€13.437 hourly,€5.6811 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.2087 hourly,€0.2392 hourly,€1.6796 hourly,€0.7101 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.4173 hourly,€0.4783 hourly,€3.3593 hourly,€1.4203 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.8346 hourly,€0.9567 hourly,€6.7185 hourly,€2.8405 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€9.6693 hourly,€1.9134 hourly,€13.437 hourly,€5.6811 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.3991 hourly,€1.8714 hourly,€18.5625 hourly,€10.0348 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.3991 hourly,€1.8714 hourly,€18.5625 hourly,€10.0348 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.2999 hourly,€0.2339 hourly,€2.3203 hourly,€1.2544 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.5998 hourly,€0.4678 hourly,€4.6406 hourly,€2.5087 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.1996 hourly,€0.9357 hourly,€9.2813 hourly,€5.0174 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.3991 hourly,€1.8714 hourly,€18.5625 hourly,€10.0348 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.3991 hourly,€1.8714 hourly,€18.5625 hourly,€10.0348 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€13.4836 hourly,€2.4266 hourly,€22.275 hourly,€11.218 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€13.4836 hourly,€2.4266 hourly,€22.275 hourly,€11.218 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7504 hourly,€0.1642 hourly,€1.3784 hourly,€0.7921 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.4071 hourly,€0.3078 hourly,€2.5845 hourly,€1.4852 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1876 hourly,€0.041 hourly,€0.3446 hourly,€0.198 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.8141 hourly,€0.6156 hourly,€5.169 hourly,€2.9705 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3752 hourly,€0.0821 hourly,€0.6892 hourly,€0.3961 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€7.7341 hourly,€2.4654 hourly,€14.6416 hourly,€9.3729 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€8.9603 hourly,€2.8789 hourly,€16.4958 hourly,€10.4144 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.9668 hourly,€0.3082 hourly,€1.8302 hourly,€1.1716 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1758 hourly,€0.056 hourly,€0.3328 hourly,€0.213 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.9335 hourly,€0.6163 hourly,€3.6604 hourly,€2.3432 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.3516 hourly,€0.1121 hourly,€0.6655 hourly,€0.426 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€3.8671 hourly,€1.2327 hourly,€7.3208 hourly,€4.6865 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€12.0499 hourly,€4.0277 hourly,€18.9574 hourly,€10.9352 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€13.1454 hourly,€4.3938 hourly,€20.6809 hourly,€11.9293 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€1.5062 hourly,€0.5035 hourly,€2.3697 hourly,€1.3669 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.2739 hourly,€0.0915 hourly,€0.4309 hourly,€0.2485 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€3.0125 hourly,€1.0069 hourly,€4.7394 hourly,€2.7338 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.5477 hourly,€0.1831 hourly,€0.8617 hourly,€0.4971 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€6.025 hourly,€2.0138 hourly,€9.4787 hourly,€5.4676 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€9.1727 hourly,€2.9862 hourly,€16.0802 hourly,€9.8937 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€9.1727 hourly,€2.9862 hourly,€16.0802 hourly,€9.8937 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€10.0066 hourly,€3.2576 hourly,€17.5421 hourly,€10.7931 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€1.1466 hourly,€0.3733 hourly,€2.01 hourly,€1.2367 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€1.1466 hourly,€0.3733 hourly,€2.01 hourly,€1.2367 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.2085 hourly,€0.0679 hourly,€0.3655 hourly,€0.2249 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.2085 hourly,€0.0679 hourly,€0.3655 hourly,€0.2249 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€2.2932 hourly,€0.7465 hourly,€4.0201 hourly,€2.4734 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€2.2932 hourly,€0.7465 hourly,€4.0201 hourly,€2.4734 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.4169 hourly,€0.1357 hourly,€0.7309 hourly,€0.4497 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.4169 hourly,€0.1357 hourly,€0.7309 hourly,€0.4497 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€4.5864 hourly,€1.4931 hourly,€8.0401 hourly,€4.9468 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€4.5864 hourly,€1.4931 hourly,€8.0401 hourly,€4.9468 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€5.6311 hourly,€2.3966 hourly,€11.2827 hourly,€8.0482 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.6257 hourly,€0.2663 hourly,€1.2536 hourly,€0.8942 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€7.5082 hourly,€3.1954 hourly,€15.0436 hourly,€10.7309 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0782 hourly,€0.0333 hourly,€0.1567 hourly,€0.1118 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€0.9385 hourly,€0.3994 hourly,€1.8805 hourly,€1.3414 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€11.2622 hourly,€4.7931 hourly,€22.5655 hourly,€16.0964 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.2514 hourly,€0.5326 hourly,€2.5073 hourly,€1.7885 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1564 hourly,€0.0666 hourly,€0.3134 hourly,€0.2236 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€1.877 hourly,€0.7989 hourly,€3.7609 hourly,€2.6827 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3128 hourly,€0.1331 hourly,€0.6268 hourly,€0.4471 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€3.7541 hourly,€1.5977 hourly,€7.5218 hourly,€5.3655 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€8.6317 hourly,€3.6708 hourly,€14.2833 hourly,€9.3224 hourly
