Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7445 hourly,€0.1898 hourly,€1.2155 hourly,€0.6608 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.489 hourly,€0.3797 hourly,€2.4309 hourly,€1.3216 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.978 hourly,€0.7593 hourly,€4.8618 hourly,€2.6432 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.9559 hourly,€1.5187 hourly,€9.7236 hourly,€5.2864 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.8566 hourly,€2.2584 hourly,€12.6243 hourly,€6.0261 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.1071 hourly,€0.2823 hourly,€1.578 hourly,€0.7533 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.2141 hourly,€0.5646 hourly,€3.1561 hourly,€1.5065 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.4283 hourly,€1.1292 hourly,€6.3122 hourly,€3.0131 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.8566 hourly,€2.2584 hourly,€12.6243 hourly,€6.0261 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€9.5242 hourly,€1.7157 hourly,€17.6876 hourly,€9.8792 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€9.5242 hourly,€1.7157 hourly,€17.6876 hourly,€9.8792 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1905 hourly,€0.2145 hourly,€2.211 hourly,€1.2349 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.381 hourly,€0.4289 hourly,€4.4219 hourly,€2.4698 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.7621 hourly,€0.8579 hourly,€8.8438 hourly,€4.9396 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€9.5242 hourly,€1.7157 hourly,€17.6876 hourly,€9.8792 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€9.5242 hourly,€1.7157 hourly,€17.6876 hourly,€9.8792 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€12.3491 hourly,€2.2247 hourly,€21.1405 hourly,€11.016 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€12.3491 hourly,€2.2247 hourly,€21.1405 hourly,€11.016 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7313 hourly,€0.1385 hourly,€1.3593 hourly,€0.7664 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.3712 hourly,€0.2596 hourly,€2.5486 hourly,€1.4371 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1828 hourly,€0.0346 hourly,€0.3398 hourly,€0.1916 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.7424 hourly,€0.5193 hourly,€5.0972 hourly,€2.8741 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3657 hourly,€0.0692 hourly,€0.6796 hourly,€0.3832 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€2.017 hourly,€1.929 hourly,€8.9245 hourly,€8.8365 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€2.7105 hourly,€2.1582 hourly,€10.246 hourly,€9.6937 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.2521 hourly,€0.2411 hourly,€1.1156 hourly,€1.1046 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0458 hourly,€0.0438 hourly,€0.2028 hourly,€0.2008 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.5042 hourly,€0.4822 hourly,€2.2311 hourly,€2.2091 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0917 hourly,€0.0877 hourly,€0.4057 hourly,€0.4017 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€1.0085 hourly,€0.9645 hourly,€4.4623 hourly,€4.4183 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€6.226 hourly,€2.3732 hourly,€13.1335 hourly,€9.2807 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€6.792 hourly,€2.5889 hourly,€14.3275 hourly,€10.1244 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.7783 hourly,€0.2966 hourly,€1.6417 hourly,€1.1601 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.1415 hourly,€0.0539 hourly,€0.2985 hourly,€0.2109 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€1.5565 hourly,€0.5933 hourly,€3.2834 hourly,€2.3202 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.283 hourly,€0.1079 hourly,€0.597 hourly,€0.4219 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€3.113 hourly,€1.1866 hourly,€6.5668 hourly,€4.6404 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€3.42 hourly,€2.0771 hourly,€10.3275 hourly,€8.9846 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€3.42 hourly,€2.0771 hourly,€10.3275 hourly,€8.9846 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€3.7309 hourly,€2.2659 hourly,€11.2664 hourly,€9.8014 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.4275 hourly,€0.2596 hourly,€1.2909 hourly,€1.1231 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.4275 hourly,€0.2596 hourly,€1.2909 hourly,€1.1231 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.0777 hourly,€0.0472 hourly,€0.2347 hourly,€0.2042 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.0777 hourly,€0.0472 hourly,€0.2347 hourly,€0.2042 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€0.855 hourly,€0.5193 hourly,€2.5819 hourly,€2.2461 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€0.855 hourly,€0.5193 hourly,€2.5819 hourly,€2.2461 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.1555 hourly,€0.0944 hourly,€0.4694 hourly,€0.4084 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.1555 hourly,€0.0944 hourly,€0.4694 hourly,€0.4084 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€1.71 hourly,€1.0385 hourly,€5.1638 hourly,€4.4923 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€1.71 hourly,€1.0385 hourly,€5.1638 hourly,€4.4923 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€6.0412 hourly,€2.1949 hourly,€11.6928 hourly,€7.8465 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.6712 hourly,€0.2439 hourly,€1.2992 hourly,€0.8718 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€8.0549 hourly,€2.9265 hourly,€15.5904 hourly,€10.462 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0839 hourly,€0.0305 hourly,€0.1624 hourly,€0.109 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€1.0069 hourly,€0.3658 hourly,€1.9488 hourly,€1.3078 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€12.0824 hourly,€4.3898 hourly,€23.3856 hourly,€15.693 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.3425 hourly,€0.4878 hourly,€2.5984 hourly,€1.7437 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1678 hourly,€0.061 hourly,€0.3248 hourly,€0.218 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€2.0137 hourly,€0.7316 hourly,€3.8976 hourly,€2.6155 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3356 hourly,€0.1219 hourly,€0.6496 hourly,€0.4359 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€4.0275 hourly,€1.4633 hourly,€7.7952 hourly,€5.231 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€8.9673 hourly,€3.362 hourly,€14.6189 hourly,€9.0136 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€8.9673 hourly,€3.362 hourly,€14.6189 hourly,€9.0136 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.9964 hourly,€0.3736 hourly,€1.6243 hourly,€1.0015 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.9964 hourly,€0.3736 hourly,€1.6243 hourly,€1.0015 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€11.9564 hourly,€4.4826 hourly,€19.4919 hourly,€12.0181 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€11.9564 hourly,€4.4826 hourly,€19.4919 hourly,€12.0181 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1228 hourly,€0.046 hourly,€0.2013 hourly,€0.1245 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.4946 hourly,€0.5603 hourly,€2.4365 hourly,€1.5023 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.4946 hourly,€0.5603 hourly,€2.4365 hourly,€1.5023 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€17.9346 hourly,€6.7239 hourly,€29.2378 hourly,€18.0272 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€17.9346 hourly,€6.7239 hourly,€29.2378 hourly,€18.0272 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€17.9346 hourly,€6.7239 hourly,€29.2378 hourly,€18.0272 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€17.9346 hourly,€6.7239 hourly,€29.2378 hourly,€18.0272 hourly
