Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7319 hourly,€0.1866 hourly,€1.2028 hourly,€0.6576 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.4637 hourly,€0.3732 hourly,€2.4057 hourly,€1.3151 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.9275 hourly,€0.7464 hourly,€4.8114 hourly,€2.6303 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.855 hourly,€1.4928 hourly,€9.6227 hourly,€5.2605 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.7065 hourly,€2.2198 hourly,€12.4742 hourly,€5.9875 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.0883 hourly,€0.2775 hourly,€1.5593 hourly,€0.7484 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.1766 hourly,€0.5549 hourly,€3.1186 hourly,€1.4969 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.3532 hourly,€1.1099 hourly,€6.2371 hourly,€2.9937 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.7065 hourly,€2.2198 hourly,€12.4742 hourly,€5.9875 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€9.3628 hourly,€1.6852 hourly,€17.5262 hourly,€9.8486 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€9.3628 hourly,€1.6852 hourly,€17.5262 hourly,€9.8486 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1703 hourly,€0.2107 hourly,€2.1908 hourly,€1.2311 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.3407 hourly,€0.4213 hourly,€4.3815 hourly,€2.4622 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.6814 hourly,€0.8426 hourly,€8.7631 hourly,€4.9243 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€9.3628 hourly,€1.6852 hourly,€17.5262 hourly,€9.8486 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€9.3628 hourly,€1.6852 hourly,€17.5262 hourly,€9.8486 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€12.1398 hourly,€2.1854 hourly,€20.9312 hourly,€10.9768 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€12.1398 hourly,€2.1854 hourly,€20.9312 hourly,€10.9768 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7189 hourly,€0.1569 hourly,€1.3469 hourly,€0.7849 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.348 hourly,€0.2942 hourly,€2.5254 hourly,€1.4716 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1797 hourly,€0.0392 hourly,€0.3367 hourly,€0.1962 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.6959 hourly,€0.5885 hourly,€5.0508 hourly,€2.9433 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3595 hourly,€0.0785 hourly,€0.6734 hourly,€0.3924 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€0.6521 hourly,€2.2197 hourly,€7.5597 hourly,€9.1272 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€0.7613 hourly,€2.592 hourly,€8.2968 hourly,€10.1275 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.0815 hourly,€0.2775 hourly,€0.945 hourly,€1.1409 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0148 hourly,€0.0504 hourly,€0.1718 hourly,€0.2074 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.163 hourly,€0.5549 hourly,€1.8899 hourly,€2.2818 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0296 hourly,€0.1009 hourly,€0.3436 hourly,€0.4149 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€0.3261 hourly,€1.1099 hourly,€3.7798 hourly,€4.5636 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€1.0637 hourly,€3.6261 hourly,€7.9712 hourly,€10.5337 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€1.1604 hourly,€3.9558 hourly,€8.6959 hourly,€11.4913 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.133 hourly,€0.4533 hourly,€0.9964 hourly,€1.3167 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.0242 hourly,€0.0824 hourly,€0.1812 hourly,€0.2394 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€0.2659 hourly,€0.9065 hourly,€1.9928 hourly,€2.6334 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.0484 hourly,€0.1648 hourly,€0.3623 hourly,€0.4788 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€0.5319 hourly,€1.8131 hourly,€3.9856 hourly,€5.2668 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€0.7893 hourly,€2.6885 hourly,€7.6969 hourly,€9.596 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€0.7893 hourly,€2.6885 hourly,€7.6969 hourly,€9.596 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€0.8611 hourly,€2.9329 hourly,€8.3966 hourly,€10.4684 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.0987 hourly,€0.3361 hourly,€0.9621 hourly,€1.1995 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.0987 hourly,€0.3361 hourly,€0.9621 hourly,€1.1995 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.0179 hourly,€0.0611 hourly,€0.1749 hourly,€0.2181 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.0179 hourly,€0.0611 hourly,€0.1749 hourly,€0.2181 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€0.1973 hourly,€0.6721 hourly,€1.9242 hourly,€2.399 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€0.1973 hourly,€0.6721 hourly,€1.9242 hourly,€2.399 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.0359 hourly,€0.1222 hourly,€0.3499 hourly,€0.4362 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.0359 hourly,€0.1222 hourly,€0.3499 hourly,€0.4362 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€0.3947 hourly,€1.3443 hourly,€3.8484 hourly,€4.798 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€0.3947 hourly,€1.3443 hourly,€3.8484 hourly,€4.798 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€6.0608 hourly,€2.4242 hourly,€11.7124 hourly,€8.0759 hourly
