Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€1.0095 hourly,€0.3028 hourly,€1.4804 hourly,€0.7738 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€2.019 hourly,€0.6057 hourly,€2.9609 hourly,€1.5476 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€4.0379 hourly,€1.2114 hourly,€5.9218 hourly,€3.0952 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€8.0758 hourly,€2.4227 hourly,€11.8436 hourly,€6.1905 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€12.0089 hourly,€3.6027 hourly,€15.7767 hourly,€7.3704 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.5011 hourly,€0.4503 hourly,€1.9721 hourly,€0.9213 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€3.0022 hourly,€0.9007 hourly,€3.9442 hourly,€1.8426 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€6.0045 hourly,€1.8013 hourly,€7.8883 hourly,€3.6852 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€12.0089 hourly,€3.6027 hourly,€15.7767 hourly,€7.3704 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€12.9141 hourly,€2.3232 hourly,€21.0776 hourly,€10.4866 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€12.9141 hourly,€2.3232 hourly,€21.0776 hourly,€10.4866 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.6143 hourly,€0.2904 hourly,€2.6347 hourly,€1.3108 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€3.2285 hourly,€0.5808 hourly,€5.2694 hourly,€2.6217 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€6.4571 hourly,€1.1616 hourly,€10.5388 hourly,€5.2433 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€12.9141 hourly,€2.3232 hourly,€21.0776 hourly,€10.4866 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€12.9141 hourly,€2.3232 hourly,€21.0776 hourly,€10.4866 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€16.7446 hourly,€3.0122 hourly,€25.536 hourly,€11.8036 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€16.7446 hourly,€3.0122 hourly,€25.536 hourly,€11.8036 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.9916 hourly,€0.1786 hourly,€1.6196 hourly,€0.8066 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.8593 hourly,€0.3349 hourly,€3.0367 hourly,€1.5123 hourly
