Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.694 hourly,€0.2359 hourly,€1.165 hourly,€0.7069 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.388 hourly,€0.4718 hourly,€2.33 hourly,€1.4137 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.7761 hourly,€0.9436 hourly,€4.6599 hourly,€2.8274 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.5521 hourly,€1.8871 hourly,€9.3199 hourly,€5.6549 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.2562 hourly,€2.8061 hourly,€12.0239 hourly,€6.5739 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.032 hourly,€0.3508 hourly,€1.503 hourly,€0.8217 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.064 hourly,€0.7015 hourly,€3.006 hourly,€1.6435 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.1281 hourly,€1.4031 hourly,€6.0119 hourly,€3.2869 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.2562 hourly,€2.8061 hourly,€12.0239 hourly,€6.5739 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€8.8785 hourly,€1.599 hourly,€17.0419 hourly,€9.7624 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€8.8785 hourly,€1.599 hourly,€17.0419 hourly,€9.7624 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1098 hourly,€0.1999 hourly,€2.1302 hourly,€1.2203 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.2196 hourly,€0.3997 hourly,€4.2605 hourly,€2.4406 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.4392 hourly,€0.7995 hourly,€8.521 hourly,€4.8812 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€8.8785 hourly,€1.599 hourly,€17.0419 hourly,€9.7624 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€8.8785 hourly,€1.599 hourly,€17.0419 hourly,€9.7624 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€11.5119 hourly,€2.0733 hourly,€20.3033 hourly,€10.8647 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€11.5119 hourly,€2.0733 hourly,€20.3033 hourly,€10.8647 hourly
