Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.6309 hourly,€0.2523 hourly,€1.1019 hourly,€0.7233 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.2618 hourly,€0.5047 hourly,€2.2038 hourly,€1.4466 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.5237 hourly,€1.0094 hourly,€4.4076 hourly,€2.8932 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.0474 hourly,€2.0187 hourly,€8.8151 hourly,€5.7864 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€7.5056 hourly,€3.0021 hourly,€11.2733 hourly,€6.7698 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€0.9382 hourly,€0.3753 hourly,€1.4092 hourly,€0.8462 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€1.8764 hourly,€0.7505 hourly,€2.8183 hourly,€1.6925 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€3.7528 hourly,€1.5011 hourly,€5.6367 hourly,€3.3849 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€7.5056 hourly,€3.0021 hourly,€11.2733 hourly,€6.7698 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€6.135 hourly,€1.8561 hourly,€14.2984 hourly,€10.0195 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€6.135 hourly,€1.8561 hourly,€14.2984 hourly,€10.0195 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€0.7669 hourly,€0.232 hourly,€1.7873 hourly,€1.2524 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€1.5337 hourly,€0.464 hourly,€3.5746 hourly,€2.5049 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€3.0675 hourly,€0.9281 hourly,€7.1492 hourly,€5.0098 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€6.135 hourly,€1.8561 hourly,€14.2984 hourly,€10.0195 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€6.135 hourly,€1.8561 hourly,€14.2984 hourly,€10.0195 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€7.677 hourly,€2.407 hourly,€16.4684 hourly,€11.1984 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€7.677 hourly,€2.407 hourly,€16.4684 hourly,€11.1984 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.6198 hourly,€0.1441 hourly,€1.2477 hourly,€0.7721 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.162 hourly,€0.2702 hourly,€2.3395 hourly,€1.4477 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1549 hourly,€0.036 hourly,€0.3119 hourly,€0.193 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.3241 hourly,€0.5405 hourly,€4.6789 hourly,€2.8953 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3099 hourly,€0.0721 hourly,€0.6239 hourly,€0.386 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€6.3859 hourly,€0.9496 hourly,€13.2934 hourly,€7.8572 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€7.3965 hourly,€1.1088 hourly,€14.9319 hourly,€8.6443 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.7982 hourly,€0.1187 hourly,€1.6617 hourly,€0.9821 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1451 hourly,€0.0216 hourly,€0.3021 hourly,€0.1786 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.5965 hourly,€0.2374 hourly,€3.3233 hourly,€1.9643 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.2903 hourly,€0.0432 hourly,€0.6042 hourly,€0.3571 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€3.1929 hourly,€0.4748 hourly,€6.6467 hourly,€3.9286 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€9.9339 hourly,€1.5506 hourly,€16.8414 hourly,€8.4581 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€10.837 hourly,€1.6916 hourly,€18.3725 hourly,€9.227 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€1.2417 hourly,€0.1938 hourly,€2.1052 hourly,€1.0573 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.2258 hourly,€0.0352 hourly,€0.3828 hourly,€0.1922 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€2.4835 hourly,€0.3876 hourly,€4.2104 hourly,€2.1145 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.4515 hourly,€0.0705 hourly,€0.7655 hourly,€0.3845 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€4.967 hourly,€0.7753 hourly,€8.4207 hourly,€4.2291 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€7.5685 hourly,€1.15 hourly,€14.4761 hourly,€8.0575 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€7.5685 hourly,€1.15 hourly,€14.4761 hourly,€8.0575 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€8.2566 hourly,€1.2545 hourly,€15.7921 hourly,€8.79 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.9461 hourly,€0.1437 hourly,€1.8095 hourly,€1.0072 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.9461 hourly,€0.1437 hourly,€1.8095 hourly,€1.0072 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.172 hourly,€0.0261 hourly,€0.329 hourly,€0.1831 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.172 hourly,€0.0261 hourly,€0.329 hourly,€0.1831 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€1.8921 hourly,€0.2875 hourly,€3.619 hourly,€2.0144 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€1.8921 hourly,€0.2875 hourly,€3.619 hourly,€2.0144 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.344 hourly,€0.0523 hourly,€0.658 hourly,€0.3662 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.344 hourly,€0.0523 hourly,€0.658 hourly,€0.3662 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€3.7843 hourly,€0.575 hourly,€7.238 hourly,€4.0287 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€3.7843 hourly,€0.575 hourly,€7.238 hourly,€4.0287 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€4.9856 hourly,€1.941 hourly,€10.6372 hourly,€7.5926 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.554 hourly,€0.2157 hourly,€1.1819 hourly,€0.8436 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€6.6475 hourly,€2.5879 hourly,€14.183 hourly,€10.1234 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0692 hourly,€0.027 hourly,€0.1477 hourly,€0.1055 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€0.8309 hourly,€0.3235 hourly,€1.7729 hourly,€1.2654 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€9.9713 hourly,€3.8819 hourly,€21.2745 hourly,€15.1851 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.1079 hourly,€0.4313 hourly,€2.3638 hourly,€1.6872 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1385 hourly,€0.0539 hourly,€0.2955 hourly,€0.2109 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€1.6619 hourly,€0.647 hourly,€3.5457 hourly,€2.5309 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.277 hourly,€0.1078 hourly,€0.591 hourly,€0.4218 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€3.3238 hourly,€1.294 hourly,€7.0915 hourly,€5.0617 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€7.7676 hourly,€2.7138 hourly,€13.4192 hourly,€8.3654 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€7.7676 hourly,€2.7138 hourly,€13.4192 hourly,€8.3654 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.8631 hourly,€0.3015 hourly,€1.491 hourly,€0.9295 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.8631 hourly,€0.3015 hourly,€1.491 hourly,€0.9295 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€10.3569 hourly,€3.6184 hourly,€17.8923 hourly,€11.1539 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€10.3569 hourly,€3.6184 hourly,€17.8923 hourly,€11.1539 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1062 hourly,€0.0372 hourly,€0.1847 hourly,€0.1157 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.2946 hourly,€0.4523 hourly,€2.2365 hourly,€1.3942 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.2946 hourly,€0.4523 hourly,€2.2365 hourly,€1.3942 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€15.5353 hourly,€5.4276 hourly,€26.8385 hourly,€16.7308 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€15.5353 hourly,€5.4276 hourly,€26.8385 hourly,€16.7308 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€15.5353 hourly,€5.4276 hourly,€26.8385 hourly,€16.7308 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€15.5353 hourly,€5.4276 hourly,€26.8385 hourly,€16.7308 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€1.7261 hourly,€0.6031 hourly,€2.9821 hourly,€1.859 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€1.7261 hourly,€0.6031 hourly,€2.9821 hourly,€1.859 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.2158 hourly,€0.0754 hourly,€0.3728 hourly,€0.2324 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.2158 hourly,€0.0754 hourly,€0.3728 hourly,€0.2324 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€2.5892 hourly,€0.9046 hourly,€4.4731 hourly,€2.7885 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€2.5892 hourly,€0.9046 hourly,€4.4731 hourly,€2.7885 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.4315 hourly,€0.1508 hourly,€0.7455 hourly,€0.4647 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.4315 hourly,€0.1508 hourly,€0.7455 hourly,€0.4647 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€5.1784 hourly,€1.8092 hourly,€8.9462 hourly,€5.5769 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€5.1784 hourly,€1.8092 hourly,€8.9462 hourly,€5.5769 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€5.8323 hourly,€2.1762 hourly,€11.4839 hourly,€7.8278 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€5.8323 hourly,€2.1762 hourly,€11.4839 hourly,€7.8278 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.648 hourly,€0.2418 hourly,€1.276 hourly,€0.8698 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.648 hourly,€0.2418 hourly,€1.276 hourly,€0.8698 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€7.7764 hourly,€2.9016 hourly,€15.3119 hourly,€10.437 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€7.7764 hourly,€2.9016 hourly,€15.3119 hourly,€10.437 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0793 hourly,€0.0298 hourly,€0.1578 hourly,€0.1083 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€0.9721 hourly,€0.3627 hourly,€1.914 hourly,€1.3046 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€0.9721 hourly,€0.3627 hourly,€1.914 hourly,€1.3046 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€11.6647 hourly,€4.3524 hourly,€22.9679 hourly,€15.6556 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€11.6647 hourly,€4.3524 hourly,€22.9679 hourly,€15.6556 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€11.6647 hourly,€4.3524 hourly,€22.9679 hourly,€15.6556 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€11.6647 hourly,€4.3524 hourly,€22.9679 hourly,€15.6556 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.2961 hourly,€0.4836 hourly,€2.552 hourly,€1.7395 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.2961 hourly,€0.4836 hourly,€2.552 hourly,€1.7395 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.162 hourly,€0.0604 hourly,€0.319 hourly,€0.2174 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.162 hourly,€0.0604 hourly,€0.319 hourly,€0.2174 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€1.9441 hourly,€0.7254 hourly,€3.828 hourly,€2.6093 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€1.9441 hourly,€0.7254 hourly,€3.828 hourly,€2.6093 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.324 hourly,€0.1209 hourly,€0.638 hourly,€0.4349 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.324 hourly,€0.1209 hourly,€0.638 hourly,€0.4349 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€3.8882 hourly,€1.4508 hourly,€7.656 hourly,€5.2185 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€3.8882 hourly,€1.4508 hourly,€7.656 hourly,€5.2185 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.3377 hourly,€0.135 hourly,€0.9656 hourly,€0.763 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0422 hourly,€0.0169 hourly,€0.1207 hourly,€0.0954 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.6753 hourly,€0.27 hourly,€1.9312 hourly,€1.5259 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.0844 hourly,€0.0337 hourly,€0.2414 hourly,€0.1907 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.1688 hourly,€0.0675 hourly,€0.4828 hourly,€0.3815 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.617 hourly,€0.2467 hourly,€1.245 hourly,€0.8747 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.0771 hourly,€0.0308 hourly,€0.1556 hourly,€0.1093 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.1543 hourly,€0.0617 hourly,€0.3112 hourly,€0.2187 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3085 hourly,€0.1234 hourly,€0.6225 hourly,€0.4373 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0472 hourly,€0.0189 hourly,€0.1257 hourly,€0.0974 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0397 hourly,€0.0159 hourly,€0.1182 hourly,€0.0944 hourly
E2 Small,e2-small,2 GiB,2,€0.0422 hourly,€0.0169 hourly,€0.1207 hourly,€0.0954 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.4574 hourly,€0.1829 hourly,€1.0854 hourly,€0.8108 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0572 hourly,€0.0229 hourly,€0.1357 hourly,€0.1014 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€0.9148 hourly,€0.3657 hourly,€2.1707 hourly,€1.6217 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1143 hourly,€0.0457 hourly,€0.2713 hourly,€0.2027 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2287 hourly,€0.0914 hourly,€0.5427 hourly,€0.4054 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.3757 hourly,€0.1503 hourly,€0.8467 hourly,€0.6213 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.501 hourly,€0.2005 hourly,€1.1289 hourly,€0.8284 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.7515 hourly,€0.3007 hourly,€1.6934 hourly,€1.2426 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€1.0019 hourly,€0.4009 hourly,€2.2579 hourly,€1.6568 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.1252 hourly,€0.0501 hourly,€0.2822 hourly,€0.2071 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€1.5029 hourly,€0.6014 hourly,€3.3868 hourly,€2.4852 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.2505 hourly,€0.1002 hourly,€0.5645 hourly,€0.4142 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€3.0058 hourly,€1.2027 hourly,€6.7736 hourly,€4.9705 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€4.2008 hourly,€1.68 hourly,€7.6546 hourly,€5.1338 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€12.2943 hourly,€4.8967 hourly,€17.3179 hourly,€9.9204 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€6.1471 hourly,€2.4484 hourly,€8.659 hourly,€4.9602 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€20.7881 hourly,€8.2809 hourly,€25.8117 hourly,€13.3046 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€5.197 hourly,€2.0702 hourly,€6.4529 hourly,€3.3261 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€10.394 hourly,€4.1405 hourly,€12.9059 hourly,€6.6523 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€1.2833 hourly,€0.4866 hourly,€1.9112 hourly,€1.1146 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€2.5666 hourly,€0.9732 hourly,€3.8225 hourly,€2.2291 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€5.1331 hourly,€1.9464 hourly,€7.645 hourly,€4.4582 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€8.016 hourly,€3.0194 hourly,€12.4117 hourly,€7.4151 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€16.032 hourly,€6.0389 hourly,€24.8234 hourly,€14.8302 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€2.004 hourly,€0.7549 hourly,€3.1029 hourly,€1.8538 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€4.008 hourly,€1.5097 hourly,€6.2058 hourly,€3.7076 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€13.8179 hourly,€5.3402 hourly,€18.2136 hourly,€9.7359 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€27.6358 hourly,€10.6804 hourly,€36.4272 hourly,€19.4718 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€6.909 hourly,€2.6701 hourly,€9.1068 hourly,€4.8679 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.4836 hourly,€0.1235 hourly,€1.1115 hourly,€0.7514 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0604 hourly,€0.0154 hourly,€0.1389 hourly,€0.0939 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€0.9672 hourly,€0.247 hourly,€2.2231 hourly,€1.5029 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1209 hourly,€0.0309 hourly,€0.2779 hourly,€0.1879 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€1.9343 hourly,€0.4939 hourly,€4.4462 hourly,€3.0057 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.2418 hourly,€0.0617 hourly,€0.5558 hourly,€0.3757 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€2.9015 hourly,€0.7409 hourly,€6.6692 hourly,€4.5086 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€0.8075 hourly,€0.2029 hourly,€1.4354 hourly,€0.8309 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1009 hourly,€0.0254 hourly,€0.1794 hourly,€0.1039 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€1.615 hourly,€0.4058 hourly,€2.8709 hourly,€1.6617 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2019 hourly,€0.0507 hourly,€0.3589 hourly,€0.2077 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,€3.23 hourly,€0.8116 hourly,€5.7418 hourly,€3.3234 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.4037 hourly,€0.1015 hourly,€0.7177 hourly,€0.4154 hourly
