Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.6946 hourly,€0.177 hourly,€1.1655 hourly,€0.6479 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.3891 hourly,€0.3539 hourly,€2.3311 hourly,€1.2959 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.7782 hourly,€0.7079 hourly,€4.6621 hourly,€2.5918 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.5565 hourly,€1.4158 hourly,€9.3242 hourly,€5.1835 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.2624 hourly,€2.105 hourly,€12.0302 hourly,€5.8728 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.0328 hourly,€0.2631 hourly,€1.5038 hourly,€0.7341 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.0656 hourly,€0.5263 hourly,€3.0075 hourly,€1.4682 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.1312 hourly,€1.0525 hourly,€6.0151 hourly,€2.9364 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.2624 hourly,€2.105 hourly,€12.0302 hourly,€5.8728 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1109 hourly,€0.1999 hourly,€2.1313 hourly,€1.2203 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.2218 hourly,€0.3997 hourly,€4.2627 hourly,€2.4406 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.4437 hourly,€0.7995 hourly,€8.5254 hourly,€4.8812 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€11.5234 hourly,€2.0733 hourly,€20.3148 hourly,€10.8647 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€11.5234 hourly,€2.0733 hourly,€20.3148 hourly,€10.8647 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.6824 hourly,€0.1739 hourly,€1.3103 hourly,€0.8018 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.2795 hourly,€0.326 hourly,€2.4569 hourly,€1.5035 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1706 hourly,€0.0435 hourly,€0.3276 hourly,€0.2005 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.5589 hourly,€0.6521 hourly,€4.9138 hourly,€3.0069 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3412 hourly,€0.0869 hourly,€0.6552 hourly,€0.4009 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€7.0384 hourly,€1.4641 hourly,€13.9459 hourly,€8.3716 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€8.1543 hourly,€1.7097 hourly,€15.6898 hourly,€9.2452 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.8798 hourly,€0.183 hourly,€1.7432 hourly,€1.0465 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.16 hourly,€0.0333 hourly,€0.317 hourly,€0.1903 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.7596 hourly,€0.366 hourly,€3.4865 hourly,€2.0929 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.3199 hourly,€0.0665 hourly,€0.6339 hourly,€0.3805 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€3.5192 hourly,€0.732 hourly,€6.973 hourly,€4.1858 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€10.966 hourly,€2.3921 hourly,€17.8735 hourly,€9.2996 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€11.9629 hourly,€2.6096 hourly,€19.4984 hourly,€10.145 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€1.3708 hourly,€0.299 hourly,€2.2342 hourly,€1.1625 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.2492 hourly,€0.0544 hourly,€0.4062 hourly,€0.2114 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€2.7415 hourly,€0.598 hourly,€4.4684 hourly,€2.3249 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.4985 hourly,€0.1087 hourly,€0.8124 hourly,€0.4227 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€5.483 hourly,€1.1961 hourly,€8.9368 hourly,€4.6498 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€8.3476 hourly,€1.7734 hourly,€15.2551 hourly,€8.6809 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€8.3476 hourly,€1.7734 hourly,€15.2551 hourly,€8.6809 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€9.1065 hourly,€1.9347 hourly,€16.642 hourly,€9.4701 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€1.0435 hourly,€0.2217 hourly,€1.9069 hourly,€1.0851 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€1.0435 hourly,€0.2217 hourly,€1.9069 hourly,€1.0851 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.1897 hourly,€0.0403 hourly,€0.3467 hourly,€0.1973 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.1897 hourly,€0.0403 hourly,€0.3467 hourly,€0.1973 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€2.0869 hourly,€0.4434 hourly,€3.8138 hourly,€2.1702 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€2.0869 hourly,€0.4434 hourly,€3.8138 hourly,€2.1702 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.3794 hourly,€0.0806 hourly,€0.6934 hourly,€0.3946 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.3794 hourly,€0.0806 hourly,€0.6934 hourly,€0.3946 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€4.1738 hourly,€0.8867 hourly,€7.6276 hourly,€4.3405 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€4.1738 hourly,€0.8867 hourly,€7.6276 hourly,€4.3405 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€5.753 hourly,€2.3012 hourly,€11.4046 hourly,€7.9528 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.6392 hourly,€0.2557 hourly,€1.2672 hourly,€0.8836 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€7.6707 hourly,€3.0682 hourly,€15.2062 hourly,€10.6037 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0799 hourly,€0.032 hourly,€0.1584 hourly,€0.1105 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€0.9588 hourly,€0.3835 hourly,€1.9008 hourly,€1.3255 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€11.506 hourly,€4.6023 hourly,€22.8092 hourly,€15.9055 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.2784 hourly,€0.5114 hourly,€2.5344 hourly,€1.7673 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1598 hourly,€0.0639 hourly,€0.3168 hourly,€0.2209 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€1.9177 hourly,€0.7671 hourly,€3.8015 hourly,€2.6509 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3196 hourly,€0.1278 hourly,€0.6336 hourly,€0.4418 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€3.8353 hourly,€1.5341 hourly,€7.6031 hourly,€5.3018 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€8.8163 hourly,€3.5263 hourly,€14.4679 hourly,€9.1779 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€8.8163 hourly,€3.5263 hourly,€14.4679 hourly,€9.1779 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.9796 hourly,€0.3918 hourly,€1.6075 hourly,€1.0198 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.9796 hourly,€0.3918 hourly,€1.6075 hourly,€1.0198 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€11.755 hourly,€4.7017 hourly,€19.2905 hourly,€12.2372 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€11.755 hourly,€4.7017 hourly,€19.2905 hourly,€12.2372 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1206 hourly,€0.0482 hourly,€0.1991 hourly,€0.1267 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.4694 hourly,€0.5877 hourly,€2.4113 hourly,€1.5297 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.4694 hourly,€0.5877 hourly,€2.4113 hourly,€1.5297 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€17.6326 hourly,€7.0526 hourly,€28.9358 hourly,€18.3558 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€17.6326 hourly,€7.0526 hourly,€28.9358 hourly,€18.3558 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€17.6326 hourly,€7.0526 hourly,€28.9358 hourly,€18.3558 hourly
