Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€1.0015 hourly,€0.1608 hourly,€1.4724 hourly,€0.6318 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€2.003 hourly,€0.3217 hourly,€2.9449 hourly,€1.2636 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€4.0059 hourly,€0.6434 hourly,€5.8898 hourly,€2.5273 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€8.0118 hourly,€1.2868 hourly,€11.7795 hourly,€5.0545 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€11.9135 hourly,€1.9134 hourly,€15.6812 hourly,€5.6811 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.4892 hourly,€0.2392 hourly,€1.9602 hourly,€0.7101 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.9784 hourly,€0.4783 hourly,€3.9203 hourly,€1.4203 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€5.9567 hourly,€0.9567 hourly,€7.8406 hourly,€2.8405 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€11.9135 hourly,€1.9134 hourly,€15.6812 hourly,€5.6811 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€12.8165 hourly,€2.3079 hourly,€20.9799 hourly,€10.4714 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€12.8165 hourly,€2.3079 hourly,€20.9799 hourly,€10.4714 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.6021 hourly,€0.2885 hourly,€2.6225 hourly,€1.3089 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€3.2041 hourly,€0.577 hourly,€5.245 hourly,€2.6178 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€6.4082 hourly,€1.154 hourly,€10.49 hourly,€5.2357 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€12.8165 hourly,€2.3079 hourly,€20.9799 hourly,€10.4714 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€12.8165 hourly,€2.3079 hourly,€20.9799 hourly,€10.4714 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€16.618 hourly,€2.9926 hourly,€25.4093 hourly,€11.784 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€16.618 hourly,€2.9926 hourly,€25.4093 hourly,€11.784 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.9841 hourly,€0.204 hourly,€1.612 hourly,€0.8319 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.8451 hourly,€0.3825 hourly,€3.0225 hourly,€1.5599 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.246 hourly,€0.051 hourly,€0.403 hourly,€0.208 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.6902 hourly,€0.7649 hourly,€6.0451 hourly,€3.1197 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.492 hourly,€0.102 hourly,€0.806 hourly,€0.416 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€8.9371 hourly,€3.1518 hourly,€15.8447 hourly,€10.0593 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€10.4362 hourly,€3.713 hourly,€17.9716 hourly,€11.2484 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€1.1171 hourly,€0.394 hourly,€1.9806 hourly,€1.2574 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.2031 hourly,€0.0716 hourly,€0.3601 hourly,€0.2286 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€2.2343 hourly,€0.788 hourly,€3.9612 hourly,€2.5148 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.4062 hourly,€0.1433 hourly,€0.7202 hourly,€0.4572 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€4.4686 hourly,€1.5759 hourly,€7.9223 hourly,€5.0297 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€14.6012 hourly,€5.4174 hourly,€21.5087 hourly,€12.3249 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€15.9285 hourly,€5.9099 hourly,€23.464 hourly,€13.4454 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€1.8251 hourly,€0.6772 hourly,€2.6886 hourly,€1.5406 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.3318 hourly,€0.1231 hourly,€0.4888 hourly,€0.2801 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€3.6503 hourly,€1.3544 hourly,€5.3772 hourly,€3.0812 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.6637 hourly,€0.2462 hourly,€0.9777 hourly,€0.5602 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€7.3006 hourly,€2.7087 hourly,€10.7543 hourly,€6.1625 hourly
