Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.9022 hourly,€0.2499 hourly,€1.3732 hourly,€0.7208 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.8044 hourly,€0.4997 hourly,€2.7464 hourly,€1.4417 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.6089 hourly,€0.9995 hourly,€5.4927 hourly,€2.8834 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€7.2178 hourly,€1.999 hourly,€10.9855 hourly,€5.7667 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€10.733 hourly,€3.0535 hourly,€14.5007 hourly,€6.8213 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.3416 hourly,€0.3817 hourly,€1.8126 hourly,€0.8527 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.6832 hourly,€0.7634 hourly,€3.6252 hourly,€1.7053 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€5.3665 hourly,€1.5268 hourly,€7.2504 hourly,€3.4106 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€10.733 hourly,€3.0535 hourly,€14.5007 hourly,€6.8213 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€11.542 hourly,€2.0778 hourly,€19.7054 hourly,€10.2412 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€11.542 hourly,€2.0778 hourly,€19.7054 hourly,€10.2412 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.4428 hourly,€0.2597 hourly,€2.4632 hourly,€1.2802 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.8855 hourly,€0.5194 hourly,€4.9264 hourly,€2.5603 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.771 hourly,€1.0389 hourly,€9.8527 hourly,€5.1206 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€11.542 hourly,€2.0778 hourly,€19.7054 hourly,€10.2412 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€11.542 hourly,€2.0778 hourly,€19.7054 hourly,€10.2412 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€14.9655 hourly,€2.6944 hourly,€23.7569 hourly,€11.4858 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€14.9655 hourly,€2.6944 hourly,€23.7569 hourly,€11.4858 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.8862 hourly,€0.1823 hourly,€1.5142 hourly,€0.8103 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.6617 hourly,€0.3419 hourly,€2.8391 hourly,€1.5193 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.2216 hourly,€0.0456 hourly,€0.3786 hourly,€0.2026 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.3234 hourly,€0.6837 hourly,€5.6783 hourly,€3.0386 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.4431 hourly,€0.0912 hourly,€0.7571 hourly,€0.4051 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€9.1318 hourly,€2.0798 hourly,€16.0393 hourly,€8.9873 hourly
