Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7445 hourly,€0.1898 hourly,€1.2155 hourly,€0.6608 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.489 hourly,€0.3797 hourly,€2.4309 hourly,€1.3216 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.978 hourly,€0.7593 hourly,€4.8618 hourly,€2.6432 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.9559 hourly,€1.5187 hourly,€9.7236 hourly,€5.2864 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.8566 hourly,€2.2584 hourly,€12.6243 hourly,€6.0261 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.1071 hourly,€0.2823 hourly,€1.578 hourly,€0.7533 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.2141 hourly,€0.5646 hourly,€3.1561 hourly,€1.5065 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.4283 hourly,€1.1292 hourly,€6.3122 hourly,€3.0131 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.8566 hourly,€2.2584 hourly,€12.6243 hourly,€6.0261 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€8.8981 hourly,€2.8845 hourly,€17.0616 hourly,€11.048 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€8.8981 hourly,€2.8845 hourly,€17.0616 hourly,€11.048 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1123 hourly,€0.3606 hourly,€2.1327 hourly,€1.381 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.2245 hourly,€0.7211 hourly,€4.2654 hourly,€2.762 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.4491 hourly,€1.4423 hourly,€8.5308 hourly,€5.524 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€8.8981 hourly,€2.8845 hourly,€17.0616 hourly,€11.048 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€8.8981 hourly,€2.8845 hourly,€17.0616 hourly,€11.048 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€11.6749 hourly,€3.6063 hourly,€20.4663 hourly,€12.3977 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€11.6749 hourly,€3.6063 hourly,€20.4663 hourly,€12.3977 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7313 hourly,€0.1505 hourly,€1.3593 hourly,€0.7784 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.3712 hourly,€0.2822 hourly,€2.5486 hourly,€1.4596 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1828 hourly,€0.0376 hourly,€0.3398 hourly,€0.1946 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.7424 hourly,€0.5643 hourly,€5.0972 hourly,€2.9192 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3657 hourly,€0.0752 hourly,€0.6796 hourly,€0.3892 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€5.3779 hourly,€1.0295 hourly,€12.2854 hourly,€7.937 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€5.9176 hourly,€1.2965 hourly,€13.453 hourly,€8.832 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.6722 hourly,€0.1287 hourly,€1.5357 hourly,€0.9921 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1222 hourly,€0.0234 hourly,€0.2792 hourly,€0.1804 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.3445 hourly,€0.2574 hourly,€3.0714 hourly,€1.9843 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.2445 hourly,€0.0468 hourly,€0.5584 hourly,€0.3608 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€2.689 hourly,€0.5148 hourly,€6.1427 hourly,€3.9685 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€5.7966 hourly,€2.4603 hourly,€12.7041 hourly,€9.3678 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€6.3235 hourly,€2.6839 hourly,€13.859 hourly,€10.2194 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.7246 hourly,€0.3075 hourly,€1.588 hourly,€1.171 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.1317 hourly,€0.0559 hourly,€0.2887 hourly,€0.2129 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€1.4491 hourly,€0.6151 hourly,€3.176 hourly,€2.3419 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.2635 hourly,€0.1118 hourly,€0.5775 hourly,€0.4258 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€2.8983 hourly,€1.2301 hourly,€6.3521 hourly,€4.6839 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€5.5175 hourly,€1.5064 hourly,€12.425 hourly,€8.414 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€5.5175 hourly,€1.5064 hourly,€12.425 hourly,€8.414 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€6.0191 hourly,€1.6434 hourly,€13.5545 hourly,€9.1789 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.6897 hourly,€0.1883 hourly,€1.5531 hourly,€1.0517 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.6897 hourly,€0.1883 hourly,€1.5531 hourly,€1.0517 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.1254 hourly,€0.0342 hourly,€0.2824 hourly,€0.1912 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.1254 hourly,€0.0342 hourly,€0.2824 hourly,€0.1912 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€1.3794 hourly,€0.3766 hourly,€3.1062 hourly,€2.1035 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€1.3794 hourly,€0.3766 hourly,€3.1062 hourly,€2.1035 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.2508 hourly,€0.0685 hourly,€0.5648 hourly,€0.3825 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.2508 hourly,€0.0685 hourly,€0.5648 hourly,€0.3825 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€2.7587 hourly,€0.7532 hourly,€6.2125 hourly,€4.207 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€2.7587 hourly,€0.7532 hourly,€6.2125 hourly,€4.207 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€6.1652 hourly,€2.096 hourly,€11.8169 hourly,€7.7476 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.685 hourly,€0.2329 hourly,€1.313 hourly,€0.8608 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€8.2203 hourly,€2.7947 hourly,€15.7558 hourly,€10.3302 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0856 hourly,€0.0291 hourly,€0.1641 hourly,€0.1076 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€1.0275 hourly,€0.3493 hourly,€1.9695 hourly,€1.2913 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€12.3305 hourly,€4.192 hourly,€23.6337 hourly,€15.4952 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.3701 hourly,€0.4658 hourly,€2.626 hourly,€1.7217 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1713 hourly,€0.0582 hourly,€0.3282 hourly,€0.2152 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€2.0551 hourly,€0.6987 hourly,€3.939 hourly,€2.5825 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3425 hourly,€0.1164 hourly,€0.6565 hourly,€0.4304 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€4.1102 hourly,€1.3973 hourly,€7.8779 hourly,€5.1651 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€9.448 hourly,€3.2122 hourly,€15.0996 hourly,€8.8638 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€9.448 hourly,€3.2122 hourly,€15.0996 hourly,€8.8638 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€1.0498 hourly,€0.3569 hourly,€1.6777 hourly,€0.9849 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€1.0498 hourly,€0.3569 hourly,€1.6777 hourly,€0.9849 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€12.5974 hourly,€4.2829 hourly,€20.1328 hourly,€11.8184 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€12.5974 hourly,€4.2829 hourly,€20.1328 hourly,€11.8184 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1292 hourly,€0.0439 hourly,€0.2077 hourly,€0.1224 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.5747 hourly,€0.5354 hourly,€2.5166 hourly,€1.4773 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.5747 hourly,€0.5354 hourly,€2.5166 hourly,€1.4773 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€18.896 hourly,€6.4244 hourly,€30.1992 hourly,€17.7276 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€18.896 hourly,€6.4244 hourly,€30.1992 hourly,€17.7276 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€18.896 hourly,€6.4244 hourly,€30.1992 hourly,€17.7276 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€18.896 hourly,€6.4244 hourly,€30.1992 hourly,€17.7276 hourly
