Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.6309 hourly,€0.2499 hourly,€1.1019 hourly,€0.7208 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.2618 hourly,€0.4998 hourly,€2.2038 hourly,€1.4417 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.5237 hourly,€0.9995 hourly,€4.4076 hourly,€2.8834 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.0474 hourly,€1.999 hourly,€8.8151 hourly,€5.7668 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€7.5056 hourly,€2.9726 hourly,€11.2733 hourly,€6.7403 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€0.9382 hourly,€0.3716 hourly,€1.4092 hourly,€0.8425 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€1.8764 hourly,€0.7431 hourly,€2.8183 hourly,€1.6851 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€3.7528 hourly,€1.4863 hourly,€5.6367 hourly,€3.3701 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€7.5056 hourly,€2.9726 hourly,€11.2733 hourly,€6.7403 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€8.0713 hourly,€5.6928 hourly,€16.2348 hourly,€13.8562 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€8.0713 hourly,€5.6928 hourly,€16.2348 hourly,€13.8562 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.0089 hourly,€0.7116 hourly,€2.0293 hourly,€1.732 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.0178 hourly,€1.4232 hourly,€4.0587 hourly,€3.464 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.0357 hourly,€2.8464 hourly,€8.1174 hourly,€6.9281 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€8.0713 hourly,€5.6928 hourly,€16.2348 hourly,€13.8562 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€8.0713 hourly,€5.6928 hourly,€16.2348 hourly,€13.8562 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€10.4654 hourly,€7.3813 hourly,€19.2568 hourly,€16.1727 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€10.4654 hourly,€7.3813 hourly,€19.2568 hourly,€16.1727 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.6198 hourly,€0.1662 hourly,€1.2477 hourly,€0.7942 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.162 hourly,€0.3117 hourly,€2.3395 hourly,€1.4891 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1549 hourly,€0.0416 hourly,€0.3119 hourly,€0.1986 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.3241 hourly,€0.6234 hourly,€4.6789 hourly,€2.9783 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3099 hourly,€0.0831 hourly,€0.6239 hourly,€0.3971 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€4.5582 hourly,€2.5163 hourly,€11.4657 hourly,€9.4238 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€5.0158 hourly,€2.918 hourly,€12.5513 hourly,€10.4535 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.5698 hourly,€0.3145 hourly,€1.4332 hourly,€1.178 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1036 hourly,€0.0572 hourly,€0.2606 hourly,€0.2142 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.1395 hourly,€0.6291 hourly,€2.8664 hourly,€2.356 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.2072 hourly,€0.1144 hourly,€0.5212 hourly,€0.4284 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€2.2791 hourly,€1.2582 hourly,€5.7329 hourly,€4.7119 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€4.9149 hourly,€3.9431 hourly,€11.8224 hourly,€10.8506 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€5.3617 hourly,€4.3016 hourly,€12.8972 hourly,€11.8371 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.6144 hourly,€0.4929 hourly,€1.4778 hourly,€1.3563 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.1117 hourly,€0.0896 hourly,€0.2687 hourly,€0.2466 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€1.2287 hourly,€0.9858 hourly,€2.9556 hourly,€2.7127 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.2234 hourly,€0.1792 hourly,€0.5374 hourly,€0.4932 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€2.4574 hourly,€1.9716 hourly,€5.9112 hourly,€5.4253 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€4.6771 hourly,€2.9919 hourly,€11.5846 hourly,€9.8994 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€4.6771 hourly,€2.9919 hourly,€11.5846 hourly,€9.8994 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€5.1023 hourly,€3.2639 hourly,€12.6377 hourly,€10.7994 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.5846 hourly,€0.374 hourly,€1.4481 hourly,€1.2374 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.5846 hourly,€0.374 hourly,€1.4481 hourly,€1.2374 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.1063 hourly,€0.068 hourly,€0.2633 hourly,€0.225 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.1063 hourly,€0.068 hourly,€0.2633 hourly,€0.225 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€1.1693 hourly,€0.748 hourly,€2.8962 hourly,€2.4749 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€1.1693 hourly,€0.748 hourly,€2.8962 hourly,€2.4749 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.2126 hourly,€0.136 hourly,€0.5266 hourly,€0.45 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.2126 hourly,€0.136 hourly,€0.5266 hourly,€0.45 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€2.3385 hourly,€1.496 hourly,€5.7923 hourly,€4.9497 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€2.3385 hourly,€1.496 hourly,€5.7923 hourly,€4.9497 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€0.4656 hourly,€1.8601 hourly,€6.1172 hourly,€7.5117 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.0517 hourly,€0.2067 hourly,€0.6797 hourly,€0.8346 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€0.6209 hourly,€2.4802 hourly,€8.1563 hourly,€10.0156 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0065 hourly,€0.0258 hourly,€0.085 hourly,€0.1043 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€0.0776 hourly,€0.31 hourly,€1.0195 hourly,€1.252 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€0.9313 hourly,€3.7202 hourly,€12.2345 hourly,€15.0234 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€0.1035 hourly,€0.4134 hourly,€1.3594 hourly,€1.6693 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.0129 hourly,€0.0517 hourly,€0.1699 hourly,€0.2087 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€0.1552 hourly,€0.62 hourly,€2.0391 hourly,€2.5039 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.0259 hourly,€0.1033 hourly,€0.3398 hourly,€0.4173 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€0.3104 hourly,€1.2401 hourly,€4.0782 hourly,€5.0078 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€0.7129 hourly,€2.8491 hourly,€6.3645 hourly,€8.5008 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€0.7129 hourly,€2.8491 hourly,€6.3645 hourly,€8.5008 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.0792 hourly,€0.3166 hourly,€0.7072 hourly,€0.9445 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.0792 hourly,€0.3166 hourly,€0.7072 hourly,€0.9445 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€0.9505 hourly,€3.7989 hourly,€8.486 hourly,€11.3343 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€0.9505 hourly,€3.7989 hourly,€8.486 hourly,€11.3343 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.0098 hourly,€0.039 hourly,€0.0882 hourly,€0.1175 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€0.1188 hourly,€0.4749 hourly,€1.0608 hourly,€1.4168 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€0.1188 hourly,€0.4749 hourly,€1.0608 hourly,€1.4168 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€1.4258 hourly,€5.6983 hourly,€12.729 hourly,€17.0015 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€1.4258 hourly,€5.6983 hourly,€12.729 hourly,€17.0015 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€1.4258 hourly,€5.6983 hourly,€12.729 hourly,€17.0015 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€1.4258 hourly,€5.6983 hourly,€12.729 hourly,€17.0015 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€0.1584 hourly,€0.6331 hourly,€1.4143 hourly,€1.8891 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€0.1584 hourly,€0.6331 hourly,€1.4143 hourly,€1.8891 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.0198 hourly,€0.0791 hourly,€0.1768 hourly,€0.2361 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.0198 hourly,€0.0791 hourly,€0.1768 hourly,€0.2361 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€0.2376 hourly,€0.9497 hourly,€2.1215 hourly,€2.8336 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€0.2376 hourly,€0.9497 hourly,€2.1215 hourly,€2.8336 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.0396 hourly,€0.1583 hourly,€0.3536 hourly,€0.4723 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.0396 hourly,€0.1583 hourly,€0.3536 hourly,€0.4723 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€0.4753 hourly,€1.8994 hourly,€4.243 hourly,€5.6672 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€0.4753 hourly,€1.8994 hourly,€4.243 hourly,€5.6672 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€0.5409 hourly,€2.1611 hourly,€6.1925 hourly,€7.8127 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€0.5409 hourly,€2.1611 hourly,€6.1925 hourly,€7.8127 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.0601 hourly,€0.2401 hourly,€0.6881 hourly,€0.8681 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.0601 hourly,€0.2401 hourly,€0.6881 hourly,€0.8681 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€0.7212 hourly,€2.8815 hourly,€8.2567 hourly,€10.417 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€0.7212 hourly,€2.8815 hourly,€8.2567 hourly,€10.417 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0074 hourly,€0.0294 hourly,€0.0859 hourly,€0.1079 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€0.0901 hourly,€0.3602 hourly,€1.0321 hourly,€1.3021 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€0.0901 hourly,€0.3602 hourly,€1.0321 hourly,€1.3021 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€1.0818 hourly,€4.3223 hourly,€12.385 hourly,€15.6255 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€1.0818 hourly,€4.3223 hourly,€12.385 hourly,€15.6255 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€1.0818 hourly,€4.3223 hourly,€12.385 hourly,€15.6255 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€1.0818 hourly,€4.3223 hourly,€12.385 hourly,€15.6255 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€0.1202 hourly,€0.4803 hourly,€1.3761 hourly,€1.7362 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€0.1202 hourly,€0.4803 hourly,€1.3761 hourly,€1.7362 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.015 hourly,€0.06 hourly,€0.172 hourly,€0.217 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.015 hourly,€0.06 hourly,€0.172 hourly,€0.217 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€0.1803 hourly,€0.7204 hourly,€2.0642 hourly,€2.6042 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€0.1803 hourly,€0.7204 hourly,€2.0642 hourly,€2.6042 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.03 hourly,€0.1201 hourly,€0.344 hourly,€0.434 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.03 hourly,€0.1201 hourly,€0.344 hourly,€0.434 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€0.3606 hourly,€1.4408 hourly,€4.1283 hourly,€5.2085 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€0.3606 hourly,€1.4408 hourly,€4.1283 hourly,€5.2085 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.3377 hourly,€0.1013 hourly,€0.9656 hourly,€0.7293 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0422 hourly,€0.0127 hourly,€0.1207 hourly,€0.0912 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.6753 hourly,€0.2026 hourly,€1.9312 hourly,€1.4585 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.0844 hourly,€0.0253 hourly,€0.2414 hourly,€0.1823 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.1688 hourly,€0.0506 hourly,€0.4828 hourly,€0.3646 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.617 hourly,€0.1851 hourly,€1.245 hourly,€0.8131 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.0771 hourly,€0.0231 hourly,€0.1556 hourly,€0.1016 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.1543 hourly,€0.0463 hourly,€0.3112 hourly,€0.2033 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3085 hourly,€0.0926 hourly,€0.6225 hourly,€0.4065 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0472 hourly,€0.0142 hourly,€0.1257 hourly,€0.0927 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0397 hourly,€0.0119 hourly,€0.1182 hourly,€0.0904 hourly
E2 Small,e2-small,2 GiB,2,€0.0422 hourly,€0.0127 hourly,€0.1207 hourly,€0.0912 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.4574 hourly,€0.1372 hourly,€1.0854 hourly,€0.7652 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0572 hourly,€0.0172 hourly,€0.1357 hourly,€0.0956 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€0.9148 hourly,€0.2744 hourly,€2.1707 hourly,€1.5303 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1143 hourly,€0.0343 hourly,€0.2713 hourly,€0.1913 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2287 hourly,€0.0686 hourly,€0.5427 hourly,€0.3826 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.3757 hourly,€0.1503 hourly,€0.8467 hourly,€0.6213 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.501 hourly,€0.2005 hourly,€1.1289 hourly,€0.8284 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.7515 hourly,€0.3007 hourly,€1.6934 hourly,€1.2426 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€1.0019 hourly,€0.4009 hourly,€2.2579 hourly,€1.6568 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.1252 hourly,€0.0501 hourly,€0.2822 hourly,€0.2071 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€1.5029 hourly,€0.6014 hourly,€3.3868 hourly,€2.4852 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.2505 hourly,€0.1002 hourly,€0.5645 hourly,€0.4142 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€3.0058 hourly,€1.2027 hourly,€6.7736 hourly,€4.9705 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€3.4008 hourly,€1.7643 hourly,€6.8545 hourly,€5.2181 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€8.8738 hourly,€4.9177 hourly,€13.8975 hourly,€9.9414 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€4.4369 hourly,€2.4589 hourly,€6.9487 hourly,€4.9707 hourly
