"Name","API Name","Instance Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Dedicate Host On Demand","Dedicated Host Reserved","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost","Generation"
"T4G Nano","t4g.nano","0.5 GiB","0 units","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","43.0 Mbps","5.38 MB/s","250.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0042 hourly","$0.0026 hourly","$0.0040 hourly","$0.0041 hourly","unavailable","unavailable","$0.0640 hourly","$0.0641 hourly","$0.0042 hourly","$0.0026 hourly","$0.0040 hourly","$0.0041 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Nano","t3a.nano","0.5 GiB","Base performance:                   10%","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","45.0 Mbps","5.62 MB/s","250.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0047 hourly","$0.0029 hourly","$0.0031 hourly","$0.0040 hourly","unavailable","unavailable","$0.0631 hourly","$0.0640 hourly","$0.0047 hourly","$0.0029 hourly","$0.0031 hourly","$0.0040 hourly","$0.0093 hourly","$0.0075 hourly","$0.0077 hourly","$0.0086 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3 Nano","t3.nano","0.5 GiB","Base performance:                   10%","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","43.0 Mbps","5.38 MB/s","250.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0052 hourly","$0.0033 hourly","$0.0033 hourly","$0.0040 hourly","unavailable","unavailable","$0.0633 hourly","$0.0640 hourly","$0.0052 hourly","$0.0033 hourly","$0.0033 hourly","$0.0040 hourly","$0.0098 hourly","$0.0079 hourly","$0.0075 hourly","$0.0079 hourly","$8.7860 hourly","$5.5080 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                   5%","1 vCPUs                                                         for a                   1h 12m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0058 hourly","$0.0036 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0058 hourly","$0.0036 hourly","unavailable","unavailable","$0.0081 hourly","$0.0059 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","current"
"T4G Micro","t4g.micro","1.0 GiB","0 units","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","87.0 Mbps","10.88 MB/s","500.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0084 hourly","$0.0053 hourly","$0.0060 hourly","$0.0082 hourly","$0.1034 hourly","$0.0973 hourly","$0.0660 hourly","$0.0682 hourly","$0.0084 hourly","$0.0053 hourly","$0.0060 hourly","$0.0082 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Micro","t3a.micro","1.0 GiB","Base performance:                   20%","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","90.0 Mbps","11.25 MB/s","500.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0094 hourly","$0.0059 hourly","$0.0059 hourly","$0.0080 hourly","$0.1044 hourly","$0.0979 hourly","$0.0659 hourly","$0.0680 hourly","$0.0094 hourly","$0.0059 hourly","$0.0059 hourly","$0.0080 hourly","$0.0186 hourly","$0.0151 hourly","$0.0151 hourly","$0.0158 hourly","unavailable","unavailable","$0.0862 hourly","$0.0827 hourly","unavailable","unavailable","unavailable","unavailable","$0.0770 hourly","$0.0735 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3 Micro","t3.micro","1.0 GiB","Base performance:                   20%","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","87.0 Mbps","10.88 MB/s","500.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0104 hourly","$0.0065 hourly","$0.0061 hourly","$0.0076 hourly","$0.1054 hourly","$0.0985 hourly","$0.0661 hourly","$0.0676 hourly","$0.0104 hourly","$0.0065 hourly","$0.0061 hourly","$0.0076 hourly","$0.0196 hourly","$0.0157 hourly","$0.0159 hourly","$0.0170 hourly","$8.7860 hourly","$5.5080 hourly","$0.0872 hourly","$0.0833 hourly","unavailable","unavailable","unavailable","unavailable","$0.0780 hourly","$0.0741 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                   10%","1 vCPUs                                                         for a                   2h 24m                   burst","1.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0116 hourly","$0.0072 hourly","$0.0039 hourly","$0.0075 hourly","$0.0716 hourly","$0.0672 hourly","$0.0639 hourly","$0.0675 hourly","$0.0116 hourly","$0.0072 hourly","$0.0039 hourly","$0.0075 hourly","$0.0162 hourly","$0.0118 hourly","$0.0088 hourly","$0.0124 hourly","unavailable","unavailable","$0.0680 hourly","$0.0470 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","current"
"T4G Small","t4g.small","2.0 GiB","0 units","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","174.0 Mbps","21.75 MB/s","1000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","12","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0168 hourly","$0.0105 hourly","$0.0156 hourly","$0.0163 hourly","$0.0768 hourly","$0.0705 hourly","$0.0756 hourly","$0.0763 hourly","$0.0481 hourly","$0.0235 hourly","$0.0469 hourly","$0.0476 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Small","t3a.small","2.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","175.0 Mbps","21.88 MB/s","1000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0188 hourly","$0.0118 hourly","$0.0127 hourly","$0.0158 hourly","$0.1138 hourly","$0.1038 hourly","$0.0727 hourly","$0.0758 hourly","$0.0498 hourly","$0.0248 hourly","$0.0437 hourly","$0.0468 hourly","$0.0372 hourly","$0.0302 hourly","$0.0341 hourly","$0.0343 hourly","unavailable","unavailable","$0.1048 hourly","$0.0978 hourly","unavailable","unavailable","unavailable","unavailable","$0.0864 hourly","$0.0794 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
