,id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_impact_total,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
0,a1.medium,1,2.0,0,0,0,a1.metal,,0.00081,1.1519545625,0.000113,0.000283,0.00043,3.2431218750000004,0.000318,0.0008,0.0012,4.1499325,0.00041,0.00102,0.00154
1,a1.large,2,4.0,0,0,0,a1.metal,,0.0016,2.303909125,0.000226,0.00057,0.00085,6.486243750000001,0.00064,0.0016,0.0024,8.299865,0.00081,0.00204,0.00307
2,a1.xlarge,4,8.0,0,0,0,a1.metal,,0.0033,4.60781825,0.00045,0.00113,0.0017,12.972487500000002,0.00127,0.00319,0.0048,16.59973,0.00163,0.0041,0.0061
3,a1.2xlarge,8,16.0,0,0,0,a1.metal,,0.0065,9.2156365,0.0009,0.00227,0.0034,25.944975000000003,0.00254,0.0064,0.0096,33.19946,0.00325,0.0082,0.0123
4,a1.4xlarge,16,32.0,0,0,0,a1.metal,,0.013,18.431273,0.00181,0.0045,0.0068,51.889950000000006,0.0051,0.0128,0.0192,66.39892,0.0065,0.0163,0.0246
5,a1.metal,16,32.0,0,0,0,a1.metal,,0.013,18.431273,0.00181,0.0045,0.0068,51.889950000000006,0.0051,0.0128,0.0192,66.39892,0.0065,0.0163,0.0246
6,c1.medium,2,2.0,350,0,0,platform_aws_c1,,0.0013,2.0110708333333336,0.000197,0.00049,0.00074,8.633140833333332,0.00085,0.00212,0.00319,11.504610833333333,0.00113,0.00283,0.0043
7,c1.xlarge,8,7.0,1680,0,0,platform_aws_c1,,0.0054,7.666563333333333,0.00075,0.00189,0.00284,34.15484333333333,0.0033,0.0084,0.0126,45.640723333333334,0.0045,0.0112,0.0169
8,c3.large,2,3.75,32,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/,0.00109,3.240412,0.000318,0.0008,0.0012,12.859903000000001,0.00126,0.00316,0.0048,17.03065,0.00167,0.0042,0.0063
9,c3.xlarge,4,7.0,80,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/,0.0022,6.291964000000001,0.00062,0.00155,0.00233,25.530946000000004,0.0025,0.0063,0.0094,33.872440000000005,0.00332,0.0083,0.0125
10,c3.2xlarge,8,15.0,160,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/,0.0044,12.961648,0.00127,0.00319,0.0048,51.439612000000004,0.005,0.0127,0.019,68.1226,0.0067,0.0168,0.0252
11,c3.4xlarge,16,30.0,320,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/,0.0089,25.923296,0.00254,0.0064,0.0096,102.87922400000001,0.0101,0.0253,0.038,136.2452,0.0134,0.034,0.05
12,c3.8xlarge,32,60.0,640,0,0,platform_aws_c3,https://aws.amazon.com/blogs/aws/a-generation-of-ec2-instances-for-compute-intensive-workloads/,0.018,51.846592,0.0051,0.0128,0.0192,205.75844800000002,0.0202,0.051,0.076,272.4904,0.0267,0.067,0.101
13,c4.large,2,3.75,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.00104,3.5576170000000005,0.00035,0.00088,0.00132,14.849450000000003,0.00146,0.0037,0.0055,19.74651,0.00194,0.0049,0.0073
14,c4.large.elasticsearch,2,3.75,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.00104,3.5576170000000005,0.00035,0.00088,0.00132,14.849450000000003,0.00146,0.0037,0.0055,19.74651,0.00194,0.0049,0.0073
15,c4.xlarge,4,7.5,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.0021,7.115234000000001,0.0007,0.00175,0.00263,29.698900000000005,0.00291,0.0073,0.011,39.49302,0.0039,0.0097,0.0146
16,c4.xlarge.elasticsearch,4,7.5,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.0021,7.115234000000001,0.0007,0.00175,0.00263,29.698900000000005,0.00291,0.0073,0.011,39.49302,0.0039,0.0097,0.0146
17,c4.2xlarge,8,15.0,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.0042,14.230468000000002,0.00139,0.0035,0.0053,59.39780000000001,0.0058,0.0146,0.022,78.98604,0.0077,0.0194,0.0292
18,c4.2xlarge.elasticsearch,8,15.0,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.0042,14.230468000000002,0.00139,0.0035,0.0053,59.39780000000001,0.0058,0.0146,0.022,78.98604,0.0077,0.0194,0.0292
19,c4.4xlarge,16,30.0,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.0083,28.460936000000004,0.00279,0.007,0.0105,118.79560000000002,0.0116,0.0292,0.044,157.97208,0.0155,0.039,0.058
20,c4.4xlarge.elasticsearch,16,30.0,0,0,0,platform_aws_c4,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,0.0083,28.460936000000004,0.00279,0.007,0.0105,118.79560000000002,0.0116,0.0292,0.044,157.97208,0.0155,0.039,0.058
