id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
d2ads_v5,2,8.0,75.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4ads_v5,4,16.0,150.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8ads_v5,8,32.0,300.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16ads_v5,16,64.0,600.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32ads_v5,32,128.0,1200.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d48ads_v5,48,192.0,1800.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d64ads_v5,64,256.0,2400.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d96ads_v5,96,384.0,3600.0,0.0,0,Dadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d2as_v4,2,8.0,16.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4as_v4,4,16.0,32.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8as_v4,8,32.0,64.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16as_v4,16,64.0,128.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32as_v4,32,128.0,256.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d48as_v4,48,192.0,384.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d64as_v4,64,256.0,512.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d96as_v4,96,384.0,768.0,0.0,0,Dasv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d16as_v4,16,64.0,128.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d16as_v4,16,64.0,128.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d2as_v4,2,8.0,16.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d2as_v4,2,8.0,16.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d32as_v4,32,128.0,256.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d32as_v4,32,128.0,256.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d48as_v4,48,192.0,384.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d48as_v4,48,192.0,384.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d4as_v4,4,16.0,32.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d4as_v4,4,16.0,32.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d64as_v4,64,256.0,512.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d64as_v4,64,256.0,512.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d8as_v4,8,32.0,64.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d8as_v4,8,32.0,64.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
standard_d96as_v4,96,384.0,768.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d2as_v4,2,8.0,16.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4as_v4,4,16.0,32.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8as_v4,8,32.0,64.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16as_v4,16,64.0,128.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32as_v4,32,128.0,256.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d48as_v4,48,192.0,384.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d64as_v4,64,256.0,512.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d96as_v4,96,384.0,768.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d2as_v5,2,8.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4as_v5,4,16.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8as_v5,8,32.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16as_v5,16,64.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32as_v5,32,128.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d48as_v5,48,192.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d64as_v5,64,256.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
