"Name","API Name","Instance Memory","vCPUs","Memory per vCPU","GPUs","Storage","Linux On Demand cost","Linux Savings Plan","Linux Reserved cost","Linux Spot cost","Windows On Demand cost","Windows Savings Plan","Windows Reserved cost","Windows Spot cost"
"A0","A0","0.75 GiB","1","0.75 GiB/vCPU","0","20 GiB","$0.02 hourly","","","$0.018 hourly","$0.02 hourly","","","$0.018 hourly"
"A1","A1","1.75 GiB","1","1.75 GiB/vCPU","0","70 GiB","$0.06 hourly","","","$0.054 hourly","$0.09 hourly","","","$0.081 hourly"
"A1 v2","A1 v2","2 GiB","1","2 GiB/vCPU","0","10 GiB","$0.043 hourly","","","$0.0084 hourly","$0.065 hourly","","","$0.0127 hourly"
"A2","A2","3.5 GiB","2","1.75 GiB/vCPU","0","135 GiB","$0.12 hourly","","","$0.108 hourly","$0.18 hourly","","","$0.162 hourly"
"A2m v2","A2m v2","16 GiB","2","8 GiB/vCPU","0","20 GiB","$0.119 hourly","","","$0.0233 hourly","$0.18 hourly","","","$0.0353 hourly"
"A2 v2","A2 v2","4 GiB","2","2 GiB/vCPU","0","20 GiB","$0.0903 hourly","","","$0.0177 hourly","$0.136 hourly","","","$0.0267 hourly"
"A3","A3","7 GiB","4","1.75 GiB/vCPU","0","285 GiB","$0.24 hourly","","","$0.216 hourly","$0.36 hourly","","","$0.324 hourly"
"A4","A4","14 GiB","8","1.75 GiB/vCPU","0","605 GiB","$0.48 hourly","","","$0.432 hourly","$0.72 hourly","","","$0.648 hourly"
"A4m v2","A4m v2","32 GiB","4","8 GiB/vCPU","0","40 GiB","$0.237 hourly","","","$0.0465 hourly","$0.36 hourly","","","$0.0706 hourly"
"A4 v2","A4 v2","8 GiB","4","2 GiB/vCPU","0","40 GiB","$0.191 hourly","","","$0.0374 hourly","$0.286 hourly","","","$0.0561 hourly"
"A5","A5","14 GiB","2","7 GiB/vCPU","0","135 GiB","$0.25 hourly","","","$0.225 hourly","$0.33 hourly","","","$0.297 hourly"
"A6","A6","28 GiB","4","7 GiB/vCPU","0","285 GiB","$0.50 hourly","","","$0.45 hourly","$0.66 hourly","","","$0.594 hourly"
"A7","A7","56 GiB","8","7 GiB/vCPU","0","605 GiB","$1.00 hourly","","","$0.90 hourly","$1.32 hourly","","","$1.188 hourly"
"A8m v2","A8m v2","64 GiB","8","8 GiB/vCPU","0","80 GiB","$0.475 hourly","","","$0.0931 hourly","$0.72 hourly","","","$0.1411 hourly"
"A8 v2","A8 v2","16 GiB","8","2 GiB/vCPU","0","80 GiB","$0.399 hourly","","","$0.0782 hourly","$0.60 hourly","","","$0.1176 hourly"
"B12ms","B12ms","48 GiB","12","4 GiB/vCPU","0","96 GiB","$0.499 hourly","","","","$0.547 hourly","","",""
"B16als v2","B16als v2","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.533 hourly","","","$0.4797 hourly","$0.606 hourly","","","$0.5454 hourly"
"B16as v2","B16as v2","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.602 hourly","","","$0.5418 hourly","$0.675 hourly","","","$0.6075 hourly"
"B16ls v2","B16ls v2","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.589 hourly","","","$0.5301 hourly","$0.663 hourly","","","$0.5967 hourly"
"B16ms","B16ms","64 GiB","16","4 GiB/vCPU","0","128 GiB","$0.666 hourly","","","","$0.73 hourly","","",""
"Standard B16pls v2","B16pls v2","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.476 hourly","","","$0.4284 hourly","","","",""
"Standard B16ps v2","B16ps v2","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.538 hourly","","","$0.4842 hourly","","","",""
"B16s v2","B16s v2","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.666 hourly","","","$0.5994 hourly","$0.739 hourly","","","$0.6651 hourly"
"Standard B1ls","B1ls","0.5 GiB","1","0.5 GiB/vCPU","0","4 GiB","$0.0052 hourly","","","","","","",""
"B1ms","B1ms","2 GiB","1","2 GiB/vCPU","0","4 GiB","$0.0207 hourly","","","","$0.0246 hourly","","",""
"B1s","B1s","1 GiB","1","1 GiB/vCPU","0","4 GiB","$0.0104 hourly","","","","$0.014 hourly","","",""
"B20ms","B20ms","80 GiB","20","4 GiB/vCPU","0","160 GiB","$0.832 hourly","","","","$0.912 hourly","","",""
"B2als v2","B2als v2","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.0376 hourly","","","$0.0338 hourly","$0.0468 hourly","","","$0.0421 hourly"
"B2as v2","B2as v2","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0752 hourly","","","$0.0677 hourly","$0.0844 hourly","","","$0.076 hourly"
"B2ats v2","B2ats v2","1 GiB","2","0.5 GiB/vCPU","0","0 GiB","$0.0094 hourly","","","$0.0085 hourly","$0.0186 hourly","","","$0.0167 hourly"
"B2ls v2","B2ls v2","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.0416 hourly","","","$0.0374 hourly","$0.0508 hourly","","","$0.0457 hourly"
"B2ms","B2ms","8 GiB","2","4 GiB/vCPU","0","16 GiB","$0.0832 hourly","","","","$0.0912 hourly","","",""
"Standard B2pls v2","B2pls v2","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.0336 hourly","","","$0.0302 hourly","","","",""
"Standard B2ps v2","B2ps v2","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0672 hourly","","","$0.0605 hourly","","","",""
"Standard B2pts v2","B2pts v2","1 GiB","2","0.5 GiB/vCPU","0","0 GiB","$0.0084 hourly","","","$0.0076 hourly","","","",""
"B2s","B2s","4 GiB","2","2 GiB/vCPU","0","8 GiB","$0.0416 hourly","","","","$0.0496 hourly","","",""
"B2s v2","B2s v2","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0832 hourly","","","$0.0749 hourly","$0.0924 hourly","","","$0.0832 hourly"
"B2ts v2","B2ts v2","1 GiB","2","0.5 GiB/vCPU","0","0 GiB","$0.0104 hourly","","","$0.0094 hourly","$0.0196 hourly","","","$0.0176 hourly"
"B32als v2","B32als v2","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.065 hourly","","","$0.9585 hourly","$1.213 hourly","","","$1.0917 hourly"
"B32as v2","B32as v2","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.203 hourly","","","$1.0827 hourly","$1.35 hourly","","","$1.215 hourly"
"B32ls v2","B32ls v2","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.179 hourly","","","$1.0611 hourly","$1.326 hourly","","","$1.1934 hourly"
"B32s v2","B32s v2","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.331 hourly","","","$1.1979 hourly","$1.478 hourly","","","$1.3302 hourly"
"B4als v2","B4als v2","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.133 hourly","","","$0.1197 hourly","$0.152 hourly","","","$0.1368 hourly"
"B4as v2","B4as v2","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.15 hourly","","","$0.135 hourly","$0.169 hourly","","","$0.1521 hourly"
"B4ls v2","B4ls v2","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.147 hourly","","","$0.1323 hourly","$0.166 hourly","","","$0.1494 hourly"
"B4ms","B4ms","16 GiB","4","4 GiB/vCPU","0","32 GiB","$0.166 hourly","","","","$0.182 hourly","","",""
"Standard B4pls v2","B4pls v2","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.119 hourly","","","$0.1071 hourly","","","",""
"Standard B4ps v2","B4ps v2","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.134 hourly","","","$0.1206 hourly","","","",""
"B4s v2","B4s v2","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.166 hourly","","","$0.1494 hourly","$0.185 hourly","","","$0.1665 hourly"
"B8als v2","B8als v2","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.266 hourly","","","$0.2394 hourly","$0.303 hourly","","","$0.2727 hourly"
