instance_name,instance_family,instance_cpu,vcpus,numa_nodes,memory_gb,avg_score,stddev,stddev_percentage,runs
standard_a1_v2,av2,intel xeon cpu e5-2660 0 @ 2.20ghz,2,1,16,15159,72,0.47%,14
standard_a1_v2,av2,intel xeon cpu e5-2673 v3 @ 2.40ghz,1,1,2,6798,724,10.65%,140
standard_a1_v2,av2,intel xeon cpu e5-2673 v4 @ 2.30ghz,1,1,2,6476,1151,17.77%,84
standard_a1_v2,av2,intel xeon platinum 8171m cpu @ 2.60ghz,1,1,2,6195,397,6.41%,56
standard_a1_v2,av2,intel xeon platinum 8272cl cpu @ 2.60ghz,1,1,2,5924,674,11.38%,28
standard_a2m_v2,av2,intel xeon cpu e5-2673 v3 @ 2.40ghz,2,1,16,14315,1255,8.76%,126
standard_a2m_v2,av2,intel xeon cpu e5-2673 v3 @ 2.40ghz,2,1,4,13666,1079,7.89%,168
standard_a2m_v2,av2,intel xeon cpu e5-2673 v4 @ 2.30ghz,2,1,16,14149,1121,7.92%,98
standard_a2m_v2,av2,intel xeon platinum 8171m cpu @ 2.60ghz,2,1,16,13791,1201,8.71%,98
standard_a2m_v2,av2,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,16,11336,898,7.93%,14
standard_a2_v2,av2,intel xeon cpu e5-2660 0 @ 2.20ghz,4,1,32,28710,1032,3.59%,14
standard_a2_v2,av2,intel xeon cpu e5-2673 v4 @ 2.30ghz,2,1,4,14276,756,5.29%,84
standard_a2_v2,av2,intel xeon platinum 8171m cpu @ 2.60ghz,2,1,4,14223,1010,7.10%,70
standard_a2_v2,av2,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,4,14805,166,1.12%,14
standard_a4m_v2,av2,intel xeon cpu e5-2660 0 @ 2.20ghz,4,1,8,28551,1839,6.44%,42
standard_a4m_v2,av2,intel xeon cpu e5-2673 v3 @ 2.40ghz,4,1,32,28128,2283,8.12%,112
standard_a4m_v2,av2,intel xeon cpu e5-2673 v4 @ 2.30ghz,4,1,32,28220,2997,10.62%,126
standard_a4m_v2,av2,intel xeon platinum 8171m cpu @ 2.60ghz,4,1,32,27720,1839,6.63%,98
standard_a4_v2,av2,intel xeon cpu e5-2660 0 @ 2.20ghz,8,2,64,51496,1643,3.19%,14
standard_a4_v2,av2,intel xeon cpu e5-2673 v3 @ 2.40ghz,4,1,8,27710,2001,7.22%,98
standard_a4_v2,av2,intel xeon cpu e5-2673 v4 @ 2.30ghz,4,1,8,28371,2769,9.76%,98
standard_a4_v2,av2,intel xeon platinum 8171m cpu @ 2.60ghz,4,1,8,26780,2141,7.99%,84
standard_a4_v2,av2,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,8,26476,1608,6.07%,14
standard_a8m_v2,av2,intel xeon cpu e5-2660 0 @ 2.20ghz,8,1,16,52295,1356,2.59%,28
standard_a8m_v2,av2,intel xeon cpu e5-2673 v3 @ 2.40ghz,8,1,64,54477,3024,5.55%,126
standard_a8m_v2,av2,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,64,55195,4426,8.02%,126
standard_a8m_v2,av2,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,64,52768,3528,6.69%,70
standard_a8m_v2,av2,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,49188,1869,3.80%,14
standard_a8_v2,av2,intel xeon cpu e5-2673 v3 @ 2.40ghz,8,1,16,56004,4045,7.22%,140
standard_a8_v2,av2,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,16,53367,3252,6.09%,84
standard_a8_v2,av2,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,16,51525,3170,6.15%,84
standard_a8_v2,av2,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,16,49802,1009,2.03%,14
standard_a8_v2,bms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,12,1,48,206957,5240,2.53%,56
standard_b12ms,bms,intel xeon cpu e5-2673 v3 @ 2.40ghz,12,1,48,214731,4672,2.18%,28
standard_b12ms,bms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,16,2,64,273257,3862,1.41%,42
standard_b12ms,bms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,12,1,48,211461,4115,1.95%,154
standard_b12ms,bms,intel xeon cpu e5-2673 v4 @ 2.30ghz,12,1,48,219383,2213,1.01%,112
standard_b12ms,bms,intel xeon platinum 8171m cpu @ 2.60 ghz,12,1,48,200729,3475,1.73%,140
standard_b12ms,bms,intel xeon platinum 8171m cpu @ 2.60ghz,12,1,48,202912,17172,8.46%,77
standard_b12ms,bms,intel xeon platinum 8272cl cpu @ 2.60ghz,12,1,48,256373,1768,0.69%,21
standard_b16ms,bls,intel xeon cpu e5-2673 v3 @ 2.40ghz,1,1,0.5,19162,605,3.16%,28
standard_b16ms,bms,intel xeon cpu e5-2673 v3 @ 2.40ghz,16,2,64,276669,8921,3.22%,35
standard_b16ms,bms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,16,1,64,282187,5030,1.78%,154
standard_b16ms,bms,intel xeon cpu e5-2673 v4 @ 2.30ghz,16,1,64,294079,3437,1.17%,112
standard_b16ms,bms,intel xeon platinum 8171m cpu @ 2.60 ghz,16,1,64,265834,5545,2.09%,112
standard_b16ms,bms,intel xeon platinum 8171m cpu @ 2.60ghz,16,1,64,270563,27650,10.22%,70
standard_b16ms,bms,intel xeon platinum 8272cl cpu @ 2.60 ghz,16,1,64,331694,3537,1.07%,28
standard_b16ms,bms,intel xeon platinum 8272cl cpu @ 2.60ghz,16,1,64,340582,6378,1.87%,21
standard_b1ls,bls,intel xeon cpu e5-2673 v4 @ 2.30ghz,1,1,0.5,19365,810,4.18%,126
standard_b1ls,bls,intel xeon platinum 8171m cpu @ 2.60ghz,1,1,0.5,18780,2840,15.12%,63
standard_b1ls,bls,intel xeon platinum 8272cl cpu @ 2.60ghz,1,1,0.5,21954,461,2.10%,21
standard_b1ls,bms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,1,1,2,18093,679,3.75%,42
standard_b1ms,bms,intel xeon cpu e5-2673 v3 @ 2.40ghz,1,1,2,18167,82,0.45%,14
standard_b1ms,bms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,1,1,2,18197,1341,7.37%,168
standard_b1ms,bms,intel xeon cpu e5-2673 v4 @ 2.30ghz,1,1,2,20113,1188,5.90%,126
standard_b1ms,bms,intel xeon platinum 8171m cpu @ 2.60 ghz,1,1,2,17975,920,5.12%,112
standard_b1ms,bms,intel xeon platinum 8171m cpu @ 2.60ghz,1,1,2,18882,2434,12.89%,77
standard_b1ms,bms,intel xeon platinum 8272cl cpu @ 2.60 ghz,1,1,2,20176,1568,7.77%,28
standard_b1ms,bms,intel xeon platinum 8272cl cpu @ 2.60ghz,1,1,2,22182,57,0.26%,21
standard_b1ms,bs,intel xeon cpu e5-2673 v3 @ 2.40ghz,1,1,1,18768,429,2.29%,35
standard_b1s,bms,intel xeon cpu e5-2673 v3 @ 2.40ghz,20,2,80,347156,5967,1.72%,14
standard_b1s,bs,intel xeon cpu e5-2673 v4 @ 2.30ghz,1,1,1,19725,1258,6.38%,112
standard_b1s,bs,intel xeon platinum 8171m cpu @ 2.60ghz,1,1,1,18287,2316,12.66%,70
standard_b1s,bs,intel xeon platinum 8272cl cpu @ 2.60ghz,1,1,1,21992,371,1.69%,21
standard_b20ms,bhms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,2,1,8,36949,1494,4.04%,28
standard_b20ms,bms,intel xeon cpu e5-2673 v4 @ 2.30ghz,20,1,80,363209,3837,1.06%,112
standard_b20ms,bms,intel xeon platinum 8171m cpu @ 2.60ghz,20,1,80,342212,21775,6.36%,91
standard_b20ms,bms,intel xeon platinum 8272cl cpu @ 2.60ghz,20,1,80,416103,3337,0.80%,21
standard_b2hms,bhms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,2,1,8,36512,2537,6.95%,70
standard_b2hms,bhms,intel xeon platinum 8171m cpu @ 2.60 ghz,2,1,8,36389,990,2.72%,56
standard_b2hms,bms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,2,1,8,35758,1028,2.88%,42
standard_b2ms,bms,intel xeon cpu e5-2673 v3 @ 2.40ghz,2,1,8,36338,333,0.92%,28
standard_b2ms,bms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,2,1,8,36028,1605,4.45%,182
standard_b2ms,bms,intel xeon cpu e5-2673 v4 @ 2.30ghz,2,1,8,38026,1749,4.60%,119
standard_b2ms,bms,intel xeon platinum 8171m cpu @ 2.60 ghz,2,1,8,36122,2128,5.89%,112
standard_b2ms,bms,intel xeon platinum 8171m cpu @ 2.60ghz,2,1,8,38060,5978,15.71%,70
standard_b2ms,bms,intel xeon platinum 8272cl cpu @ 2.60 ghz,2,1,8,42525,672,1.58%,14
standard_b2ms,bms,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,8,44227,349,0.79%,21
standard_b2ms,bs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,2,1,4,35546,660,1.86%,42
standard_b2s,bhms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,4,1,16,71028,879,1.24%,28
standard_b2s,bs,intel xeon cpu e5-2673 v3 @ 2.40ghz,2,1,4,36074,431,1.20%,21
standard_b2s,bs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,2,1,4,36569,2172,5.94%,154
standard_b2s,bs,intel xeon cpu e5-2673 v4 @ 2.30ghz,2,1,4,37634,1445,3.84%,119
standard_b2s,bs,intel xeon platinum 8171m cpu @ 2.60 ghz,2,1,4,36136,924,2.56%,140
standard_b2s,bs,intel xeon platinum 8171m cpu @ 2.60ghz,2,1,4,37824,5913,15.63%,70
standard_b2s,bs,intel xeon platinum 8272cl cpu @ 2.60 ghz,2,1,4,42546,834,1.96%,14
standard_b2s,bs,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,4,44147,397,0.90%,28
standard_b4hms,bhms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,4,1,16,73126,2954,4.04%,56
standard_b4hms,bhms,intel xeon platinum 8171m cpu @ 2.60 ghz,4,1,16,68451,1571,2.29%,56
standard_b4hms,bhms,intel xeon platinum 8272cl cpu @ 2.60 ghz,4,1,16,83525,563,0.67%,14
standard_b4hms,bms,intel xeon cpu e5-2673 v3 @ 2.40ghz,4,1,16,70362,3310,4.70%,28
standard_b4ms,bms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,4,1,16,70831,1135,1.60%,28
standard_b4ms,bms,intel xeon cpu e5-2673 v3 @ 2.40 ghz,8,1,32,141620,2256,1.59%,42
standard_b4ms,bms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,4,1,16,70987,2287,3.22%,168
standard_b4ms,bms,intel xeon cpu e5-2673 v4 @ 2.30ghz,4,1,16,74405,2647,3.56%,112
standard_b4ms,bms,intel xeon platinum 8171m cpu @ 2.60 ghz,4,1,16,68796,1897,2.76%,84
standard_b4ms,bms,intel xeon platinum 8171m cpu @ 2.60ghz,4,1,16,71174,8008,11.25%,77
standard_b4ms,bms,intel xeon platinum 8272cl cpu @ 2.60 ghz,4,1,16,81712,4042,4.95%,70
standard_b4ms,bms,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,16,85894,1445,1.68%,21
standard_b8ms,bms,intel xeon cpu e5-2673 v3 @ 2.40ghz,8,1,32,144753,3091,2.14%,35
standard_b8ms,bms,intel xeon cpu e5-2673 v4 @ 2.30 ghz,8,1,32,139090,3229,2.32%,182
standard_b8ms,bms,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,32,145027,1460,1.01%,98
standard_b8ms,bms,intel xeon platinum 8171m cpu @ 2.60 ghz,8,1,32,135510,2653,1.96%,112
standard_b8ms,bms,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,32,138848,11991,8.64%,84
standard_b8ms,bms,intel xeon platinum 8272cl cpu @ 2.60 ghz,8,1,32,164510,2254,1.37%,14
standard_b8ms,bms,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,32,170427,2402,1.41%,14
standard_b8ms,dv2,intel xeon cpu e5-2673 v3 @ 2.40ghz,2,1,14,33085,1835,5.55%,196
standard_d11_v2,dv2,intel xeon cpu e5-2673 v3 @ 2.40ghz,2,1,14,37655,1925,5.11%,70
standard_d11_v2,dv2,intel xeon cpu e5-2673 v3 @ 2.40ghz,4,1,28,65877,3537,5.37%,196
standard_d11_v2,dv2,intel xeon cpu e5-2673 v4 @ 2.30ghz,2,1,14,33998,3523,10.36%,168
standard_d11_v2,dv2,intel xeon cpu e5-2673 v4 @ 2.30ghz,2,1,14,39953,3019,7.56%,70
standard_d11_v2,dv2,intel xeon platinum 8171m cpu @ 2.60ghz,2,1,14,32964,2690,8.16%,140
standard_d11_v2,dv2,intel xeon platinum 8171m cpu @ 2.60ghz,2,1,14,37979,1830,4.82%,56
