instance,host,nbinstancesmax,nvme_units,nvme_capacity,ssd_embeded_capacity
e2s_v6,esv6-type1,32,,,
e4s_v6,esv6-type1,29,,,
e8s_v6,esv6-type1,14,,,
e16s_v6,esv6-type1,7,,,
e20s_v6,esv6-type1,5,,,
e32s_v6,esv6-type1,3,,,
e48s_v6,esv6-type1,2,,,
e64s_v6,esv6-type1,1,,,
e96s_v6,esv6-type1,1,,,
e2as_v6,easv6-type1,32,,,
e4as_v6,easv6-type1,21,,,
e8as_v6,easv6-type1,10,,,
e16as_v6,easv6-type1,5,,,
e20as_v6,easv6-type1,4,,,
e32as_v6,easv6-type1,2,,,
e48as_v6,easv6-type1,1,,,
e64as_v6,easv6-type1,1,,,
e96as_v6,easv6-type1,1,,,
e2ads_v5,eadsv5-type1,32,,,
e4ads_v5,eadsv5-type1,21,,,
e8ads_v5,eadsv5-type1,10,,,
e16ads_v5,eadsv5-type1,5,,,
e20ads_v5,eadsv5-type1,4,,,
e32ads_v5,eadsv5-type1,2,,,
e48ads_v5,eadsv5-type1,1,,,
e64ads_v5,eadsv5-type1,1,,,
e96ads_v5,eadsv5-type1,1,,,
e2as_v5,easv5-type1,32,,,
e4as_v5,easv5-type1,21,,,
e8as_v5,easv5-type1,10,,,
e16as_v5,easv5-type1,5,,,
e20as_v5,easv5-type1,4,,,
e32as_v5,easv5-type1,2,,,
e48as_v5,easv5-type1,1,,,
e64as_v5,easv5-type1,1,,,
e96as_v5,easv5-type1,1,,,
e2as_v4,easv4-type1,32,,,
e4as_v4,easv4-type1,21,,,
e8as_v4,easv4-type1,10,,,
e16as_v4,easv4-type1,5,,,
e20as_v4,easv4-type1,4,,,
e32as_v4,easv4-type1,2,,,
e48as_v4,easv4-type1,1,,,
e64as_v4,easv4-type1,1,,,
e96as_v4,easv4-type1,1,,,
e2as_v4,easv4-type2,32,,,
e4as_v4,easv4-type2,21,,,
e8as_v4,easv4-type2,10,,,
e16as_v4,easv4-type2,5,,,
e20as_v4,easv4-type2,4,,,
e32as_v4,easv4-type2,2,,,
e48as_v4,easv4-type2,1,,,
e64as_v4,easv4-type2,1,,,
e96as_v4,easv4-type2,1,,,
e2bds_v5,ebdsv5-type1,8,,,
e4bds_v5,ebdsv5-type1,8,,,
e8bds_v5,ebdsv5-type1,6,,,
e16bds_v5,ebdsv5-type1,3,,,
e32bds_v5,ebdsv5-type1,1,,,
e48bds_v5,ebdsv5-type1,1,,,
e64bds_v5,ebdsv5-type1,1,,,
e2bs_v5,ebsv5-type1,8,,,
e4bs_v5,ebsv5-type1,8,,,
e8bs_v5,ebsv5-type1,6,,,
e16bs_v5,ebsv5-type1,3,,,
e32bs_v5,ebsv5-type1,1,,,
e48bs_v5,ebsv5-type1,1,,,
e64bs_v5,ebsv5-type1,1,,,
ec2ads_v5,ecadsv5-type1,32,,,
ec4ads_v5,ecadsv5-type1,21,,,
ec8ads_v5,ecadsv5-type1,10,,,
ec16ads_v5,ecadsv5-type1,5,,,
ec20ads_v5,ecadsv5-type1,4,,,
ec32ads_v5,ecadsv5-type1,3,,,
ec48ads_v5,ecadsv5-type1,1,,,
ec64ads_v5,ecadsv5-type1,1,,,
ec96ads_v5,ecadsv5-type1,1,,,
ec2as_v5,ecasv5-type1,32,,,
ec4as_v5,ecasv5-type1,21,,,
ec8as_v5,ecasv5-type1,10,,,
ec16as_v5,ecasv5-type1,5,,,
ec20as_v5,ecasv5-type1,4,,,
ec32as_v5,ecasv5-type1,3,,,
ec48as_v5,ecasv5-type1,1,,,
ec64as_v5,ecasv5-type1,1,,,
ec96as_v5,ecasv5-type1,1,,,
e2ds_v5,edsv5-type1,32,,,
e4ds_v5,edsv5-type1,21,,,
e8ds_v5,edsv5-type1,10,,,
e16ds_v5,edsv5-type1,5,,,
e20ds_v5,edsv5-type1,4,,,
e32ds_v5,edsv5-type1,2,,,
e48ds_v5,edsv5-type1,1,,,
e64ds_v5,edsv5-type1,1,,,
e2ds_v4,edsv4-type1,31,,,
e4ds_v4,edsv4-type1,15,,,
e8ds_v4,edsv4-type1,7,,,
e16ds_v4,edsv4-type1,3,,,
e20ds_v4,edsv4-type1,3,,,
e32ds_v4,edsv4-type1,1,,,
e48ds_v4,edsv4-type1,1,,,
e64ds_v4,edsv4-type1,1,,,
e2ds_v4,edsv4-type2,32,,,
e4ds_v4,edsv4-type2,19,,,
