Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
A0,A0,0.75 GiB,1,20 GiB,€0.0171 hourly,unavailable,unavailable,€0.0154 hourly,€0.0171 hourly,unavailable,unavailable,€0.0154 hourly
A1,A1,1.75 GiB,1,70 GiB,€0.0514 hourly,unavailable,unavailable,€0.0463 hourly,€0.0771 hourly,unavailable,unavailable,€0.0694 hourly
A1 v2,A1 v2,2 GiB,1,10 GiB,€0.0351 hourly,€0.0263 hourly,€0.0207 hourly,€0.0072 hourly,€0.0531 hourly,€0.0657 hourly,€0.0602 hourly,€0.0108 hourly
A2,A2,3.5 GiB,2,135 GiB,€0.1028 hourly,unavailable,unavailable,€0.0926 hourly,€0.1543 hourly,unavailable,unavailable,€0.1388 hourly
A2m v2,A2m v2,16 GiB,2,20 GiB,€0.0968 hourly,€0.0724 hourly,€0.0572 hourly,€0.0197 hourly,€0.1611 hourly,€0.1513 hourly,€0.1361 hourly,€0.0329 hourly
A2 v2,A2 v2,4 GiB,2,20 GiB,€0.0738 hourly,€0.0552 hourly,€0.0435 hourly,€0.015 hourly,€0.1114 hourly,€0.134 hourly,€0.1224 hourly,€0.0227 hourly
A3,A3,7 GiB,4,285 GiB,€0.2057 hourly,unavailable,unavailable,€0.1851 hourly,€0.3085 hourly,unavailable,unavailable,€0.2777 hourly
A4,A4,14 GiB,8,605 GiB,€0.4114 hourly,unavailable,unavailable,€0.3702 hourly,€0.6171 hourly,unavailable,unavailable,€0.5554 hourly
A4m v2,A4m v2,32 GiB,4,40 GiB,€0.1937 hourly,€0.1448 hourly,€0.1145 hourly,€0.0395 hourly,€0.3377 hourly,€0.3025 hourly,€0.2722 hourly,€0.0689 hourly
A4 v2,A4 v2,8 GiB,4,40 GiB,€0.156 hourly,€0.1166 hourly,€0.0921 hourly,€0.0318 hourly,€0.2348 hourly,€0.2743 hourly,€0.2498 hourly,€0.0479 hourly
A5,A5,14 GiB,2,135 GiB,€0.2314 hourly,unavailable,unavailable,€0.2083 hourly,€0.2914 hourly,unavailable,unavailable,€0.2623 hourly
A6,A6,28 GiB,4,285 GiB,€0.4628 hourly,unavailable,unavailable,€0.4165 hourly,€0.5828 hourly,unavailable,unavailable,€0.5245 hourly
A7,A7,56 GiB,8,605 GiB,€0.9256 hourly,unavailable,unavailable,€0.8331 hourly,€1.1656 hourly,unavailable,unavailable,€1.049 hourly
A8m v2,A8m v2,64 GiB,8,80 GiB,€0.3882 hourly,€0.2903 hourly,€0.2288 hourly,€0.0792 hourly,€0.7036 hourly,€0.6057 hourly,€0.5442 hourly,€0.1435 hourly
