Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C2 Standard 16,c2-standard-16,64 GiB,16,€0.802 hourly,€0.2127 hourly,€1.4328 hourly,€0.8435 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.5038 hourly,€0.3988 hourly,€2.6866 hourly,€1.5816 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.2005 hourly,€0.0532 hourly,€0.3582 hourly,€0.2109 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.0077 hourly,€0.7977 hourly,€5.3731 hourly,€3.1632 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.401 hourly,€0.1064 hourly,€0.7164 hourly,€0.4218 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.592 hourly,€0.2367 hourly,€1.2228 hourly,€0.8675 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.074 hourly,€0.0296 hourly,€0.1528 hourly,€0.1084 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.1839 hourly,€0.4734 hourly,€2.4455 hourly,€1.735 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.148 hourly,€0.0592 hourly,€0.3057 hourly,€0.2169 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.296 hourly,€0.1183 hourly,€0.6114 hourly,€0.4337 hourly
N1 High CPU 16,n1-highcpu-16,14.4 GiB,16,€0.6259 hourly,€0.1435 hourly,€1.2567 hourly,€0.7743 hourly
N1 High CPU 2,n1-highcpu-2,1.8 GiB,2,€0.0782 hourly,€0.0179 hourly,€0.1571 hourly,€0.0968 hourly
N1 High CPU 32,n1-highcpu-32,28.8 GiB,32,€1.2518 hourly,€0.2871 hourly,€2.5134 hourly,€1.5487 hourly
N1 High CPU 4,n1-highcpu-4,3.6 GiB,4,€0.1565 hourly,€0.0359 hourly,€0.3142 hourly,€0.1936 hourly
N1 High CPU 64,n1-highcpu-64,57.6 GiB,64,€2.5036 hourly,€0.5742 hourly,€5.0267 hourly,€3.0974 hourly
N1 High CPU 8,n1-highcpu-8,7.2 GiB,8,€0.3129 hourly,€0.0718 hourly,€0.6283 hourly,€0.3872 hourly
N1 High CPU 96,n1-highcpu-96,86.4 GiB,96,€3.7553 hourly,€0.8613 hourly,€7.5401 hourly,€4.646 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€1.045 hourly,€0.2398 hourly,€1.6758 hourly,€0.8706 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1306 hourly,€0.03 hourly,€0.2095 hourly,€0.1088 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€2.09 hourly,€0.4795 hourly,€3.3516 hourly,€1.7411 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2613 hourly,€0.0599 hourly,€0.419 hourly,€0.2176 hourly
